,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
533615,536205,Accelerometer,,,,-0.8,0.588,0.113,,,,,,,,,,0.0,,2016-03-26 14:12:39.999,,215
533616,536206,Accelerometer,,,,-0.816,0.581,0.151,,,,,,,,,,0.04,,2016-03-26 14:12:39.999,,215
533617,536207,Accelerometer,,,,-0.809,0.599,0.173,,,,,,,,,,0.08,,2016-03-26 14:12:39.999,,215
533618,536208,Accelerometer,,,,-0.823,0.597,0.165,,,,,,,,,,0.12,,2016-03-26 14:12:40.000,,215
533619,536209,Accelerometer,,,,-0.818,0.574,0.183,,,,,,,,,,0.16,,2016-03-26 14:12:40.000,,215
533620,536210,Accelerometer,,,,-0.817,0.594,0.173,,,,,,,,,,0.2,,2016-03-26 14:12:40.001,,215
533621,536211,Accelerometer,,,,-0.82,0.582,0.165,,,,,,,,,,0.24,,2016-03-26 14:12:40.001,,215
533622,536212,Accelerometer,,,,-0.833,0.6,0.155,,,,,,,,,,0.28,,2016-03-26 14:12:40.002,,215
533623,536213,Accelerometer,,,,-0.837,0.609,0.155,,,,,,,,,,0.32,,2016-03-26 14:12:40.002,,215
533624,536214,Accelerometer,,,,-0.831,0.582,0.149,,,,,,,,,,0.36,,2016-03-26 14:12:40.002,,215
533625,536215,Accelerometer,,,,-0.823,0.59,0.143,,,,,,,,,,0.4,,2016-03-26 14:12:40.003,,215
533626,536216,Accelerometer,,,,-0.832,0.582,0.147,,,,,,,,,,0.44,,2016-03-26 14:12:40.003,,215
533627,536217,Accelerometer,,,,-0.849,0.588,0.141,,,,,,,,,,0.48,,2016-03-26 14:12:40.003,,215
533628,536218,Accelerometer,,,,-0.833,0.591,0.127,,,,,,,,,,0.52,,2016-03-26 14:12:40.004,,215
533629,536219,Accelerometer,,,,-0.817,0.591,0.12,,,,,,,,,,0.56,,2016-03-26 14:12:40.004,,215
533630,536220,Accelerometer,,,,-0.832,0.59,0.128,,,,,,,,,,0.6,,2016-03-26 14:12:40.004,,215
533631,536221,Accelerometer,,,,-0.829,0.604,0.118,,,,,,,,,,0.64,,2016-03-26 14:12:40.005,,215
533632,536222,Accelerometer,,,,-0.819,0.568,0.152,,,,,,,,,,0.68,,2016-03-26 14:12:40.005,,215
533633,536223,Accelerometer,,,,-0.833,0.559,0.173,,,,,,,,,,0.72,,2016-03-26 14:12:40.005,,215
533634,536224,Accelerometer,,,,-0.842,0.592,0.184,,,,,,,,,,0.76,,2016-03-26 14:12:40.006,,215
533635,536225,Accelerometer,,,,-0.85,0.571,0.204,,,,,,,,,,0.8,,2016-03-26 14:12:40.006,,215
