,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
466695,468452,Accelerometer,,,,-0.697,-0.162,0.729,,,,,,,,,,0.0,,2016-03-15 21:27:17.705,,157
466696,468453,Accelerometer,,,,-0.696,-0.163,0.754,,,,,,,,,,0.04,,2016-03-15 21:27:17.705,,157
466697,468454,Accelerometer,,,,-0.694,-0.159,0.75,,,,,,,,,,0.08,,2016-03-15 21:27:17.706,,157
466698,468455,Accelerometer,,,,-0.687,-0.155,0.744,,,,,,,,,,0.12,,2016-03-15 21:27:17.706,,157
466699,468456,Accelerometer,,,,-0.691,-0.155,0.75,,,,,,,,,,0.16,,2016-03-15 21:27:17.706,,157
466700,468457,Accelerometer,,,,-0.701,-0.157,0.75,,,,,,,,,,0.2,,2016-03-15 21:27:17.707,,157
466701,468458,Accelerometer,,,,-0.689,-0.153,0.733,,,,,,,,,,0.24,,2016-03-15 21:27:17.707,,157
466702,468459,Accelerometer,,,,-0.694,-0.153,0.744,,,,,,,,,,0.28,,2016-03-15 21:27:17.707,,157
466703,468460,Accelerometer,,,,-0.701,-0.16,0.745,,,,,,,,,,0.32,,2016-03-15 21:27:17.708,,157
466704,468461,Accelerometer,,,,-0.692,-0.167,0.742,,,,,,,,,,0.36,,2016-03-15 21:27:17.708,,157
466705,468462,Accelerometer,,,,-0.695,-0.163,0.743,,,,,,,,,,0.4,,2016-03-15 21:27:17.708,,157
466706,468463,Accelerometer,,,,-0.705,-0.163,0.745,,,,,,,,,,0.44,,2016-03-15 21:27:17.708,,157
466707,468464,Accelerometer,,,,-0.701,-0.161,0.732,,,,,,,,,,0.48,,2016-03-15 21:27:17.709,,157
466708,468465,Accelerometer,,,,-0.702,-0.158,0.749,,,,,,,,,,0.52,,2016-03-15 21:27:17.709,,157
466709,468466,Accelerometer,,,,-0.694,-0.158,0.726,,,,,,,,,,0.56,,2016-03-15 21:27:17.709,,157
466710,468467,Accelerometer,,,,-0.688,-0.162,0.744,,,,,,,,,,0.6,,2016-03-15 21:27:17.709,,157
466711,468468,Accelerometer,,,,-0.7,-0.158,0.748,,,,,,,,,,0.64,,2016-03-15 21:27:17.710,,157
466712,468469,Accelerometer,,,,-0.7,-0.161,0.743,,,,,,,,,,0.68,,2016-03-15 21:27:17.710,,157
466713,468470,Accelerometer,,,,-0.7,-0.163,0.74,,,,,,,,,,0.72,,2016-03-15 21:27:17.710,,157
466714,468471,Accelerometer,,,,-0.7,-0.163,0.738,,,,,,,,,,0.76,,2016-03-15 21:27:17.710,,157
466715,468472,Accelerometer,,,,-0.701,-0.158,0.739,,,,,,,,,,0.8,,2016-03-15 21:27:17.711,,157
466716,468473,Accelerometer,,,,-0.703,-0.162,0.737,,,,,,,,,,0.84,,2016-03-15 21:27:17.711,,157
466717,468474,Accelerometer,,,,-0.705,-0.156,0.743,,,,,,,,,,0.88,,2016-03-15 21:27:17.711,,157
466718,468475,Accelerometer,,,,-0.705,-0.154,0.745,,,,,,,,,,0.92,,2016-03-15 21:27:17.711,,157
466719,468476,Accelerometer,,,,-0.702,-0.158,0.723,,,,,,,,,,0.96,,2016-03-15 21:27:17.711,,157
466720,468477,Accelerometer,,,,-0.702,-0.161,0.736,,,,,,,,,,1.0,,2016-03-15 21:27:17.712,,157
466721,468478,Accelerometer,,,,-0.711,-0.163,0.74,,,,,,,,,,1.04,,2016-03-15 21:27:17.712,,157
466722,468479,Accelerometer,,,,-0.698,-0.16,0.734,,,,,,,,,,1.08,,2016-03-15 21:27:17.712,,157
466723,468480,Accelerometer,,,,-0.712,-0.163,0.742,,,,,,,,,,1.12,,2016-03-15 21:27:17.712,,157
466724,468481,Accelerometer,,,,-0.706,-0.162,0.721,,,,,,,,,,1.16,,2016-03-15 21:27:17.713,,157
466725,468482,Accelerometer,,,,-0.715,-0.164,0.738,,,,,,,,,,1.2,,2016-03-15 21:27:17.713,,157
466726,468483,Accelerometer,,,,-0.709,-0.16,0.732,,,,,,,,,,1.24,,2016-03-15 21:27:17.713,,157
466727,468484,Accelerometer,,,,-0.701,-0.162,0.717,,,,,,,,,,1.28,,2016-03-15 21:27:17.713,,157
466728,468485,Accelerometer,,,,-0.71,-0.162,0.737,,,,,,,,,,1.32,,2016-03-15 21:27:17.713,,157
466729,468486,Accelerometer,,,,-0.719,-0.162,0.736,,,,,,,,,,1.36,,2016-03-15 21:27:17.714,,157
