,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
395213,396970,Accelerometer,,,,-0.819,-0.564,0.173,,,,,,,,,,0.0,,2016-03-15 20:17:32.928,,139
395214,396971,Accelerometer,,,,-0.83,-0.569,0.174,,,,,,,,,,0.04,,2016-03-15 20:17:32.929,,139
395215,396972,Accelerometer,,,,-0.827,-0.57,0.167,,,,,,,,,,0.08,,2016-03-15 20:17:32.929,,139
395216,396973,Accelerometer,,,,-0.826,-0.569,0.168,,,,,,,,,,0.12,,2016-03-15 20:17:32.929,,139
395217,396974,Accelerometer,,,,-0.828,-0.565,0.174,,,,,,,,,,0.16,,2016-03-15 20:17:32.930,,139
395218,396975,Accelerometer,,,,-0.824,-0.568,0.173,,,,,,,,,,0.2,,2016-03-15 20:17:32.930,,139
395219,396976,Accelerometer,,,,-0.827,-0.57,0.173,,,,,,,,,,0.24,,2016-03-15 20:17:32.930,,139
395220,396977,Accelerometer,,,,-0.826,-0.575,0.169,,,,,,,,,,0.28,,2016-03-15 20:17:32.931,,139
395221,396978,Accelerometer,,,,-0.829,-0.57,0.173,,,,,,,,,,0.32,,2016-03-15 20:17:32.931,,139
395222,396979,Accelerometer,,,,-0.829,-0.569,0.165,,,,,,,,,,0.36,,2016-03-15 20:17:32.931,,139
395223,396980,Accelerometer,,,,-0.827,-0.569,0.173,,,,,,,,,,0.4,,2016-03-15 20:17:32.932,,139
395224,396981,Accelerometer,,,,-0.829,-0.569,0.171,,,,,,,,,,0.44,,2016-03-15 20:17:32.932,,139
395225,396982,Accelerometer,,,,-0.828,-0.57,0.168,,,,,,,,,,0.48,,2016-03-15 20:17:32.932,,139
395226,396983,Accelerometer,,,,-0.829,-0.57,0.166,,,,,,,,,,0.52,,2016-03-15 20:17:32.933,,139
395227,396984,Accelerometer,,,,-0.828,-0.57,0.164,,,,,,,,,,0.56,,2016-03-15 20:17:32.933,,139
395228,396985,Accelerometer,,,,-0.828,-0.57,0.167,,,,,,,,,,0.6,,2016-03-15 20:17:32.933,,139
395229,396986,Accelerometer,,,,-0.828,-0.57,0.166,,,,,,,,,,0.64,,2016-03-15 20:17:32.934,,139
395230,396987,Accelerometer,,,,-0.829,-0.571,0.165,,,,,,,,,,0.68,,2016-03-15 20:17:32.934,,139
395231,396988,Accelerometer,,,,-0.831,-0.571,0.165,,,,,,,,,,0.72,,2016-03-15 20:17:32.934,,139
395232,396989,Accelerometer,,,,-0.832,-0.572,0.164,,,,,,,,,,0.76,,2016-03-15 20:17:32.935,,139
395233,396990,Accelerometer,,,,-0.83,-0.572,0.163,,,,,,,,,,0.8,,2016-03-15 20:17:32.935,,139
395234,396991,Accelerometer,,,,-0.83,-0.568,0.161,,,,,,,,,,0.84,,2016-03-15 20:17:32.935,,139
395235,396992,Accelerometer,,,,-0.831,-0.571,0.163,,,,,,,,,,0.88,,2016-03-15 20:17:32.936,,139
395236,396993,Accelerometer,,,,-0.83,-0.57,0.157,,,,,,,,,,0.92,,2016-03-15 20:17:32.936,,139
395237,396994,Accelerometer,,,,-0.832,-0.568,0.162,,,,,,,,,,0.96,,2016-03-15 20:17:32.937,,139
395238,396995,Accelerometer,,,,-0.83,-0.566,0.16,,,,,,,,,,1.0,,2016-03-15 20:17:32.937,,139
395239,396996,Accelerometer,,,,-0.831,-0.571,0.159,,,,,,,,,,1.04,,2016-03-15 20:17:32.938,,139
395240,396997,Accelerometer,,,,-0.832,-0.573,0.157,,,,,,,,,,1.08,,2016-03-15 20:17:32.938,,139
395241,396998,Accelerometer,,,,-0.831,-0.572,0.156,,,,,,,,,,1.12,,2016-03-15 20:17:32.939,,139
395242,396999,Accelerometer,,,,-0.831,-0.568,0.159,,,,,,,,,,1.16,,2016-03-15 20:17:32.939,,139
395243,397000,Accelerometer,,,,-0.833,-0.57,0.153,,,,,,,,,,1.2,,2016-03-15 20:17:32.939,,139
395244,397001,Accelerometer,,,,-0.831,-0.574,0.155,,,,,,,,,,1.24,,2016-03-15 20:17:32.940,,139
395245,397002,Accelerometer,,,,-0.832,-0.572,0.158,,,,,,,,,,1.28,,2016-03-15 20:17:32.940,,139
395246,397003,Accelerometer,,,,-0.831,-0.568,0.156,,,,,,,,,,1.32,,2016-03-15 20:17:32.942,,139
