,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
491744,493501,Accelerometer,,,,0.008,-0.019,1.018,,,,,,,,,,0.0,,2016-03-15 21:54:47.679,,161
491745,493502,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,0.04,,2016-03-15 21:54:47.680,,161
491746,493503,Accelerometer,,,,0.009,-0.02,1.024,,,,,,,,,,0.08,,2016-03-15 21:54:47.680,,161
491747,493504,Accelerometer,,,,0.008,-0.019,1.023,,,,,,,,,,0.12,,2016-03-15 21:54:47.680,,161
491748,493505,Accelerometer,,,,0.009,-0.019,1.024,,,,,,,,,,0.16,,2016-03-15 21:54:47.680,,161
491749,493506,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,0.2,,2016-03-15 21:54:47.681,,161
491750,493507,Accelerometer,,,,0.008,-0.02,1.024,,,,,,,,,,0.24,,2016-03-15 21:54:47.681,,161
491751,493508,Accelerometer,,,,0.007,-0.021,1.023,,,,,,,,,,0.28,,2016-03-15 21:54:47.681,,161
491752,493509,Accelerometer,,,,0.009,-0.02,1.024,,,,,,,,,,0.32,,2016-03-15 21:54:47.681,,161
491753,493510,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,0.36,,2016-03-15 21:54:47.682,,161
491754,493511,Accelerometer,,,,0.008,-0.019,1.024,,,,,,,,,,0.4,,2016-03-15 21:54:47.682,,161
491755,493512,Accelerometer,,,,0.008,-0.02,1.024,,,,,,,,,,0.44,,2016-03-15 21:54:47.682,,161
491756,493513,Accelerometer,,,,0.008,-0.02,1.024,,,,,,,,,,0.48,,2016-03-15 21:54:47.682,,161
491757,493514,Accelerometer,,,,0.008,-0.02,1.024,,,,,,,,,,0.52,,2016-03-15 21:54:47.683,,161
491758,493515,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,0.56,,2016-03-15 21:54:47.683,,161
491759,493516,Accelerometer,,,,0.009,-0.019,1.025,,,,,,,,,,0.6,,2016-03-15 21:54:47.683,,161
491760,493517,Accelerometer,,,,0.007,-0.019,1.023,,,,,,,,,,0.64,,2016-03-15 21:54:47.683,,161
491761,493518,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,0.68,,2016-03-15 21:54:47.683,,161
491762,493519,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,0.72,,2016-03-15 21:54:47.684,,161
491763,493520,Accelerometer,,,,0.009,-0.019,1.024,,,,,,,,,,0.76,,2016-03-15 21:54:47.684,,161
491764,493521,Accelerometer,,,,0.008,-0.019,1.023,,,,,,,,,,0.8,,2016-03-15 21:54:47.684,,161
491765,493522,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,0.84,,2016-03-15 21:54:47.684,,161
491766,493523,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,0.88,,2016-03-15 21:54:47.684,,161
491767,493524,Accelerometer,,,,0.008,-0.018,1.026,,,,,,,,,,0.92,,2016-03-15 21:54:47.685,,161
491768,493525,Accelerometer,,,,0.008,-0.019,1.026,,,,,,,,,,0.96,,2016-03-15 21:54:47.685,,161
491769,493526,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.0,,2016-03-15 21:54:47.685,,161
491770,493527,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,1.04,,2016-03-15 21:54:47.686,,161
491771,493528,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.08,,2016-03-15 21:54:47.686,,161
491772,493529,Accelerometer,,,,0.008,-0.019,1.026,,,,,,,,,,1.12,,2016-03-15 21:54:47.686,,161
491773,493530,Accelerometer,,,,0.007,-0.021,1.025,,,,,,,,,,1.16,,2016-03-15 21:54:47.686,,161
491774,493531,Accelerometer,,,,0.008,-0.021,1.026,,,,,,,,,,1.2,,2016-03-15 21:54:47.687,,161
491775,493532,Accelerometer,,,,0.008,-0.021,1.026,,,,,,,,,,1.24,,2016-03-15 21:54:47.687,,161
491776,493533,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.28,,2016-03-15 21:54:47.687,,161
491777,493534,Accelerometer,,,,0.008,-0.02,1.024,,,,,,,,,,1.32,,2016-03-15 21:54:47.687,,161
491778,493535,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.36,,2016-03-15 21:54:47.687,,161
491779,493536,Accelerometer,,,,0.009,-0.019,1.024,,,,,,,,,,1.4,,2016-03-15 21:54:47.688,,161
491780,493537,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.44,,2016-03-15 21:54:47.688,,161
491781,493538,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,1.48,,2016-03-15 21:54:47.688,,161
491782,493539,Accelerometer,,,,0.007,-0.021,1.024,,,,,,,,,,1.52,,2016-03-15 21:54:47.688,,161
491783,493540,Accelerometer,,,,0.008,-0.02,1.024,,,,,,,,,,1.56,,2016-03-15 21:54:47.691,,161
491784,493541,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.6,,2016-03-15 21:54:47.691,,161
491785,493542,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.64,,2016-03-15 21:54:47.693,,161
491786,493543,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,1.68,,2016-03-15 21:54:47.693,,161
491787,493544,Accelerometer,,,,0.008,-0.021,1.026,,,,,,,,,,1.72,,2016-03-15 21:54:47.693,,161
491788,493545,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,1.76,,2016-03-15 21:54:47.694,,161
491789,493546,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,1.8,,2016-03-15 21:54:47.694,,161
491790,493547,Accelerometer,,,,0.009,-0.02,1.026,,,,,,,,,,1.84,,2016-03-15 21:54:47.694,,161
491791,493548,Accelerometer,,,,0.007,-0.019,1.025,,,,,,,,,,1.88,,2016-03-15 21:54:47.695,,161
491792,493549,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,1.92,,2016-03-15 21:54:47.695,,161
491793,493550,Accelerometer,,,,0.008,-0.019,1.026,,,,,,,,,,1.96,,2016-03-15 21:54:47.695,,161
491794,493551,Accelerometer,,,,0.009,-0.019,1.025,,,,,,,,,,2.0,,2016-03-15 21:54:47.696,,161
491795,493552,Accelerometer,,,,0.009,-0.02,1.025,,,,,,,,,,2.04,,2016-03-15 21:54:47.696,,161
491796,493553,Accelerometer,,,,0.009,-0.021,1.025,,,,,,,,,,2.08,,2016-03-15 21:54:47.696,,161
491797,493554,Accelerometer,,,,0.008,-0.021,1.025,,,,,,,,,,2.12,,2016-03-15 21:54:47.697,,161
491798,493555,Accelerometer,,,,0.008,-0.02,1.027,,,,,,,,,,2.16,,2016-03-15 21:54:47.697,,161
491799,493556,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,2.2,,2016-03-15 21:54:47.697,,161
491800,493557,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,2.24,,2016-03-15 21:54:47.697,,161
491801,493558,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,2.28,,2016-03-15 21:54:47.698,,161
491802,493559,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,2.32,,2016-03-15 21:54:47.698,,161
491803,493560,Accelerometer,,,,0.009,-0.019,1.025,,,,,,,,,,2.36,,2016-03-15 21:54:47.698,,161
491804,493561,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,2.4,,2016-03-15 21:54:47.699,,161
491805,493562,Accelerometer,,,,0.008,-0.02,1.025,,,,,,,,,,2.44,,2016-03-15 21:54:47.699,,161
491806,493563,Accelerometer,,,,0.008,-0.019,1.025,,,,,,,,,,2.48,,2016-03-15 21:54:47.700,,161
491807,493564,Accelerometer,,,,0.009,-0.02,1.025,,,,,,,,,,2.52,,2016-03-15 21:54:47.700,,161
491808,493565,Accelerometer,,,,0.007,-0.02,1.027,,,,,,,,,,2.56,,2016-03-15 21:54:47.701,,161
491809,493566,Accelerometer,,,,0.009,-0.019,1.026,,,,,,,,,,2.6,,2016-03-15 21:54:47.701,,161
491810,493567,Accelerometer,,,,0.008,-0.02,1.026,,,,,,,,,,2.64,,2016-03-15 21:54:47.702,,161
