,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
358843,360600,Accelerometer,,,,-0.963,0.207,0.102,,,,,,,,,,0.0,,2016-03-12 13:42:08.196,,131
358844,360601,Accelerometer,,,,-1.008,0.197,0.128,,,,,,,,,,0.04,,2016-03-12 13:42:08.196,,131
358845,360602,Accelerometer,,,,-1.0,0.25,0.123,,,,,,,,,,0.08,,2016-03-12 13:42:08.196,,131
358846,360603,Accelerometer,,,,-0.97,0.267,0.095,,,,,,,,,,0.12,,2016-03-12 13:42:08.196,,131
358847,360604,Accelerometer,,,,-0.983,0.215,0.088,,,,,,,,,,0.16,,2016-03-12 13:42:08.197,,131
358848,360605,Accelerometer,,,,-1.01,0.199,0.08,,,,,,,,,,0.2,,2016-03-12 13:42:08.197,,131
358849,360606,Accelerometer,,,,-0.999,0.207,0.083,,,,,,,,,,0.24,,2016-03-12 13:42:08.197,,131
358850,360607,Accelerometer,,,,-0.956,0.258,0.07,,,,,,,,,,0.28,,2016-03-12 13:42:08.198,,131
358851,360608,Accelerometer,,,,-0.968,0.259,0.058,,,,,,,,,,0.32,,2016-03-12 13:42:08.198,,131
358852,360609,Accelerometer,,,,-1.0,0.203,0.074,,,,,,,,,,0.36,,2016-03-12 13:42:08.198,,131
358853,360610,Accelerometer,,,,-1.008,0.206,0.042,,,,,,,,,,0.4,,2016-03-12 13:42:08.198,,131
358854,360611,Accelerometer,,,,-0.938,0.218,-0.021,,,,,,,,,,0.44,,2016-03-12 13:42:08.199,,131
358855,360612,Accelerometer,,,,-0.899,0.208,-0.01,,,,,,,,,,0.48,,2016-03-12 13:42:08.199,,131
358856,360613,Accelerometer,,,,-0.984,0.174,-0.074,,,,,,,,,,0.52,,2016-03-12 13:42:08.199,,131
358857,360614,Accelerometer,,,,-0.956,0.258,-0.003,,,,,,,,,,0.56,,2016-03-12 13:42:08.199,,131
358858,360615,Accelerometer,,,,-0.977,0.283,-0.062,,,,,,,,,,0.6,,2016-03-12 13:42:08.199,,131
358859,360616,Accelerometer,,,,-0.983,0.241,-0.12,,,,,,,,,,0.64,,2016-03-12 13:42:08.200,,131
358860,360617,Accelerometer,,,,-0.969,0.111,-0.213,,,,,,,,,,0.68,,2016-03-12 13:42:08.200,,131
358861,360618,Accelerometer,,,,-0.986,0.109,-0.318,,,,,,,,,,0.72,,2016-03-12 13:42:08.200,,131
358862,360619,Accelerometer,,,,-0.854,0.011,-0.521,,,,,,,,,,0.76,,2016-03-12 13:42:08.200,,131
358863,360620,Accelerometer,,,,-0.859,-0.02,-0.653,,,,,,,,,,0.8,,2016-03-12 13:42:08.201,,131
358864,360621,Accelerometer,,,,-0.869,0.083,-0.862,,,,,,,,,,0.84,,2016-03-12 13:42:08.201,,131
