,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
259869,259963,Accelerometer,,,,-0.953,-0.303,0.181,,,,,,,,,,0.0,,2016-03-05 13:51:42.396,,100
259870,259964,Accelerometer,,,,-0.959,-0.303,0.187,,,,,,,,,,0.04,,2016-03-05 13:51:42.397,,100
259871,259965,Accelerometer,,,,-0.96,-0.301,0.185,,,,,,,,,,0.08,,2016-03-05 13:51:42.397,,100
259872,259966,Accelerometer,,,,-0.955,-0.307,0.189,,,,,,,,,,0.12,,2016-03-05 13:51:42.398,,100
259873,259967,Accelerometer,,,,-0.957,-0.303,0.191,,,,,,,,,,0.16,,2016-03-05 13:51:42.398,,100
259874,259968,Accelerometer,,,,-0.96,-0.305,0.192,,,,,,,,,,0.2,,2016-03-05 13:51:42.398,,100
259875,259969,Accelerometer,,,,-0.96,-0.306,0.194,,,,,,,,,,0.24,,2016-03-05 13:51:42.398,,100
259876,259970,Accelerometer,,,,-0.953,-0.304,0.192,,,,,,,,,,0.28,,2016-03-05 13:51:42.399,,100
259877,259971,Accelerometer,,,,-0.951,-0.31,0.194,,,,,,,,,,0.32,,2016-03-05 13:51:42.399,,100
259878,259972,Accelerometer,,,,-0.956,-0.31,0.192,,,,,,,,,,0.36,,2016-03-05 13:51:42.399,,100
259879,259973,Accelerometer,,,,-0.96,-0.307,0.181,,,,,,,,,,0.4,,2016-03-05 13:51:42.399,,100
259880,259974,Accelerometer,,,,-0.953,-0.312,0.212,,,,,,,,,,0.44,,2016-03-05 13:51:42.400,,100
259881,259975,Accelerometer,,,,-0.965,-0.311,0.2,,,,,,,,,,0.48,,2016-03-05 13:51:42.400,,100
259882,259976,Accelerometer,,,,-0.961,-0.309,0.175,,,,,,,,,,0.52,,2016-03-05 13:51:42.400,,100
259883,259977,Accelerometer,,,,-0.954,-0.311,0.193,,,,,,,,,,0.56,,2016-03-05 13:51:42.401,,100
259884,259978,Accelerometer,,,,-0.95,-0.31,0.191,,,,,,,,,,0.6,,2016-03-05 13:51:42.401,,100
259885,259979,Accelerometer,,,,-0.959,-0.311,0.181,,,,,,,,,,0.64,,2016-03-05 13:51:42.401,,100
259886,259980,Accelerometer,,,,-0.959,-0.312,0.182,,,,,,,,,,0.68,,2016-03-05 13:51:42.401,,100
259887,259981,Accelerometer,,,,-0.958,-0.31,0.184,,,,,,,,,,0.72,,2016-03-05 13:51:42.402,,100
259888,259982,Accelerometer,,,,-0.964,-0.31,0.19,,,,,,,,,,0.76,,2016-03-05 13:51:42.402,,100
259889,259983,Accelerometer,,,,-0.96,-0.311,0.183,,,,,,,,,,0.8,,2016-03-05 13:51:42.402,,100
259890,259984,Accelerometer,,,,-0.96,-0.308,0.182,,,,,,,,,,0.84,,2016-03-05 13:51:42.402,,100
259891,259985,Accelerometer,,,,-0.962,-0.309,0.184,,,,,,,,,,0.88,,2016-03-05 13:51:42.402,,100
259892,259986,Accelerometer,,,,-0.96,-0.31,0.184,,,,,,,,,,0.92,,2016-03-05 13:51:42.403,,100
259893,259987,Accelerometer,,,,-0.958,-0.307,0.18,,,,,,,,,,0.96,,2016-03-05 13:51:42.403,,100
259894,259988,Accelerometer,,,,-0.961,-0.309,0.186,,,,,,,,,,1.0,,2016-03-05 13:51:42.403,,100
259895,259989,Accelerometer,,,,-0.96,-0.309,0.182,,,,,,,,,,1.04,,2016-03-05 13:51:42.403,,100
259896,259990,Accelerometer,,,,-0.962,-0.307,0.181,,,,,,,,,,1.08,,2016-03-05 13:51:42.404,,100
259897,259991,Accelerometer,,,,-0.961,-0.306,0.188,,,,,,,,,,1.12,,2016-03-05 13:51:42.404,,100
259898,259992,Accelerometer,,,,-0.957,-0.304,0.186,,,,,,,,,,1.16,,2016-03-05 13:51:42.404,,100
259899,259993,Accelerometer,,,,-0.96,-0.301,0.183,,,,,,,,,,1.2,,2016-03-05 13:51:42.404,,100
259900,259994,Accelerometer,,,,-0.962,-0.307,0.187,,,,,,,,,,1.24,,2016-03-05 13:51:42.405,,100
259901,259995,Accelerometer,,,,-0.961,-0.302,0.189,,,,,,,,,,1.28,,2016-03-05 13:51:42.405,,100
259902,259996,Accelerometer,,,,-0.959,-0.301,0.185,,,,,,,,,,1.32,,2016-03-05 13:51:42.405,,100
259903,259997,Accelerometer,,,,-0.961,-0.302,0.188,,,,,,,,,,1.36,,2016-03-05 13:51:42.405,,100
259904,259998,Accelerometer,,,,-0.961,-0.305,0.179,,,,,,,,,,1.4,,2016-03-05 13:51:42.406,,100
259905,259999,Accelerometer,,,,-0.959,-0.299,0.188,,,,,,,,,,1.44,,2016-03-05 13:51:42.408,,100
259906,260000,Accelerometer,,,,-0.956,-0.299,0.192,,,,,,,,,,1.48,,2016-03-05 13:51:42.408,,100
