,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
244483,244577,Accelerometer,,,,-0.888,-0.282,0.401,,,,,,,,,,0.0,,2016-03-05 13:44:40.511,,99
244484,244578,Accelerometer,,,,-0.924,-0.266,0.377,,,,,,,,,,0.04,,2016-03-05 13:44:40.512,,99
244485,244579,Accelerometer,,,,-0.894,-0.292,0.377,,,,,,,,,,0.08,,2016-03-05 13:44:40.512,,99
244486,244580,Accelerometer,,,,-0.896,-0.312,0.397,,,,,,,,,,0.12,,2016-03-05 13:44:40.512,,99
244487,244581,Accelerometer,,,,-0.921,-0.291,0.397,,,,,,,,,,0.16,,2016-03-05 13:44:40.513,,99
244488,244582,Accelerometer,,,,-0.912,-0.248,0.388,,,,,,,,,,0.2,,2016-03-05 13:44:40.513,,99
244489,244583,Accelerometer,,,,-0.916,-0.229,0.382,,,,,,,,,,0.24,,2016-03-05 13:44:40.513,,99
244490,244584,Accelerometer,,,,-0.919,-0.226,0.368,,,,,,,,,,0.28,,2016-03-05 13:44:40.514,,99
244491,244585,Accelerometer,,,,-0.929,-0.214,0.372,,,,,,,,,,0.32,,2016-03-05 13:44:40.514,,99
244492,244586,Accelerometer,,,,-0.934,-0.211,0.367,,,,,,,,,,0.36,,2016-03-05 13:44:40.514,,99
244493,244587,Accelerometer,,,,-0.93,-0.211,0.357,,,,,,,,,,0.4,,2016-03-05 13:44:40.515,,99
244494,244588,Accelerometer,,,,-0.936,-0.19,0.367,,,,,,,,,,0.44,,2016-03-05 13:44:40.517,,99
244495,244589,Accelerometer,,,,-0.948,-0.189,0.374,,,,,,,,,,0.48,,2016-03-05 13:44:40.517,,99
244496,244590,Accelerometer,,,,-0.938,-0.179,0.381,,,,,,,,,,0.52,,2016-03-05 13:44:40.517,,99
244497,244591,Accelerometer,,,,-0.92,-0.19,0.376,,,,,,,,,,0.56,,2016-03-05 13:44:40.517,,99
244498,244592,Accelerometer,,,,-0.926,-0.183,0.388,,,,,,,,,,0.6,,2016-03-05 13:44:40.518,,99
244499,244593,Accelerometer,,,,-0.931,-0.174,0.396,,,,,,,,,,0.64,,2016-03-05 13:44:40.518,,99
