,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
521476,524066,Accelerometer,,,,-0.817,0.231,0.542,,,,,,,,,,0.0,,2016-03-26 13:42:56.887,,208
521477,524067,Accelerometer,,,,-0.84,0.246,0.551,,,,,,,,,,0.04,,2016-03-26 13:42:56.888,,208
521478,524068,Accelerometer,,,,-0.854,0.259,0.579,,,,,,,,,,0.08,,2016-03-26 13:42:56.889,,208
521479,524069,Accelerometer,,,,-0.845,0.251,0.588,,,,,,,,,,0.12,,2016-03-26 13:42:56.889,,208
521480,524070,Accelerometer,,,,-0.833,0.25,0.602,,,,,,,,,,0.16,,2016-03-26 13:42:56.890,,208
521481,524071,Accelerometer,,,,-0.832,0.267,0.616,,,,,,,,,,0.2,,2016-03-26 13:42:56.890,,208
521482,524072,Accelerometer,,,,-0.819,0.24,0.598,,,,,,,,,,0.24,,2016-03-26 13:42:56.891,,208
521483,524073,Accelerometer,,,,-0.805,0.224,0.579,,,,,,,,,,0.28,,2016-03-26 13:42:56.891,,208
521484,524074,Accelerometer,,,,-0.777,0.24,0.614,,,,,,,,,,0.32,,2016-03-26 13:42:56.891,,208
521485,524075,Accelerometer,,,,-0.776,0.236,0.63,,,,,,,,,,0.36,,2016-03-26 13:42:56.891,,208
521486,524076,Accelerometer,,,,-0.766,0.196,0.668,,,,,,,,,,0.4,,2016-03-26 13:42:56.892,,208
521487,524077,Accelerometer,,,,-0.777,0.21,0.708,,,,,,,,,,0.44,,2016-03-26 13:42:56.892,,208
521488,524078,Accelerometer,,,,-0.745,0.264,0.735,,,,,,,,,,0.48,,2016-03-26 13:42:56.892,,208
521489,524079,Accelerometer,,,,-0.786,0.206,0.664,,,,,,,,,,0.52,,2016-03-26 13:42:56.892,,208
521490,524080,Accelerometer,,,,-0.694,0.172,0.681,,,,,,,,,,0.56,,2016-03-26 13:42:56.893,,208
