,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
427241,428998,Accelerometer,,,,-0.95,-0.216,0.281,,,,,,,,,,0.0,,2016-03-15 20:39:21.209,,145
427242,428999,Accelerometer,,,,-0.963,-0.216,0.289,,,,,,,,,,0.04,,2016-03-15 20:39:21.209,,145
427243,429000,Accelerometer,,,,-0.956,-0.214,0.288,,,,,,,,,,0.08,,2016-03-15 20:39:21.209,,145
427244,429001,Accelerometer,,,,-0.959,-0.218,0.286,,,,,,,,,,0.12,,2016-03-15 20:39:21.209,,145
427245,429002,Accelerometer,,,,-0.961,-0.21,0.286,,,,,,,,,,0.16,,2016-03-15 20:39:21.210,,145
427246,429003,Accelerometer,,,,-0.96,-0.211,0.285,,,,,,,,,,0.2,,2016-03-15 20:39:21.210,,145
427247,429004,Accelerometer,,,,-0.963,-0.205,0.29,,,,,,,,,,0.24,,2016-03-15 20:39:21.210,,145
427248,429005,Accelerometer,,,,-0.953,-0.228,0.289,,,,,,,,,,0.28,,2016-03-15 20:39:21.211,,145
427249,429006,Accelerometer,,,,-0.958,-0.251,0.289,,,,,,,,,,0.32,,2016-03-15 20:39:21.211,,145
427250,429007,Accelerometer,,,,-0.951,-0.229,0.292,,,,,,,,,,0.36,,2016-03-15 20:39:21.211,,145
427251,429008,Accelerometer,,,,-0.949,-0.219,0.302,,,,,,,,,,0.4,,2016-03-15 20:39:21.212,,145
427252,429009,Accelerometer,,,,-0.954,-0.219,0.289,,,,,,,,,,0.44,,2016-03-15 20:39:21.212,,145
427253,429010,Accelerometer,,,,-0.958,-0.213,0.278,,,,,,,,,,0.48,,2016-03-15 20:39:21.212,,145
427254,429011,Accelerometer,,,,-0.966,-0.204,0.283,,,,,,,,,,0.52,,2016-03-15 20:39:21.212,,145
427255,429012,Accelerometer,,,,-0.953,-0.219,0.294,,,,,,,,,,0.56,,2016-03-15 20:39:21.213,,145
427256,429013,Accelerometer,,,,-0.932,-0.263,0.293,,,,,,,,,,0.6,,2016-03-15 20:39:21.213,,145
427257,429014,Accelerometer,,,,-0.947,-0.233,0.273,,,,,,,,,,0.64,,2016-03-15 20:39:21.213,,145
427258,429015,Accelerometer,,,,-0.987,-0.167,0.262,,,,,,,,,,0.68,,2016-03-15 20:39:21.214,,145
427259,429016,Accelerometer,,,,-1.013,-0.136,0.255,,,,,,,,,,0.72,,2016-03-15 20:39:21.214,,145
427260,429017,Accelerometer,,,,-1.027,-0.183,0.239,,,,,,,,,,0.76,,2016-03-15 20:39:21.214,,145
427261,429018,Accelerometer,,,,-0.999,-0.144,0.18,,,,,,,,,,0.8,,2016-03-15 20:39:21.215,,145
427262,429019,Accelerometer,,,,-0.977,-0.07,0.175,,,,,,,,,,0.84,,2016-03-15 20:39:21.215,,145
427263,429020,Accelerometer,,,,-0.987,-0.066,0.227,,,,,,,,,,0.88,,2016-03-15 20:39:21.215,,145
427264,429021,Accelerometer,,,,-0.961,-0.15,0.278,,,,,,,,,,0.92,,2016-03-15 20:39:21.215,,145
427265,429022,Accelerometer,,,,-0.957,-0.227,0.303,,,,,,,,,,0.96,,2016-03-15 20:39:21.216,,145
427266,429023,Accelerometer,,,,-0.999,-0.235,0.306,,,,,,,,,,1.0,,2016-03-15 20:39:21.216,,145
