,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
287081,287175,Accelerometer,,,,-0.858,-0.276,0.471,,,,,,,,,,0.0,,2016-03-05 14:08:11.868,,102
287082,287176,Accelerometer,,,,-0.869,-0.279,0.469,,,,,,,,,,0.04,,2016-03-05 14:08:11.868,,102
287083,287177,Accelerometer,,,,-0.868,-0.278,0.469,,,,,,,,,,0.08,,2016-03-05 14:08:11.868,,102
287084,287178,Accelerometer,,,,-0.872,-0.279,0.459,,,,,,,,,,0.12,,2016-03-05 14:08:11.868,,102
287085,287179,Accelerometer,,,,-0.87,-0.275,0.458,,,,,,,,,,0.16,,2016-03-05 14:08:11.868,,102
287086,287180,Accelerometer,,,,-0.875,-0.279,0.455,,,,,,,,,,0.2,,2016-03-05 14:08:11.869,,102
287087,287181,Accelerometer,,,,-0.872,-0.279,0.457,,,,,,,,,,0.24,,2016-03-05 14:08:11.869,,102
287088,287182,Accelerometer,,,,-0.879,-0.28,0.458,,,,,,,,,,0.28,,2016-03-05 14:08:11.869,,102
287089,287183,Accelerometer,,,,-0.879,-0.28,0.46,,,,,,,,,,0.32,,2016-03-05 14:08:11.869,,102
287090,287184,Accelerometer,,,,-0.874,-0.277,0.462,,,,,,,,,,0.36,,2016-03-05 14:08:11.870,,102
287091,287185,Accelerometer,,,,-0.869,-0.274,0.46,,,,,,,,,,0.4,,2016-03-05 14:08:11.870,,102
287092,287186,Accelerometer,,,,-0.861,-0.271,0.475,,,,,,,,,,0.44,,2016-03-05 14:08:11.870,,102
287093,287187,Accelerometer,,,,-0.859,-0.266,0.471,,,,,,,,,,0.48,,2016-03-05 14:08:11.870,,102
287094,287188,Accelerometer,,,,-0.857,-0.27,0.496,,,,,,,,,,0.52,,2016-03-05 14:08:11.870,,102
287095,287189,Accelerometer,,,,-0.867,-0.267,0.492,,,,,,,,,,0.56,,2016-03-05 14:08:11.871,,102
287096,287190,Accelerometer,,,,-0.859,-0.266,0.483,,,,,,,,,,0.6,,2016-03-05 14:08:11.871,,102
287097,287191,Accelerometer,,,,-0.852,-0.264,0.495,,,,,,,,,,0.64,,2016-03-05 14:08:11.871,,102
287098,287192,Accelerometer,,,,-0.851,-0.262,0.497,,,,,,,,,,0.68,,2016-03-05 14:08:11.871,,102
287099,287193,Accelerometer,,,,-0.854,-0.266,0.503,,,,,,,,,,0.72,,2016-03-05 14:08:11.871,,102
287100,287194,Accelerometer,,,,-0.852,-0.269,0.505,,,,,,,,,,0.76,,2016-03-05 14:08:11.872,,102
287101,287195,Accelerometer,,,,-0.844,-0.263,0.509,,,,,,,,,,0.8,,2016-03-05 14:08:11.872,,102
287102,287196,Accelerometer,,,,-0.844,-0.265,0.515,,,,,,,,,,0.84,,2016-03-05 14:08:11.872,,102
287103,287197,Accelerometer,,,,-0.848,-0.268,0.511,,,,,,,,,,0.88,,2016-03-05 14:08:11.872,,102
287104,287198,Accelerometer,,,,-0.839,-0.265,0.517,,,,,,,,,,0.92,,2016-03-05 14:08:11.873,,102
287105,287199,Accelerometer,,,,-0.844,-0.265,0.519,,,,,,,,,,0.96,,2016-03-05 14:08:11.873,,102
287106,287200,Accelerometer,,,,-0.838,-0.266,0.522,,,,,,,,,,1.0,,2016-03-05 14:08:11.873,,102
287107,287201,Accelerometer,,,,-0.834,-0.263,0.522,,,,,,,,,,1.04,,2016-03-05 14:08:11.873,,102
287108,287202,Accelerometer,,,,-0.832,-0.262,0.522,,,,,,,,,,1.08,,2016-03-05 14:08:11.874,,102
287109,287203,Accelerometer,,,,-0.83,-0.261,0.514,,,,,,,,,,1.12,,2016-03-05 14:08:11.874,,102
287110,287204,Accelerometer,,,,-0.832,-0.259,0.516,,,,,,,,,,1.16,,2016-03-05 14:08:11.874,,102
287111,287205,Accelerometer,,,,-0.839,-0.265,0.524,,,,,,,,,,1.2,,2016-03-05 14:08:11.874,,102
287112,287206,Accelerometer,,,,-0.828,-0.265,0.529,,,,,,,,,,1.24,,2016-03-05 14:08:11.874,,102
287113,287207,Accelerometer,,,,-0.854,-0.261,0.5,,,,,,,,,,1.28,,2016-03-05 14:08:11.875,,102
287114,287208,Accelerometer,,,,-0.822,-0.266,0.506,,,,,,,,,,1.32,,2016-03-05 14:08:11.875,,102
287115,287209,Accelerometer,,,,-0.829,-0.269,0.536,,,,,,,,,,1.36,,2016-03-05 14:08:11.875,,102
287116,287210,Accelerometer,,,,-0.849,-0.267,0.519,,,,,,,,,,1.4,,2016-03-05 14:08:11.875,,102
287117,287211,Accelerometer,,,,-0.84,-0.275,0.535,,,,,,,,,,1.44,,2016-03-05 14:08:11.876,,102
287118,287212,Accelerometer,,,,-0.836,-0.27,0.53,,,,,,,,,,1.48,,2016-03-05 14:08:11.876,,102
287119,287213,Accelerometer,,,,-0.833,-0.268,0.53,,,,,,,,,,1.52,,2016-03-05 14:08:11.876,,102
