,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
518970,521560,Accelerometer,,,,-0.441,0.058,-1.054,,,,,,,,,,0.0,,2016-03-26 13:39:22.183,,207
518971,521561,Accelerometer,,,,-0.436,0.168,-1.169,,,,,,,,,,0.04,,2016-03-26 13:39:22.183,,207
518972,521562,Accelerometer,,,,-0.359,0.118,-1.037,,,,,,,,,,0.08,,2016-03-26 13:39:22.183,,207
518973,521563,Accelerometer,,,,-0.392,0.296,-0.719,,,,,,,,,,0.12,,2016-03-26 13:39:22.184,,207
518974,521564,Accelerometer,,,,-0.697,0.655,-0.847,,,,,,,,,,0.16,,2016-03-26 13:39:22.184,,207
518975,521565,Accelerometer,,,,-0.918,0.82,-0.598,,,,,,,,,,0.2,,2016-03-26 13:39:22.184,,207
518976,521566,Accelerometer,,,,-0.405,0.72,-0.682,,,,,,,,,,0.24,,2016-03-26 13:39:22.185,,207
518977,521567,Accelerometer,,,,-0.141,0.349,-0.785,,,,,,,,,,0.28,,2016-03-26 13:39:22.185,,207
518978,521568,Accelerometer,,,,-0.316,0.311,-0.68,,,,,,,,,,0.32,,2016-03-26 13:39:22.185,,207
518979,521569,Accelerometer,,,,-0.355,0.533,-0.922,,,,,,,,,,0.36,,2016-03-26 13:39:22.186,,207
518980,521570,Accelerometer,,,,0.428,0.964,-2.183,,,,,,,,,,0.4,,2016-03-26 13:39:22.186,,207
518981,521571,Accelerometer,,,,-1.301,-0.404,1.276,,,,,,,,,,0.44,,2016-03-26 13:39:22.186,,207
518982,521572,Accelerometer,,,,-1.815,0.791,-0.55,,,,,,,,,,0.48,,2016-03-26 13:39:22.187,,207
518983,521573,Accelerometer,,,,-0.675,0.538,-0.846,,,,,,,,,,0.52,,2016-03-26 13:39:22.187,,207
518984,521574,Accelerometer,,,,1.117,1.008,-1.513,,,,,,,,,,0.56,,2016-03-26 13:39:22.187,,207
518985,521575,Accelerometer,,,,-0.986,0.544,-0.327,,,,,,,,,,0.6,,2016-03-26 13:39:22.187,,207
518986,521576,Accelerometer,,,,-0.834,0.356,-0.556,,,,,,,,,,0.64,,2016-03-26 13:39:22.188,,207
518987,521577,Accelerometer,,,,-0.179,0.759,-0.737,,,,,,,,,,0.68,,2016-03-26 13:39:22.188,,207
518988,521578,Accelerometer,,,,-0.544,0.323,-0.501,,,,,,,,,,0.72,,2016-03-26 13:39:22.188,,207
518989,521579,Accelerometer,,,,-1.337,0.507,-0.823,,,,,,,,,,0.76,,2016-03-26 13:39:22.189,,207
518990,521580,Accelerometer,,,,-0.429,0.46,-0.447,,,,,,,,,,0.8,,2016-03-26 13:39:22.189,,207
518991,521581,Accelerometer,,,,-0.673,-0.26,-0.688,,,,,,,,,,0.84,,2016-03-26 13:39:22.189,,207
518992,521582,Accelerometer,,,,-0.881,-0.011,-1.029,,,,,,,,,,0.88,,2016-03-26 13:39:22.190,,207
518993,521583,Accelerometer,,,,0.7,-0.669,-1.198,,,,,,,,,,0.92,,2016-03-26 13:39:22.190,,207
518994,521584,Accelerometer,,,,-0.831,0.989,-0.37,,,,,,,,,,0.96,,2016-03-26 13:39:22.190,,207
518995,521585,Accelerometer,,,,-0.78,-0.05,-0.919,,,,,,,,,,1.0,,2016-03-26 13:39:22.190,,207
518996,521586,Accelerometer,,,,-0.43,0.12,-0.779,,,,,,,,,,1.04,,2016-03-26 13:39:22.191,,207
518997,521587,Accelerometer,,,,-0.456,0.102,-0.603,,,,,,,,,,1.08,,2016-03-26 13:39:22.193,,207
518998,521588,Accelerometer,,,,-0.817,0.277,-0.914,,,,,,,,,,1.12,,2016-03-26 13:39:22.193,,207
518999,521589,Accelerometer,,,,-1.025,0.438,-1.483,,,,,,,,,,1.16,,2016-03-26 13:39:22.193,,207
519000,521590,Accelerometer,,,,-0.721,0.557,-0.531,,,,,,,,,,1.2,,2016-03-26 13:39:22.193,,207
519001,521591,Accelerometer,,,,-0.821,0.548,0.257,,,,,,,,,,1.24,,2016-03-26 13:39:22.194,,207
519002,521592,Accelerometer,,,,-0.769,0.452,-0.862,,,,,,,,,,1.28,,2016-03-26 13:39:22.194,,207
519003,521593,Accelerometer,,,,-0.577,0.632,-1.141,,,,,,,,,,1.32,,2016-03-26 13:39:22.194,,207
519004,521594,Accelerometer,,,,-0.52,0.405,-0.686,,,,,,,,,,1.36,,2016-03-26 13:39:22.194,,207
519005,521595,Accelerometer,,,,-0.728,-0.082,-0.496,,,,,,,,,,1.4,,2016-03-26 13:39:22.195,,207
519006,521596,Accelerometer,,,,-0.516,-0.187,-0.904,,,,,,,,,,1.44,,2016-03-26 13:39:22.195,,207
519007,521597,Accelerometer,,,,-0.915,-0.315,-0.922,,,,,,,,,,1.48,,2016-03-26 13:39:22.195,,207
519008,521598,Accelerometer,,,,-0.795,0.011,-0.815,,,,,,,,,,1.52,,2016-03-26 13:39:22.195,,207
519009,521599,Accelerometer,,,,0.164,0.022,-1.2,,,,,,,,,,1.56,,2016-03-26 13:39:22.195,,207
519010,521600,Accelerometer,,,,-0.158,-0.546,-1.349,,,,,,,,,,1.6,,2016-03-26 13:39:22.196,,207
