,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
487409,489166,Accelerometer,,,,-0.954,-0.198,0.298,,,,,,,,,,0.0,,2016-03-15 21:48:10.107,,160
487410,489167,Accelerometer,,,,-0.964,-0.198,0.31,,,,,,,,,,0.04,,2016-03-15 21:48:10.108,,160
487411,489168,Accelerometer,,,,-0.964,-0.198,0.311,,,,,,,,,,0.08,,2016-03-15 21:48:10.108,,160
487412,489169,Accelerometer,,,,-0.958,-0.196,0.308,,,,,,,,,,0.12,,2016-03-15 21:48:10.108,,160
487413,489170,Accelerometer,,,,-0.958,-0.194,0.314,,,,,,,,,,0.16,,2016-03-15 21:48:10.108,,160
487414,489171,Accelerometer,,,,-0.957,-0.198,0.317,,,,,,,,,,0.2,,2016-03-15 21:48:10.109,,160
487415,489172,Accelerometer,,,,-0.958,-0.194,0.319,,,,,,,,,,0.24,,2016-03-15 21:48:10.109,,160
487416,489173,Accelerometer,,,,-0.955,-0.194,0.32,,,,,,,,,,0.28,,2016-03-15 21:48:10.109,,160
487417,489174,Accelerometer,,,,-0.953,-0.197,0.325,,,,,,,,,,0.32,,2016-03-15 21:48:10.109,,160
487418,489175,Accelerometer,,,,-0.95,-0.196,0.327,,,,,,,,,,0.36,,2016-03-15 21:48:10.109,,160
487419,489176,Accelerometer,,,,-0.951,-0.198,0.327,,,,,,,,,,0.4,,2016-03-15 21:48:10.110,,160
487420,489177,Accelerometer,,,,-0.952,-0.195,0.339,,,,,,,,,,0.44,,2016-03-15 21:48:10.110,,160
487421,489178,Accelerometer,,,,-0.954,-0.188,0.342,,,,,,,,,,0.48,,2016-03-15 21:48:10.110,,160
487422,489179,Accelerometer,,,,-0.946,-0.19,0.339,,,,,,,,,,0.52,,2016-03-15 21:48:10.110,,160
487423,489180,Accelerometer,,,,-0.951,-0.198,0.336,,,,,,,,,,0.56,,2016-03-15 21:48:10.111,,160
487424,489181,Accelerometer,,,,-0.95,-0.19,0.33,,,,,,,,,,0.6,,2016-03-15 21:48:10.111,,160
487425,489182,Accelerometer,,,,-0.937,-0.199,0.348,,,,,,,,,,0.64,,2016-03-15 21:48:10.111,,160
487426,489183,Accelerometer,,,,-0.944,-0.203,0.353,,,,,,,,,,0.68,,2016-03-15 21:48:10.111,,160
487427,489184,Accelerometer,,,,-0.941,-0.197,0.333,,,,,,,,,,0.72,,2016-03-15 21:48:10.111,,160
487428,489185,Accelerometer,,,,-0.954,-0.194,0.347,,,,,,,,,,0.76,,2016-03-15 21:48:10.112,,160
487429,489186,Accelerometer,,,,-0.95,-0.181,0.34,,,,,,,,,,0.8,,2016-03-15 21:48:10.112,,160
487430,489187,Accelerometer,,,,-0.948,-0.185,0.333,,,,,,,,,,0.84,,2016-03-15 21:48:10.112,,160
487431,489188,Accelerometer,,,,-0.953,-0.192,0.327,,,,,,,,,,0.88,,2016-03-15 21:48:10.112,,160
487432,489189,Accelerometer,,,,-0.959,-0.188,0.322,,,,,,,,,,0.92,,2016-03-15 21:48:10.112,,160
487433,489190,Accelerometer,,,,-0.959,-0.188,0.319,,,,,,,,,,0.96,,2016-03-15 21:48:10.113,,160
487434,489191,Accelerometer,,,,-0.958,-0.188,0.32,,,,,,,,,,1.0,,2016-03-15 21:48:10.113,,160
