,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
425660,427417,Accelerometer,,,,-1.009,-0.172,-0.034,,,,,,,,,,0.0,,2016-03-15 20:36:13.346,,144
425661,427418,Accelerometer,,,,-1.02,-0.172,-0.037,,,,,,,,,,0.04,,2016-03-15 20:36:13.347,,144
425662,427419,Accelerometer,,,,-1.01,-0.172,-0.039,,,,,,,,,,0.08,,2016-03-15 20:36:13.347,,144
425663,427420,Accelerometer,,,,-1.017,-0.181,-0.036,,,,,,,,,,0.12,,2016-03-15 20:36:13.347,,144
425664,427421,Accelerometer,,,,-1.025,-0.173,-0.032,,,,,,,,,,0.16,,2016-03-15 20:36:13.348,,144
425665,427422,Accelerometer,,,,-1.007,-0.155,-0.052,,,,,,,,,,0.2,,2016-03-15 20:36:13.348,,144
425666,427423,Accelerometer,,,,-0.977,-0.157,-0.084,,,,,,,,,,0.24,,2016-03-15 20:36:13.349,,144
425667,427424,Accelerometer,,,,-0.975,-0.157,-0.094,,,,,,,,,,0.28,,2016-03-15 20:36:13.351,,144
425668,427425,Accelerometer,,,,-0.988,-0.159,-0.07,,,,,,,,,,0.32,,2016-03-15 20:36:13.351,,144
425669,427426,Accelerometer,,,,-1.004,-0.171,-0.062,,,,,,,,,,0.36,,2016-03-15 20:36:13.351,,144
425670,427427,Accelerometer,,,,-1.005,-0.168,-0.06,,,,,,,,,,0.4,,2016-03-15 20:36:13.352,,144
425671,427428,Accelerometer,,,,-0.997,-0.175,-0.073,,,,,,,,,,0.44,,2016-03-15 20:36:13.353,,144
425672,427429,Accelerometer,,,,-0.997,-0.183,-0.056,,,,,,,,,,0.48,,2016-03-15 20:36:13.353,,144
425673,427430,Accelerometer,,,,-0.989,-0.18,-0.053,,,,,,,,,,0.52,,2016-03-15 20:36:13.353,,144
425674,427431,Accelerometer,,,,-1.003,-0.193,-0.06,,,,,,,,,,0.56,,2016-03-15 20:36:13.354,,144
425675,427432,Accelerometer,,,,-1.023,-0.204,-0.061,,,,,,,,,,0.6,,2016-03-15 20:36:13.354,,144
425676,427433,Accelerometer,,,,-1.04,-0.179,-0.052,,,,,,,,,,0.64,,2016-03-15 20:36:13.354,,144
425677,427434,Accelerometer,,,,-1.044,-0.188,-0.013,,,,,,,,,,0.68,,2016-03-15 20:36:13.355,,144
425678,427435,Accelerometer,,,,-1.004,-0.178,-0.015,,,,,,,,,,0.72,,2016-03-15 20:36:13.355,,144
