,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
454335,456092,Accelerometer,,,,-0.913,-0.157,0.417,,,,,,,,,,0.0,,2016-03-15 21:16:34.450,,154
454336,456093,Accelerometer,,,,-0.934,-0.151,0.381,,,,,,,,,,0.04,,2016-03-15 21:16:34.450,,154
454337,456094,Accelerometer,,,,-0.926,-0.166,0.396,,,,,,,,,,0.08,,2016-03-15 21:16:34.451,,154
454338,456095,Accelerometer,,,,-0.93,-0.161,0.403,,,,,,,,,,0.12,,2016-03-15 21:16:34.451,,154
454339,456096,Accelerometer,,,,-0.937,-0.157,0.399,,,,,,,,,,0.16,,2016-03-15 21:16:34.451,,154
454340,456097,Accelerometer,,,,-0.926,-0.159,0.388,,,,,,,,,,0.2,,2016-03-15 21:16:34.451,,154
454341,456098,Accelerometer,,,,-0.931,-0.155,0.396,,,,,,,,,,0.24,,2016-03-15 21:16:34.451,,154
454342,456099,Accelerometer,,,,-0.932,-0.158,0.395,,,,,,,,,,0.28,,2016-03-15 21:16:34.452,,154
454343,456100,Accelerometer,,,,-0.936,-0.156,0.4,,,,,,,,,,0.32,,2016-03-15 21:16:34.452,,154
454344,456101,Accelerometer,,,,-0.935,-0.154,0.397,,,,,,,,,,0.36,,2016-03-15 21:16:34.452,,154
454345,456102,Accelerometer,,,,-0.932,-0.153,0.394,,,,,,,,,,0.4,,2016-03-15 21:16:34.452,,154
454346,456103,Accelerometer,,,,-0.931,-0.15,0.393,,,,,,,,,,0.44,,2016-03-15 21:16:34.452,,154
454347,456104,Accelerometer,,,,-0.933,-0.155,0.397,,,,,,,,,,0.48,,2016-03-15 21:16:34.453,,154
454348,456105,Accelerometer,,,,-0.934,-0.15,0.396,,,,,,,,,,0.52,,2016-03-15 21:16:34.453,,154
454349,456106,Accelerometer,,,,-0.932,-0.151,0.392,,,,,,,,,,0.56,,2016-03-15 21:16:34.453,,154
454350,456107,Accelerometer,,,,-0.933,-0.154,0.398,,,,,,,,,,0.6,,2016-03-15 21:16:34.453,,154
454351,456108,Accelerometer,,,,-0.94,-0.155,0.395,,,,,,,,,,0.64,,2016-03-15 21:16:34.453,,154
454352,456109,Accelerometer,,,,-0.929,-0.154,0.382,,,,,,,,,,0.68,,2016-03-15 21:16:34.454,,154
454353,456110,Accelerometer,,,,-0.929,-0.153,0.404,,,,,,,,,,0.72,,2016-03-15 21:16:34.454,,154
454354,456111,Accelerometer,,,,-0.935,-0.159,0.401,,,,,,,,,,0.76,,2016-03-15 21:16:34.454,,154
454355,456112,Accelerometer,,,,-0.933,-0.153,0.382,,,,,,,,,,0.8,,2016-03-15 21:16:34.454,,154
454356,456113,Accelerometer,,,,-0.939,-0.15,0.388,,,,,,,,,,0.84,,2016-03-15 21:16:34.454,,154
454357,456114,Accelerometer,,,,-0.94,-0.154,0.393,,,,,,,,,,0.88,,2016-03-15 21:16:34.455,,154
454358,456115,Accelerometer,,,,-0.935,-0.16,0.384,,,,,,,,,,0.92,,2016-03-15 21:16:34.455,,154
454359,456116,Accelerometer,,,,-0.936,-0.149,0.379,,,,,,,,,,0.96,,2016-03-15 21:16:34.455,,154
454360,456117,Accelerometer,,,,-0.938,-0.152,0.386,,,,,,,,,,1.0,,2016-03-15 21:16:34.455,,154
454361,456118,Accelerometer,,,,-0.939,-0.155,0.387,,,,,,,,,,1.04,,2016-03-15 21:16:34.456,,154
454362,456119,Accelerometer,,,,-0.938,-0.158,0.386,,,,,,,,,,1.08,,2016-03-15 21:16:34.456,,154
454363,456120,Accelerometer,,,,-0.937,-0.16,0.387,,,,,,,,,,1.12,,2016-03-15 21:16:34.456,,154
454364,456121,Accelerometer,,,,-0.939,-0.156,0.385,,,,,,,,,,1.16,,2016-03-15 21:16:34.456,,154
454365,456122,Accelerometer,,,,-0.938,-0.158,0.381,,,,,,,,,,1.2,,2016-03-15 21:16:34.456,,154
454366,456123,Accelerometer,,,,-0.933,-0.161,0.382,,,,,,,,,,1.24,,2016-03-15 21:16:34.458,,154
454367,456124,Accelerometer,,,,-0.932,-0.157,0.389,,,,,,,,,,1.28,,2016-03-15 21:16:34.458,,154
454368,456125,Accelerometer,,,,-0.934,-0.172,0.383,,,,,,,,,,1.32,,2016-03-15 21:16:34.459,,154
454369,456126,Accelerometer,,,,-0.946,-0.174,0.387,,,,,,,,,,1.36,,2016-03-15 21:16:34.459,,154
454370,456127,Accelerometer,,,,-0.967,-0.158,0.378,,,,,,,,,,1.4,,2016-03-15 21:16:34.459,,154
454371,456128,Accelerometer,,,,-0.955,-0.139,0.346,,,,,,,,,,1.44,,2016-03-15 21:16:34.459,,154
454372,456129,Accelerometer,,,,-0.957,-0.112,0.335,,,,,,,,,,1.48,,2016-03-15 21:16:34.460,,154
454373,456130,Accelerometer,,,,-0.972,-0.097,0.359,,,,,,,,,,1.52,,2016-03-15 21:16:34.460,,154
454374,456131,Accelerometer,,,,-0.952,-0.128,0.35,,,,,,,,,,1.56,,2016-03-15 21:16:34.460,,154
454375,456132,Accelerometer,,,,-0.924,-0.146,0.354,,,,,,,,,,1.6,,2016-03-15 21:16:34.460,,154
454376,456133,Accelerometer,,,,-0.902,-0.178,0.37,,,,,,,,,,1.64,,2016-03-15 21:16:34.460,,154
454377,456134,Accelerometer,,,,-0.928,-0.154,0.411,,,,,,,,,,1.68,,2016-03-15 21:16:34.461,,154
454378,456135,Accelerometer,,,,-0.94,-0.134,0.428,,,,,,,,,,1.72,,2016-03-15 21:16:34.461,,154
454379,456136,Accelerometer,,,,-0.912,-0.185,0.425,,,,,,,,,,1.76,,2016-03-15 21:16:34.461,,154
454380,456137,Accelerometer,,,,-0.911,-0.22,0.409,,,,,,,,,,1.8,,2016-03-15 21:16:34.461,,154
454381,456138,Accelerometer,,,,-0.902,-0.284,0.399,,,,,,,,,,1.84,,2016-03-15 21:16:34.462,,154
454382,456139,Accelerometer,,,,-0.898,-0.292,0.383,,,,,,,,,,1.88,,2016-03-15 21:16:34.462,,154
454383,456140,Accelerometer,,,,-0.896,-0.28,0.411,,,,,,,,,,1.92,,2016-03-15 21:16:34.463,,154
454384,456141,Accelerometer,,,,-0.888,-0.238,0.399,,,,,,,,,,1.96,,2016-03-15 21:16:34.463,,154
454385,456142,Accelerometer,,,,-0.875,-0.206,0.368,,,,,,,,,,2.0,,2016-03-15 21:16:34.463,,154
454386,456143,Accelerometer,,,,-0.829,-0.279,0.322,,,,,,,,,,2.04,,2016-03-15 21:16:34.464,,154
454387,456144,Accelerometer,,,,-0.837,-0.408,0.305,,,,,,,,,,2.08,,2016-03-15 21:16:34.464,,154
454388,456145,Accelerometer,,,,-0.909,-0.386,0.263,,,,,,,,,,2.12,,2016-03-15 21:16:34.464,,154
454389,456146,Accelerometer,,,,-0.847,-0.442,0.261,,,,,,,,,,2.16,,2016-03-15 21:16:34.464,,154
454390,456147,Accelerometer,,,,-0.781,-0.469,0.27,,,,,,,,,,2.2,,2016-03-15 21:16:34.464,,154
454391,456148,Accelerometer,,,,-0.846,-0.383,0.259,,,,,,,,,,2.24,,2016-03-15 21:16:34.465,,154
454392,456149,Accelerometer,,,,-1.062,-0.351,0.268,,,,,,,,,,2.28,,2016-03-15 21:16:34.465,,154
454393,456150,Accelerometer,,,,-1.158,-0.298,0.116,,,,,,,,,,2.32,,2016-03-15 21:16:34.465,,154
454394,456151,Accelerometer,,,,-1.307,-0.302,-0.042,,,,,,,,,,2.36,,2016-03-15 21:16:34.465,,154
454395,456152,Accelerometer,,,,-1.333,-0.424,-0.233,,,,,,,,,,2.4,,2016-03-15 21:16:34.466,,154
454396,456153,Accelerometer,,,,-1.366,-0.341,-0.247,,,,,,,,,,2.44,,2016-03-15 21:16:34.466,,154
454397,456154,Accelerometer,,,,-1.256,-0.161,-0.244,,,,,,,,,,2.48,,2016-03-15 21:16:34.466,,154
454398,456155,Accelerometer,,,,-1.17,0.045,-0.252,,,,,,,,,,2.52,,2016-03-15 21:16:34.466,,154
454399,456156,Accelerometer,,,,-1.042,0.174,-0.256,,,,,,,,,,2.56,,2016-03-15 21:16:34.466,,154
454400,456157,Accelerometer,,,,-0.801,0.353,-0.312,,,,,,,,,,2.6,,2016-03-15 21:16:34.467,,154
454401,456158,Accelerometer,,,,-0.716,0.141,-0.372,,,,,,,,,,2.64,,2016-03-15 21:16:34.467,,154
454402,456159,Accelerometer,,,,-0.747,0.048,-0.371,,,,,,,,,,2.68,,2016-03-15 21:16:34.467,,154
454403,456160,Accelerometer,,,,-0.9,0.277,-0.331,,,,,,,,,,2.72,,2016-03-15 21:16:34.467,,154
454404,456161,Accelerometer,,,,-1.107,0.256,-0.174,,,,,,,,,,2.76,,2016-03-15 21:16:34.467,,154
454405,456162,Accelerometer,,,,-0.908,0.108,-0.036,,,,,,,,,,2.8,,2016-03-15 21:16:34.468,,154
454406,456163,Accelerometer,,,,-0.531,0.181,-0.323,,,,,,,,,,2.84,,2016-03-15 21:16:34.468,,154
454407,456164,Accelerometer,,,,-0.87,0.501,-0.466,,,,,,,,,,2.88,,2016-03-15 21:16:34.468,,154
454408,456165,Accelerometer,,,,-0.922,0.575,-0.331,,,,,,,,,,2.92,,2016-03-15 21:16:34.468,,154
454409,456166,Accelerometer,,,,-0.717,0.198,-0.508,,,,,,,,,,2.96,,2016-03-15 21:16:34.468,,154
454410,456167,Accelerometer,,,,-0.828,0.049,-0.456,,,,,,,,,,3.0,,2016-03-15 21:16:34.469,,154
454411,456168,Accelerometer,,,,-1.0,0.25,-0.353,,,,,,,,,,3.04,,2016-03-15 21:16:34.469,,154
454412,456169,Accelerometer,,,,-0.969,0.282,-0.357,,,,,,,,,,3.08,,2016-03-15 21:16:34.469,,154
454413,456170,Accelerometer,,,,-0.878,0.206,-0.553,,,,,,,,,,3.12,,2016-03-15 21:16:34.469,,154
454414,456171,Accelerometer,,,,-0.822,0.209,-0.333,,,,,,,,,,3.16,,2016-03-15 21:16:34.469,,154
454415,456172,Accelerometer,,,,-0.773,0.175,-0.478,,,,,,,,,,3.2,,2016-03-15 21:16:34.470,,154
454416,456173,Accelerometer,,,,-0.811,0.063,-0.275,,,,,,,,,,3.24,,2016-03-15 21:16:34.470,,154
454417,456174,Accelerometer,,,,-0.783,-0.008,-0.366,,,,,,,,,,3.28,,2016-03-15 21:16:34.471,,154
454418,456175,Accelerometer,,,,-0.752,-0.277,-0.507,,,,,,,,,,3.32,,2016-03-15 21:16:34.471,,154
454419,456176,Accelerometer,,,,-0.91,-0.225,-0.692,,,,,,,,,,3.36,,2016-03-15 21:16:34.471,,154
454420,456177,Accelerometer,,,,-1.172,0.016,-0.808,,,,,,,,,,3.4,,2016-03-15 21:16:34.471,,154
454421,456178,Accelerometer,,,,-1.306,0.037,-0.525,,,,,,,,,,3.44,,2016-03-15 21:16:34.471,,154
454422,456179,Accelerometer,,,,-1.137,-0.409,-0.627,,,,,,,,,,3.48,,2016-03-15 21:16:34.472,,154
454423,456180,Accelerometer,,,,-1.251,-0.401,-0.09,,,,,,,,,,3.52,,2016-03-15 21:16:34.472,,154
454424,456181,Accelerometer,,,,-0.981,-0.284,-0.242,,,,,,,,,,3.56,,2016-03-15 21:16:34.472,,154
454425,456182,Accelerometer,,,,-0.934,-0.337,-0.337,,,,,,,,,,3.6,,2016-03-15 21:16:34.472,,154
454426,456183,Accelerometer,,,,-0.997,-0.561,-0.232,,,,,,,,,,3.64,,2016-03-15 21:16:34.472,,154
454427,456184,Accelerometer,,,,-0.935,-0.324,-0.337,,,,,,,,,,3.68,,2016-03-15 21:16:34.473,,154
454428,456185,Accelerometer,,,,-0.863,-0.138,-0.268,,,,,,,,,,3.72,,2016-03-15 21:16:34.473,,154
454429,456186,Accelerometer,,,,-0.97,-0.152,-0.346,,,,,,,,,,3.76,,2016-03-15 21:16:34.473,,154
454430,456187,Accelerometer,,,,-0.939,-0.302,-0.255,,,,,,,,,,3.8,,2016-03-15 21:16:34.473,,154
454431,456188,Accelerometer,,,,-0.67,-0.206,-0.397,,,,,,,,,,3.84,,2016-03-15 21:16:34.473,,154
454432,456189,Accelerometer,,,,-0.697,-0.354,-0.379,,,,,,,,,,3.88,,2016-03-15 21:16:34.475,,154
454433,456190,Accelerometer,,,,-0.789,-0.313,-0.373,,,,,,,,,,3.92,,2016-03-15 21:16:34.475,,154
454434,456191,Accelerometer,,,,-0.763,-0.298,-0.385,,,,,,,,,,3.96,,2016-03-15 21:16:34.475,,154
454435,456192,Accelerometer,,,,-0.914,-0.194,-0.29,,,,,,,,,,4.0,,2016-03-15 21:16:34.476,,154
454436,456193,Accelerometer,,,,-0.8,-0.228,-0.386,,,,,,,,,,4.04,,2016-03-15 21:16:34.476,,154
454437,456194,Accelerometer,,,,-0.76,-0.464,-0.372,,,,,,,,,,4.08,,2016-03-15 21:16:34.476,,154
454438,456195,Accelerometer,,,,-0.766,-0.255,-0.247,,,,,,,,,,4.12,,2016-03-15 21:16:34.476,,154
454439,456196,Accelerometer,,,,-0.82,-0.46,-0.345,,,,,,,,,,4.16,,2016-03-15 21:16:34.476,,154
454440,456197,Accelerometer,,,,-0.922,-0.265,-0.358,,,,,,,,,,4.2,,2016-03-15 21:16:34.477,,154
454441,456198,Accelerometer,,,,-0.904,-0.628,-0.521,,,,,,,,,,4.24,,2016-03-15 21:16:34.477,,154
