,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
369230,370987,Accelerometer,,,,-0.969,0.278,0.003,,,,,,,,,,0.0,,2016-03-12 13:49:44.089,,133
369231,370988,Accelerometer,,,,-0.98,0.266,0.012,,,,,,,,,,0.04,,2016-03-12 13:49:44.090,,133
369232,370989,Accelerometer,,,,-0.952,0.292,-0.02,,,,,,,,,,0.08,,2016-03-12 13:49:44.090,,133
369233,370990,Accelerometer,,,,-0.946,0.289,-0.044,,,,,,,,,,0.12,,2016-03-12 13:49:44.090,,133
369234,370991,Accelerometer,,,,-0.977,0.268,0.011,,,,,,,,,,0.16,,2016-03-12 13:49:44.091,,133
369235,370992,Accelerometer,,,,-0.991,0.251,0.0,,,,,,,,,,0.2,,2016-03-12 13:49:44.091,,133
369236,370993,Accelerometer,,,,-0.961,0.262,-0.02,,,,,,,,,,0.24,,2016-03-12 13:49:44.091,,133
369237,370994,Accelerometer,,,,-1.057,0.22,-0.015,,,,,,,,,,0.28,,2016-03-12 13:49:44.092,,133
369238,370995,Accelerometer,,,,-1.044,0.214,-0.023,,,,,,,,,,0.32,,2016-03-12 13:49:44.092,,133
369239,370996,Accelerometer,,,,-1.034,0.228,-0.126,,,,,,,,,,0.36,,2016-03-12 13:49:44.092,,133
369240,370997,Accelerometer,,,,-0.97,0.233,-0.144,,,,,,,,,,0.4,,2016-03-12 13:49:44.093,,133
369241,370998,Accelerometer,,,,-0.976,0.266,-0.114,,,,,,,,,,0.44,,2016-03-12 13:49:44.093,,133
369242,370999,Accelerometer,,,,-0.973,0.104,-0.142,,,,,,,,,,0.48,,2016-03-12 13:49:44.093,,133
369243,371000,Accelerometer,,,,-0.953,0.087,-0.177,,,,,,,,,,0.52,,2016-03-12 13:49:44.094,,133
369244,371001,Accelerometer,,,,-1.045,0.187,-0.055,,,,,,,,,,0.56,,2016-03-12 13:49:44.094,,133
369245,371002,Accelerometer,,,,-1.021,0.393,-0.12,,,,,,,,,,0.6,,2016-03-12 13:49:44.094,,133
369246,371003,Accelerometer,,,,-0.965,0.27,-0.295,,,,,,,,,,0.64,,2016-03-12 13:49:44.094,,133
369247,371004,Accelerometer,,,,-0.952,0.392,-0.194,,,,,,,,,,0.68,,2016-03-12 13:49:44.095,,133
369248,371005,Accelerometer,,,,-0.835,0.374,-0.334,,,,,,,,,,0.72,,2016-03-12 13:49:44.095,,133
369249,371006,Accelerometer,,,,-0.706,0.207,-0.515,,,,,,,,,,0.76,,2016-03-12 13:49:44.095,,133
369250,371007,Accelerometer,,,,-0.873,0.235,-0.416,,,,,,,,,,0.8,,2016-03-12 13:49:44.096,,133
369251,371008,Accelerometer,,,,-0.869,0.259,-0.525,,,,,,,,,,0.84,,2016-03-12 13:49:44.096,,133
369252,371009,Accelerometer,,,,-0.716,0.261,-0.567,,,,,,,,,,0.88,,2016-03-12 13:49:44.096,,133
369253,371010,Accelerometer,,,,-0.781,0.219,-0.541,,,,,,,,,,0.92,,2016-03-12 13:49:44.097,,133
369254,371011,Accelerometer,,,,-0.823,0.183,-0.613,,,,,,,,,,0.96,,2016-03-12 13:49:44.097,,133
369255,371012,Accelerometer,,,,-0.871,-0.008,-0.379,,,,,,,,,,1.0,,2016-03-12 13:49:44.097,,133
369256,371013,Accelerometer,,,,-0.833,0.222,-0.481,,,,,,,,,,1.04,,2016-03-12 13:49:44.097,,133
369257,371014,Accelerometer,,,,-0.712,0.039,-0.5,,,,,,,,,,1.08,,2016-03-12 13:49:44.098,,133
369258,371015,Accelerometer,,,,-0.749,0.287,-0.626,,,,,,,,,,1.12,,2016-03-12 13:49:44.098,,133
369259,371016,Accelerometer,,,,-0.729,0.172,-0.593,,,,,,,,,,1.16,,2016-03-12 13:49:44.098,,133
369260,371017,Accelerometer,,,,-0.83,0.049,-0.76,,,,,,,,,,1.2,,2016-03-12 13:49:44.099,,133
369261,371018,Accelerometer,,,,-0.849,0.158,-0.975,,,,,,,,,,1.24,,2016-03-12 13:49:44.099,,133
369262,371019,Accelerometer,,,,-0.731,0.185,-0.907,,,,,,,,,,1.28,,2016-03-12 13:49:44.100,,133
369263,371020,Accelerometer,,,,-0.631,0.108,-0.734,,,,,,,,,,1.32,,2016-03-12 13:49:44.100,,133
369264,371021,Accelerometer,,,,-0.637,0.197,-0.755,,,,,,,,,,1.36,,2016-03-12 13:49:44.101,,133
369265,371022,Accelerometer,,,,-0.42,0.271,-0.975,,,,,,,,,,1.4,,2016-03-12 13:49:44.101,,133
369266,371023,Accelerometer,,,,-0.47,0.299,-0.969,,,,,,,,,,1.44,,2016-03-12 13:49:44.101,,133
369267,371024,Accelerometer,,,,-0.486,0.221,-1.053,,,,,,,,,,1.48,,2016-03-12 13:49:44.102,,133
369268,371025,Accelerometer,,,,-0.338,0.143,-0.933,,,,,,,,,,1.52,,2016-03-12 13:49:44.102,,133
369269,371026,Accelerometer,,,,-0.324,0.126,-0.991,,,,,,,,,,1.56,,2016-03-12 13:49:44.102,,133
369270,371027,Accelerometer,,,,-0.279,0.127,-0.912,,,,,,,,,,1.6,,2016-03-12 13:49:44.103,,133
369271,371028,Accelerometer,,,,-0.204,0.098,-1.067,,,,,,,,,,1.64,,2016-03-12 13:49:44.103,,133
369272,371029,Accelerometer,,,,-0.161,0.092,-1.097,,,,,,,,,,1.68,,2016-03-12 13:49:44.103,,133
369273,371030,Accelerometer,,,,-0.069,-0.061,-1.119,,,,,,,,,,1.72,,2016-03-12 13:49:44.103,,133
369274,371031,Accelerometer,,,,0.009,-0.185,-1.017,,,,,,,,,,1.76,,2016-03-12 13:49:44.104,,133
369275,371032,Accelerometer,,,,0.118,-0.27,-1.006,,,,,,,,,,1.8,,2016-03-12 13:49:44.104,,133
369276,371033,Accelerometer,,,,0.217,-0.44,-0.851,,,,,,,,,,1.84,,2016-03-12 13:49:44.104,,133
369277,371034,Accelerometer,,,,0.438,-0.179,-0.765,,,,,,,,,,1.88,,2016-03-12 13:49:44.105,,133
369278,371035,Accelerometer,,,,0.352,-0.027,-0.806,,,,,,,,,,1.92,,2016-03-12 13:49:44.105,,133
369279,371036,Accelerometer,,,,0.362,-0.274,-0.886,,,,,,,,,,1.96,,2016-03-12 13:49:44.105,,133
369280,371037,Accelerometer,,,,0.562,-0.268,-0.934,,,,,,,,,,2.0,,2016-03-12 13:49:44.106,,133
369281,371038,Accelerometer,,,,0.446,-0.279,-0.802,,,,,,,,,,2.04,,2016-03-12 13:49:44.106,,133
369282,371039,Accelerometer,,,,0.331,-0.257,-0.747,,,,,,,,,,2.08,,2016-03-12 13:49:44.106,,133
369283,371040,Accelerometer,,,,0.184,-0.213,-0.86,,,,,,,,,,2.12,,2016-03-12 13:49:44.106,,133
369284,371041,Accelerometer,,,,0.183,-0.235,-0.967,,,,,,,,,,2.16,,2016-03-12 13:49:44.107,,133
369285,371042,Accelerometer,,,,0.122,-0.197,-0.976,,,,,,,,,,2.2,,2016-03-12 13:49:44.107,,133
369286,371043,Accelerometer,,,,0.075,-0.163,-1.016,,,,,,,,,,2.24,,2016-03-12 13:49:44.107,,133
369287,371044,Accelerometer,,,,0.039,-0.178,-0.931,,,,,,,,,,2.28,,2016-03-12 13:49:44.108,,133
369288,371045,Accelerometer,,,,0.01,-0.13,-0.939,,,,,,,,,,2.32,,2016-03-12 13:49:44.108,,133
369289,371046,Accelerometer,,,,-0.012,-0.143,-1.027,,,,,,,,,,2.36,,2016-03-12 13:49:44.108,,133
369290,371047,Accelerometer,,,,-0.095,-0.045,-1.009,,,,,,,,,,2.4,,2016-03-12 13:49:44.109,,133
369291,371048,Accelerometer,,,,-0.076,0.012,-1.037,,,,,,,,,,2.44,,2016-03-12 13:49:44.109,,133
