,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
389790,391547,Accelerometer,,,,-0.976,0.293,0.049,,,,,,,,,,0.0,,2016-03-12 14:10:05.270,,137
389791,391548,Accelerometer,,,,-0.963,0.304,0.044,,,,,,,,,,0.04,,2016-03-12 14:10:05.271,,137
389792,391549,Accelerometer,,,,-0.991,0.297,0.053,,,,,,,,,,0.08,,2016-03-12 14:10:05.271,,137
389793,391550,Accelerometer,,,,-1.024,0.288,0.014,,,,,,,,,,0.12,,2016-03-12 14:10:05.271,,137
389794,391551,Accelerometer,,,,-1.008,0.28,0.028,,,,,,,,,,0.16,,2016-03-12 14:10:05.272,,137
389795,391552,Accelerometer,,,,-1.006,0.269,0.001,,,,,,,,,,0.2,,2016-03-12 14:10:05.272,,137
389796,391553,Accelerometer,,,,-0.972,0.254,-0.003,,,,,,,,,,0.24,,2016-03-12 14:10:05.272,,137
389797,391554,Accelerometer,,,,-0.966,0.249,-0.05,,,,,,,,,,0.28,,2016-03-12 14:10:05.272,,137
389798,391555,Accelerometer,,,,-0.993,0.292,-0.042,,,,,,,,,,0.32,,2016-03-12 14:10:05.273,,137
389799,391556,Accelerometer,,,,-1.002,0.275,-0.097,,,,,,,,,,0.36,,2016-03-12 14:10:05.273,,137
389800,391557,Accelerometer,,,,-0.987,0.218,-0.106,,,,,,,,,,0.4,,2016-03-12 14:10:05.273,,137
389801,391558,Accelerometer,,,,-0.996,0.222,-0.155,,,,,,,,,,0.44,,2016-03-12 14:10:05.273,,137
389802,391559,Accelerometer,,,,-0.995,0.206,-0.151,,,,,,,,,,0.48,,2016-03-12 14:10:05.274,,137
389803,391560,Accelerometer,,,,-0.98,0.189,-0.172,,,,,,,,,,0.52,,2016-03-12 14:10:05.274,,137
389804,391561,Accelerometer,,,,-0.979,0.18,-0.165,,,,,,,,,,0.56,,2016-03-12 14:10:05.274,,137
389805,391562,Accelerometer,,,,-1.001,0.18,-0.148,,,,,,,,,,0.6,,2016-03-12 14:10:05.274,,137
389806,391563,Accelerometer,,,,-1.0,0.223,-0.175,,,,,,,,,,0.64,,2016-03-12 14:10:05.274,,137
389807,391564,Accelerometer,,,,-1.03,0.193,-0.123,,,,,,,,,,0.68,,2016-03-12 14:10:05.275,,137
389808,391565,Accelerometer,,,,-1.02,0.171,-0.102,,,,,,,,,,0.72,,2016-03-12 14:10:05.275,,137
389809,391566,Accelerometer,,,,-1.032,0.136,-0.075,,,,,,,,,,0.76,,2016-03-12 14:10:05.275,,137
389810,391567,Accelerometer,,,,-0.98,0.156,-0.033,,,,,,,,,,0.8,,2016-03-12 14:10:05.275,,137
389811,391568,Accelerometer,,,,-1.014,0.169,0.045,,,,,,,,,,0.84,,2016-03-12 14:10:05.275,,137
389812,391569,Accelerometer,,,,-1.094,0.18,0.094,,,,,,,,,,0.88,,2016-03-12 14:10:05.276,,137
