,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
524066,526656,Accelerometer,,,,-0.286,0.148,1.207,,,,,,,,,,0.0,,2016-03-26 13:49:04.724,,209
524067,526657,Accelerometer,,,,0.03,0.05,1.042,,,,,,,,,,0.04,,2016-03-26 13:49:04.725,,209
524068,526658,Accelerometer,,,,-0.064,0.104,0.998,,,,,,,,,,0.08,,2016-03-26 13:49:04.725,,209
524069,526659,Accelerometer,,,,0.197,0.115,1.015,,,,,,,,,,0.12,,2016-03-26 13:49:04.726,,209
524070,526660,Accelerometer,,,,0.394,-0.045,0.931,,,,,,,,,,0.16,,2016-03-26 13:49:04.726,,209
524071,526661,Accelerometer,,,,0.271,-0.245,1.017,,,,,,,,,,0.2,,2016-03-26 13:49:04.726,,209
524072,526662,Accelerometer,,,,0.184,-0.2,1.009,,,,,,,,,,0.24,,2016-03-26 13:49:04.727,,209
524073,526663,Accelerometer,,,,0.224,0.222,1.014,,,,,,,,,,0.28,,2016-03-26 13:49:04.727,,209
524074,526664,Accelerometer,,,,0.209,-0.111,1.047,,,,,,,,,,0.32,,2016-03-26 13:49:04.727,,209
524075,526665,Accelerometer,,,,0.209,-0.222,0.948,,,,,,,,,,0.36,,2016-03-26 13:49:04.728,,209
524076,526666,Accelerometer,,,,0.236,-0.008,1.187,,,,,,,,,,0.4,,2016-03-26 13:49:04.728,,209
524077,526667,Accelerometer,,,,0.094,0.065,0.964,,,,,,,,,,0.44,,2016-03-26 13:49:04.729,,209
524078,526668,Accelerometer,,,,0.203,-0.042,0.964,,,,,,,,,,0.48,,2016-03-26 13:49:04.729,,209
524079,526669,Accelerometer,,,,0.073,0.038,0.974,,,,,,,,,,0.52,,2016-03-26 13:49:04.729,,209
524080,526670,Accelerometer,,,,-0.007,-0.013,1.105,,,,,,,,,,0.56,,2016-03-26 13:49:04.730,,209
524081,526671,Accelerometer,,,,-0.025,-0.394,1.003,,,,,,,,,,0.6,,2016-03-26 13:49:04.730,,209
