,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
526594,529184,Accelerometer,,,,-0.009,-0.469,0.85,,,,,,,,,,0.0,,2016-03-26 13:52:36.493,,210
526595,529185,Accelerometer,,,,-0.205,-0.596,0.76,,,,,,,,,,0.04,,2016-03-26 13:52:36.493,,210
526596,529186,Accelerometer,,,,-0.287,-0.645,0.725,,,,,,,,,,0.08,,2016-03-26 13:52:36.493,,210
526597,529187,Accelerometer,,,,-0.253,-0.501,0.734,,,,,,,,,,0.12,,2016-03-26 13:52:36.494,,210
526598,529188,Accelerometer,,,,-0.276,-0.584,0.849,,,,,,,,,,0.16,,2016-03-26 13:52:36.494,,210
526599,529189,Accelerometer,,,,-0.404,-0.655,0.796,,,,,,,,,,0.2,,2016-03-26 13:52:36.494,,210
526600,529190,Accelerometer,,,,-0.408,-0.681,0.714,,,,,,,,,,0.24,,2016-03-26 13:52:36.494,,210
526601,529191,Accelerometer,,,,-0.295,-0.762,0.796,,,,,,,,,,0.28,,2016-03-26 13:52:36.494,,210
526602,529192,Accelerometer,,,,-0.195,-0.658,0.905,,,,,,,,,,0.32,,2016-03-26 13:52:36.495,,210
526603,529193,Accelerometer,,,,-0.035,-0.431,0.895,,,,,,,,,,0.36,,2016-03-26 13:52:36.495,,210
526604,529194,Accelerometer,,,,-0.009,-0.465,0.783,,,,,,,,,,0.4,,2016-03-26 13:52:36.495,,210
526605,529195,Accelerometer,,,,-0.213,-0.677,0.891,,,,,,,,,,0.44,,2016-03-26 13:52:36.495,,210
526606,529196,Accelerometer,,,,-0.209,-0.598,0.917,,,,,,,,,,0.48,,2016-03-26 13:52:36.495,,210
526607,529197,Accelerometer,,,,-0.332,-0.348,0.902,,,,,,,,,,0.52,,2016-03-26 13:52:36.496,,210
526608,529198,Accelerometer,,,,-0.263,-0.264,0.998,,,,,,,,,,0.56,,2016-03-26 13:52:36.496,,210
526609,529199,Accelerometer,,,,-0.155,-0.438,0.951,,,,,,,,,,0.6,,2016-03-26 13:52:36.496,,210
526610,529200,Accelerometer,,,,-0.182,-0.6,0.848,,,,,,,,,,0.64,,2016-03-26 13:52:36.496,,210
526611,529201,Accelerometer,,,,0.073,-0.647,0.901,,,,,,,,,,0.68,,2016-03-26 13:52:36.496,,210
526612,529202,Accelerometer,,,,0.197,-0.564,0.836,,,,,,,,,,0.72,,2016-03-26 13:52:36.497,,210
526613,529203,Accelerometer,,,,0.101,-0.659,0.906,,,,,,,,,,0.76,,2016-03-26 13:52:36.497,,210
526614,529204,Accelerometer,,,,-0.082,-0.472,0.936,,,,,,,,,,0.8,,2016-03-26 13:52:36.497,,210
526615,529205,Accelerometer,,,,-0.013,-0.384,0.945,,,,,,,,,,0.84,,2016-03-26 13:52:36.497,,210
526616,529206,Accelerometer,,,,-0.016,-0.479,0.953,,,,,,,,,,0.88,,2016-03-26 13:52:36.498,,210
526617,529207,Accelerometer,,,,0.056,-0.363,1.026,,,,,,,,,,0.92,,2016-03-26 13:52:36.498,,210
526618,529208,Accelerometer,,,,0.142,-0.24,0.988,,,,,,,,,,0.96,,2016-03-26 13:52:36.498,,210
526619,529209,Accelerometer,,,,0.316,-0.029,1.036,,,,,,,,,,1.0,,2016-03-26 13:52:36.498,,210
526620,529210,Accelerometer,,,,-0.226,0.184,1.083,,,,,,,,,,1.04,,2016-03-26 13:52:36.499,,210
526621,529211,Accelerometer,,,,0.047,0.277,1.127,,,,,,,,,,1.08,,2016-03-26 13:52:36.499,,210
526622,529212,Accelerometer,,,,0.109,0.301,1.08,,,,,,,,,,1.12,,2016-03-26 13:52:36.499,,210
526623,529213,Accelerometer,,,,-0.084,0.354,0.944,,,,,,,,,,1.16,,2016-03-26 13:52:36.499,,210
526624,529214,Accelerometer,,,,-0.165,0.052,0.985,,,,,,,,,,1.2,,2016-03-26 13:52:36.499,,210
526625,529215,Accelerometer,,,,-0.107,-0.047,1.109,,,,,,,,,,1.24,,2016-03-26 13:52:36.500,,210
526626,529216,Accelerometer,,,,-0.178,-0.212,1.017,,,,,,,,,,1.28,,2016-03-26 13:52:36.500,,210
526627,529217,Accelerometer,,,,-0.233,-0.395,1.077,,,,,,,,,,1.32,,2016-03-26 13:52:36.500,,210
526628,529218,Accelerometer,,,,-0.101,-0.388,1.021,,,,,,,,,,1.36,,2016-03-26 13:52:36.500,,210
526629,529219,Accelerometer,,,,-0.169,-0.215,0.985,,,,,,,,,,1.4,,2016-03-26 13:52:36.501,,210
526630,529220,Accelerometer,,,,-0.106,-0.184,0.978,,,,,,,,,,1.44,,2016-03-26 13:52:36.501,,210
526631,529221,Accelerometer,,,,-0.152,-0.097,0.945,,,,,,,,,,1.48,,2016-03-26 13:52:36.502,,210
