,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
429352,431109,Accelerometer,,,,0.35,-0.074,0.948,,,,,,,,,,0.0,,2016-03-15 20:41:44.543,,147
429353,431110,Accelerometer,,,,0.353,-0.073,0.957,,,,,,,,,,0.04,,2016-03-15 20:41:44.543,,147
429354,431111,Accelerometer,,,,0.346,-0.069,0.968,,,,,,,,,,0.08,,2016-03-15 20:41:44.544,,147
429355,431112,Accelerometer,,,,0.351,-0.071,0.956,,,,,,,,,,0.12,,2016-03-15 20:41:44.544,,147
429356,431113,Accelerometer,,,,0.36,-0.07,0.949,,,,,,,,,,0.16,,2016-03-15 20:41:44.545,,147
429357,431114,Accelerometer,,,,0.36,-0.074,0.95,,,,,,,,,,0.2,,2016-03-15 20:41:44.545,,147
429358,431115,Accelerometer,,,,0.358,-0.073,0.958,,,,,,,,,,0.24,,2016-03-15 20:41:44.545,,147
429359,431116,Accelerometer,,,,0.353,-0.07,0.953,,,,,,,,,,0.28,,2016-03-15 20:41:44.546,,147
429360,431117,Accelerometer,,,,0.348,-0.068,0.959,,,,,,,,,,0.32,,2016-03-15 20:41:44.546,,147
429361,431118,Accelerometer,,,,0.355,-0.069,0.957,,,,,,,,,,0.36,,2016-03-15 20:41:44.546,,147
429362,431119,Accelerometer,,,,0.353,-0.074,0.957,,,,,,,,,,0.4,,2016-03-15 20:41:44.547,,147
429363,431120,Accelerometer,,,,0.349,-0.077,0.957,,,,,,,,,,0.44,,2016-03-15 20:41:44.547,,147
429364,431121,Accelerometer,,,,0.351,-0.082,0.958,,,,,,,,,,0.48,,2016-03-15 20:41:44.548,,147
429365,431122,Accelerometer,,,,0.353,-0.082,0.962,,,,,,,,,,0.52,,2016-03-15 20:41:44.548,,147
429366,431123,Accelerometer,,,,0.351,-0.075,0.952,,,,,,,,,,0.56,,2016-03-15 20:41:44.548,,147
429367,431124,Accelerometer,,,,0.347,-0.074,0.962,,,,,,,,,,0.6,,2016-03-15 20:41:44.549,,147
429368,431125,Accelerometer,,,,0.353,-0.07,0.958,,,,,,,,,,0.64,,2016-03-15 20:41:44.553,,147
429369,431126,Accelerometer,,,,0.366,-0.066,0.95,,,,,,,,,,0.68,,2016-03-15 20:41:44.554,,147
429370,431127,Accelerometer,,,,0.358,-0.064,0.95,,,,,,,,,,0.72,,2016-03-15 20:41:44.554,,147
429371,431128,Accelerometer,,,,0.351,-0.066,0.957,,,,,,,,,,0.76,,2016-03-15 20:41:44.554,,147
429372,431129,Accelerometer,,,,0.348,-0.072,0.958,,,,,,,,,,0.8,,2016-03-15 20:41:44.555,,147
429373,431130,Accelerometer,,,,0.346,-0.07,0.964,,,,,,,,,,0.84,,2016-03-15 20:41:44.555,,147
429374,431131,Accelerometer,,,,0.354,-0.066,0.951,,,,,,,,,,0.88,,2016-03-15 20:41:44.555,,147
429375,431132,Accelerometer,,,,0.349,-0.071,0.958,,,,,,,,,,0.92,,2016-03-15 20:41:44.556,,147
429376,431133,Accelerometer,,,,0.351,-0.078,0.958,,,,,,,,,,0.96,,2016-03-15 20:41:44.556,,147
429377,431134,Accelerometer,,,,0.346,-0.078,0.961,,,,,,,,,,1.0,,2016-03-15 20:41:44.556,,147
429378,431135,Accelerometer,,,,0.343,-0.078,0.959,,,,,,,,,,1.04,,2016-03-15 20:41:44.557,,147
429379,431136,Accelerometer,,,,0.351,-0.064,0.959,,,,,,,,,,1.08,,2016-03-15 20:41:44.557,,147
429380,431137,Accelerometer,,,,0.352,-0.058,0.959,,,,,,,,,,1.12,,2016-03-15 20:41:44.557,,147
429381,431138,Accelerometer,,,,0.35,-0.058,0.96,,,,,,,,,,1.16,,2016-03-15 20:41:44.558,,147
429382,431139,Accelerometer,,,,0.348,-0.054,0.96,,,,,,,,,,1.2,,2016-03-15 20:41:44.558,,147
429383,431140,Accelerometer,,,,0.346,-0.062,0.96,,,,,,,,,,1.24,,2016-03-15 20:41:44.560,,147
429384,431141,Accelerometer,,,,0.343,-0.06,0.958,,,,,,,,,,1.28,,2016-03-15 20:41:44.560,,147
429385,431142,Accelerometer,,,,0.341,-0.06,0.961,,,,,,,,,,1.32,,2016-03-15 20:41:44.561,,147
