,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
431058,432815,Accelerometer,,,,0.227,0.126,0.981,,,,,,,,,,0.0,,2016-03-15 20:43:38.386,,148
431059,432816,Accelerometer,,,,0.227,0.124,0.991,,,,,,,,,,0.04,,2016-03-15 20:43:38.386,,148
431060,432817,Accelerometer,,,,0.223,0.126,0.987,,,,,,,,,,0.08,,2016-03-15 20:43:38.386,,148
431061,432818,Accelerometer,,,,0.226,0.125,0.988,,,,,,,,,,0.12,,2016-03-15 20:43:38.386,,148
431062,432819,Accelerometer,,,,0.227,0.125,0.989,,,,,,,,,,0.16,,2016-03-15 20:43:38.387,,148
431063,432820,Accelerometer,,,,0.225,0.125,0.988,,,,,,,,,,0.2,,2016-03-15 20:43:38.387,,148
431064,432821,Accelerometer,,,,0.224,0.122,0.988,,,,,,,,,,0.24,,2016-03-15 20:43:38.387,,148
431065,432822,Accelerometer,,,,0.226,0.122,0.99,,,,,,,,,,0.28,,2016-03-15 20:43:38.387,,148
431066,432823,Accelerometer,,,,0.222,0.123,0.992,,,,,,,,,,0.32,,2016-03-15 20:43:38.387,,148
431067,432824,Accelerometer,,,,0.22,0.127,0.982,,,,,,,,,,0.36,,2016-03-15 20:43:38.388,,148
431068,432825,Accelerometer,,,,0.215,0.137,0.994,,,,,,,,,,0.4,,2016-03-15 20:43:38.388,,148
431069,432826,Accelerometer,,,,0.213,0.142,0.996,,,,,,,,,,0.44,,2016-03-15 20:43:38.388,,148
431070,432827,Accelerometer,,,,0.215,0.137,0.989,,,,,,,,,,0.48,,2016-03-15 20:43:38.388,,148
431071,432828,Accelerometer,,,,0.222,0.125,0.986,,,,,,,,,,0.52,,2016-03-15 20:43:38.388,,148
431072,432829,Accelerometer,,,,0.228,0.117,0.982,,,,,,,,,,0.56,,2016-03-15 20:43:38.389,,148
431073,432830,Accelerometer,,,,0.222,0.104,0.992,,,,,,,,,,0.6,,2016-03-15 20:43:38.389,,148
431074,432831,Accelerometer,,,,0.229,0.077,0.984,,,,,,,,,,0.64,,2016-03-15 20:43:38.389,,148
431075,432832,Accelerometer,,,,0.236,0.087,0.987,,,,,,,,,,0.68,,2016-03-15 20:43:38.389,,148
431076,432833,Accelerometer,,,,0.235,0.09,1.0,,,,,,,,,,0.72,,2016-03-15 20:43:38.390,,148
431077,432834,Accelerometer,,,,0.236,0.087,1.005,,,,,,,,,,0.76,,2016-03-15 20:43:38.390,,148
431078,432835,Accelerometer,,,,0.25,0.066,0.99,,,,,,,,,,0.8,,2016-03-15 20:43:38.390,,148
431079,432836,Accelerometer,,,,0.252,0.063,0.989,,,,,,,,,,0.84,,2016-03-15 20:43:38.391,,148
431080,432837,Accelerometer,,,,0.247,0.078,0.989,,,,,,,,,,0.88,,2016-03-15 20:43:38.391,,148
431081,432838,Accelerometer,,,,0.245,0.087,0.994,,,,,,,,,,0.92,,2016-03-15 20:43:38.391,,148
431082,432839,Accelerometer,,,,0.243,0.088,0.996,,,,,,,,,,0.96,,2016-03-15 20:43:38.392,,148
431083,432840,Accelerometer,,,,0.229,0.087,0.984,,,,,,,,,,1.0,,2016-03-15 20:43:38.392,,148
431084,432841,Accelerometer,,,,0.225,0.062,0.993,,,,,,,,,,1.04,,2016-03-15 20:43:38.392,,148
431085,432842,Accelerometer,,,,0.226,0.069,0.996,,,,,,,,,,1.08,,2016-03-15 20:43:38.392,,148
431086,432843,Accelerometer,,,,0.23,0.061,0.999,,,,,,,,,,1.12,,2016-03-15 20:43:38.393,,148
