,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
219286,219380,Accelerometer,,,,0.174,-0.119,1.008,,,,,,,,,,0.0,,2016-03-05 12:04:00.662,,94
219287,219381,Accelerometer,,,,0.162,-0.122,1.013,,,,,,,,,,0.04,,2016-03-05 12:04:00.662,,94
219288,219382,Accelerometer,,,,0.15,-0.129,1.021,,,,,,,,,,0.08,,2016-03-05 12:04:00.663,,94
219289,219383,Accelerometer,,,,0.166,-0.11,1.002,,,,,,,,,,0.12,,2016-03-05 12:04:00.663,,94
219290,219384,Accelerometer,,,,0.167,-0.111,1.007,,,,,,,,,,0.16,,2016-03-05 12:04:00.665,,94
219291,219385,Accelerometer,,,,0.147,-0.115,1.005,,,,,,,,,,0.2,,2016-03-05 12:04:00.665,,94
219292,219386,Accelerometer,,,,0.148,-0.117,1.005,,,,,,,,,,0.24,,2016-03-05 12:04:00.665,,94
219293,219387,Accelerometer,,,,0.159,-0.117,1.006,,,,,,,,,,0.28,,2016-03-05 12:04:00.666,,94
219294,219388,Accelerometer,,,,0.174,-0.111,1.009,,,,,,,,,,0.32,,2016-03-05 12:04:00.666,,94
219295,219389,Accelerometer,,,,0.167,-0.11,1.013,,,,,,,,,,0.36,,2016-03-05 12:04:00.666,,94
219296,219390,Accelerometer,,,,0.169,-0.107,1.01,,,,,,,,,,0.4,,2016-03-05 12:04:00.667,,94
219297,219391,Accelerometer,,,,0.167,-0.112,0.997,,,,,,,,,,0.44,,2016-03-05 12:04:00.667,,94
219298,219392,Accelerometer,,,,0.162,-0.123,1.009,,,,,,,,,,0.48,,2016-03-05 12:04:00.667,,94
219299,219393,Accelerometer,,,,0.154,-0.108,1.002,,,,,,,,,,0.52,,2016-03-05 12:04:00.668,,94
219300,219394,Accelerometer,,,,0.158,-0.118,1.013,,,,,,,,,,0.56,,2016-03-05 12:04:00.668,,94
219301,219395,Accelerometer,,,,0.165,-0.12,1.007,,,,,,,,,,0.6,,2016-03-05 12:04:00.668,,94
