,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
352036,353793,Accelerometer,,,,-0.692,0.496,-0.515,,,,,,,,,,0.0,,2016-03-12 13:35:18.440,,129
352037,353794,Accelerometer,,,,0.153,-0.163,0.978,,,,,,,,,,0.04,,2016-03-12 13:35:18.440,,129
352038,353795,Accelerometer,,,,0.099,-0.075,1.063,,,,,,,,,,0.08,,2016-03-12 13:35:18.440,,129
352039,353796,Accelerometer,,,,0.081,-0.11,1.038,,,,,,,,,,0.12,,2016-03-12 13:35:18.441,,129
352040,353797,Accelerometer,,,,0.104,-0.135,0.986,,,,,,,,,,0.16,,2016-03-12 13:35:18.441,,129
352041,353798,Accelerometer,,,,-0.055,-0.211,1.078,,,,,,,,,,0.2,,2016-03-12 13:35:18.441,,129
352042,353799,Accelerometer,,,,-0.097,-0.291,0.98,,,,,,,,,,0.24,,2016-03-12 13:35:18.441,,129
352043,353800,Accelerometer,,,,-0.15,-0.471,0.941,,,,,,,,,,0.28,,2016-03-12 13:35:18.442,,129
352044,353801,Accelerometer,,,,-0.295,-0.484,0.916,,,,,,,,,,0.32,,2016-03-12 13:35:18.442,,129
352045,353802,Accelerometer,,,,-0.283,-0.498,0.914,,,,,,,,,,0.36,,2016-03-12 13:35:18.442,,129
352046,353803,Accelerometer,,,,-0.233,-0.629,0.906,,,,,,,,,,0.4,,2016-03-12 13:35:18.443,,129
352047,353804,Accelerometer,,,,-0.137,-0.709,0.685,,,,,,,,,,0.44,,2016-03-12 13:35:18.443,,129
352048,353805,Accelerometer,,,,-0.166,-0.718,0.691,,,,,,,,,,0.48,,2016-03-12 13:35:18.443,,129
352049,353806,Accelerometer,,,,-0.014,-0.756,0.656,,,,,,,,,,0.52,,2016-03-12 13:35:18.444,,129
352050,353807,Accelerometer,,,,-0.074,-0.658,0.703,,,,,,,,,,0.56,,2016-03-12 13:35:18.444,,129
352051,353808,Accelerometer,,,,0.05,-0.396,0.815,,,,,,,,,,0.6,,2016-03-12 13:35:18.444,,129
352052,353809,Accelerometer,,,,0.04,-0.729,0.954,,,,,,,,,,0.64,,2016-03-12 13:35:18.445,,129
352053,353810,Accelerometer,,,,0.115,-0.463,0.944,,,,,,,,,,0.68,,2016-03-12 13:35:18.445,,129
352054,353811,Accelerometer,,,,-0.112,-0.174,1.182,,,,,,,,,,0.72,,2016-03-12 13:35:18.445,,129
352055,353812,Accelerometer,,,,0.047,-0.062,0.939,,,,,,,,,,0.76,,2016-03-12 13:35:18.446,,129
352056,353813,Accelerometer,,,,0.22,-0.184,1.034,,,,,,,,,,0.8,,2016-03-12 13:35:18.446,,129
352057,353814,Accelerometer,,,,-0.216,-0.431,0.956,,,,,,,,,,0.84,,2016-03-12 13:35:18.446,,129
352058,353815,Accelerometer,,,,-0.025,-0.345,0.926,,,,,,,,,,0.88,,2016-03-12 13:35:18.446,,129
352059,353816,Accelerometer,,,,0.018,-0.325,0.998,,,,,,,,,,0.92,,2016-03-12 13:35:18.447,,129
352060,353817,Accelerometer,,,,0.068,-0.685,0.555,,,,,,,,,,0.96,,2016-03-12 13:35:18.447,,129
352061,353818,Accelerometer,,,,0.215,-0.863,0.81,,,,,,,,,,1.0,,2016-03-12 13:35:18.447,,129
352062,353819,Accelerometer,,,,0.065,-0.53,0.964,,,,,,,,,,1.04,,2016-03-12 13:35:18.448,,129
352063,353820,Accelerometer,,,,0.083,-0.008,1.063,,,,,,,,,,1.08,,2016-03-12 13:35:18.448,,129
352064,353821,Accelerometer,,,,-0.014,0.048,1.084,,,,,,,,,,1.12,,2016-03-12 13:35:18.448,,129
352065,353822,Accelerometer,,,,-0.152,0.055,1.011,,,,,,,,,,1.16,,2016-03-12 13:35:18.449,,129
352066,353823,Accelerometer,,,,0.089,0.25,0.971,,,,,,,,,,1.2,,2016-03-12 13:35:18.449,,129
352067,353824,Accelerometer,,,,0.124,0.706,1.095,,,,,,,,,,1.24,,2016-03-12 13:35:18.449,,129
