,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
333980,334074,Accelerometer,,,,0.147,0.112,1.013,,,,,,,,,,0.0,,2016-03-05 14:45:32.897,,109
333981,334075,Accelerometer,,,,0.142,0.116,1.019,,,,,,,,,,0.04,,2016-03-05 14:45:32.898,,109
333982,334076,Accelerometer,,,,0.138,0.115,1.012,,,,,,,,,,0.08,,2016-03-05 14:45:32.898,,109
333983,334077,Accelerometer,,,,0.125,0.112,1.005,,,,,,,,,,0.12,,2016-03-05 14:45:32.899,,109
333984,334078,Accelerometer,,,,0.127,0.116,1.003,,,,,,,,,,0.16,,2016-03-05 14:45:32.899,,109
333985,334079,Accelerometer,,,,0.126,0.11,1.004,,,,,,,,,,0.2,,2016-03-05 14:45:32.899,,109
333986,334080,Accelerometer,,,,0.122,0.111,1.012,,,,,,,,,,0.24,,2016-03-05 14:45:32.900,,109
333987,334081,Accelerometer,,,,0.127,0.121,1.014,,,,,,,,,,0.28,,2016-03-05 14:45:32.901,,109
333988,334082,Accelerometer,,,,0.124,0.117,1.011,,,,,,,,,,0.32,,2016-03-05 14:45:32.901,,109
333989,334083,Accelerometer,,,,0.118,0.111,1.005,,,,,,,,,,0.36,,2016-03-05 14:45:32.901,,109
333990,334084,Accelerometer,,,,0.122,0.112,1.009,,,,,,,,,,0.4,,2016-03-05 14:45:32.902,,109
333991,334085,Accelerometer,,,,0.128,0.115,1.009,,,,,,,,,,0.44,,2016-03-05 14:45:32.902,,109
333992,334086,Accelerometer,,,,0.122,0.112,1.019,,,,,,,,,,0.48,,2016-03-05 14:45:32.903,,109
333993,334087,Accelerometer,,,,0.12,0.11,1.01,,,,,,,,,,0.52,,2016-03-05 14:45:32.903,,109
333994,334088,Accelerometer,,,,0.124,0.105,1.004,,,,,,,,,,0.56,,2016-03-05 14:45:32.904,,109
333995,334089,Accelerometer,,,,0.128,0.107,1.013,,,,,,,,,,0.6,,2016-03-05 14:45:32.904,,109
333996,334090,Accelerometer,,,,0.128,0.119,1.012,,,,,,,,,,0.64,,2016-03-05 14:45:32.904,,109
333997,334091,Accelerometer,,,,0.131,0.115,1.005,,,,,,,,,,0.68,,2016-03-05 14:45:32.905,,109
333998,334092,Accelerometer,,,,0.134,0.113,1.007,,,,,,,,,,0.72,,2016-03-05 14:45:32.905,,109
333999,334093,Accelerometer,,,,0.138,0.118,1.008,,,,,,,,,,0.76,,2016-03-05 14:45:32.905,,109
334000,334094,Accelerometer,,,,0.135,0.115,1.01,,,,,,,,,,0.8,,2016-03-05 14:45:32.906,,109
334001,334095,Accelerometer,,,,0.139,0.119,1.009,,,,,,,,,,0.84,,2016-03-05 14:45:32.907,,109
334002,334096,Accelerometer,,,,0.136,0.124,1.001,,,,,,,,,,0.88,,2016-03-05 14:45:32.907,,109
334003,334097,Accelerometer,,,,0.137,0.125,1.007,,,,,,,,,,0.92,,2016-03-05 14:45:32.907,,109
334004,334098,Accelerometer,,,,0.133,0.125,1.011,,,,,,,,,,0.96,,2016-03-05 14:45:32.908,,109
334005,334099,Accelerometer,,,,0.135,0.127,1.012,,,,,,,,,,1.0,,2016-03-05 14:45:32.908,,109
334006,334100,Accelerometer,,,,0.137,0.121,1.007,,,,,,,,,,1.04,,2016-03-05 14:45:32.908,,109
334007,334101,Accelerometer,,,,0.137,0.123,1.007,,,,,,,,,,1.08,,2016-03-05 14:45:32.909,,109
334008,334102,Accelerometer,,,,0.137,0.121,1.005,,,,,,,,,,1.12,,2016-03-05 14:45:32.909,,109
334009,334103,Accelerometer,,,,0.138,0.12,1.006,,,,,,,,,,1.16,,2016-03-05 14:45:32.909,,109
334010,334104,Accelerometer,,,,0.143,0.12,1.005,,,,,,,,,,1.2,,2016-03-05 14:45:32.910,,109
334011,334105,Accelerometer,,,,0.143,0.12,1.009,,,,,,,,,,1.24,,2016-03-05 14:45:32.910,,109
334012,334106,Accelerometer,,,,0.142,0.115,1.01,,,,,,,,,,1.28,,2016-03-05 14:45:32.910,,109
334013,334107,Accelerometer,,,,0.144,0.118,1.004,,,,,,,,,,1.32,,2016-03-05 14:45:32.911,,109
334014,334108,Accelerometer,,,,0.144,0.118,1.002,,,,,,,,,,1.36,,2016-03-05 14:45:32.911,,109
334015,334109,Accelerometer,,,,0.14,0.116,1.008,,,,,,,,,,1.4,,2016-03-05 14:45:32.912,,109
334016,334110,Accelerometer,,,,0.138,0.117,1.014,,,,,,,,,,1.44,,2016-03-05 14:45:32.912,,109
334017,334111,Accelerometer,,,,0.138,0.113,1.004,,,,,,,,,,1.48,,2016-03-05 14:45:32.912,,109
334018,334112,Accelerometer,,,,0.14,0.123,1.008,,,,,,,,,,1.52,,2016-03-05 14:45:32.913,,109
334019,334113,Accelerometer,,,,0.137,0.125,1.009,,,,,,,,,,1.56,,2016-03-05 14:45:32.913,,109
334020,334114,Accelerometer,,,,0.14,0.103,1.006,,,,,,,,,,1.6,,2016-03-05 14:45:32.913,,109
334021,334115,Accelerometer,,,,0.141,0.104,1.01,,,,,,,,,,1.64,,2016-03-05 14:45:32.914,,109
334022,334116,Accelerometer,,,,0.139,0.104,1.014,,,,,,,,,,1.68,,2016-03-05 14:45:32.914,,109
334023,334117,Accelerometer,,,,0.135,0.065,1.021,,,,,,,,,,1.72,,2016-03-05 14:45:32.914,,109
334024,334118,Accelerometer,,,,0.141,0.065,1.017,,,,,,,,,,1.76,,2016-03-05 14:45:32.915,,109
334025,334119,Accelerometer,,,,0.14,0.095,1.01,,,,,,,,,,1.8,,2016-03-05 14:45:32.915,,109
334026,334120,Accelerometer,,,,0.167,0.164,1.009,,,,,,,,,,1.84,,2016-03-05 14:45:32.915,,109
334027,334121,Accelerometer,,,,0.189,0.233,0.965,,,,,,,,,,1.88,,2016-03-05 14:45:32.916,,109
334028,334122,Accelerometer,,,,0.177,0.218,0.968,,,,,,,,,,1.92,,2016-03-05 14:45:32.916,,109
334029,334123,Accelerometer,,,,0.17,0.229,0.988,,,,,,,,,,1.96,,2016-03-05 14:45:32.916,,109
334030,334124,Accelerometer,,,,0.185,0.229,0.977,,,,,,,,,,2.0,,2016-03-05 14:45:32.917,,109
334031,334125,Accelerometer,,,,0.21,0.211,0.974,,,,,,,,,,2.04,,2016-03-05 14:45:32.917,,109
334032,334126,Accelerometer,,,,0.207,0.147,0.975,,,,,,,,,,2.08,,2016-03-05 14:45:32.917,,109
