,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
379392,381149,Accelerometer,,,,0.141,0.142,0.972,,,,,,,,,,0.0,,2016-03-12 13:59:16.379,,135
379393,381150,Accelerometer,,,,0.093,0.182,1.073,,,,,,,,,,0.04,,2016-03-12 13:59:16.380,,135
379394,381151,Accelerometer,,,,0.094,0.108,1.018,,,,,,,,,,0.08,,2016-03-12 13:59:16.380,,135
379395,381152,Accelerometer,,,,0.093,0.113,0.981,,,,,,,,,,0.12,,2016-03-12 13:59:16.380,,135
379396,381153,Accelerometer,,,,0.18,0.017,0.964,,,,,,,,,,0.16,,2016-03-12 13:59:16.381,,135
379397,381154,Accelerometer,,,,0.287,-0.244,0.967,,,,,,,,,,0.2,,2016-03-12 13:59:16.381,,135
379398,381155,Accelerometer,,,,0.105,-0.145,1.094,,,,,,,,,,0.24,,2016-03-12 13:59:16.381,,135
379399,381156,Accelerometer,,,,0.08,-0.08,1.053,,,,,,,,,,0.28,,2016-03-12 13:59:16.382,,135
379400,381157,Accelerometer,,,,0.083,-0.102,1.001,,,,,,,,,,0.32,,2016-03-12 13:59:16.382,,135
379401,381158,Accelerometer,,,,0.122,-0.141,1.056,,,,,,,,,,0.36,,2016-03-12 13:59:16.383,,135
379402,381159,Accelerometer,,,,0.186,-0.038,1.013,,,,,,,,,,0.4,,2016-03-12 13:59:16.383,,135
379403,381160,Accelerometer,,,,0.31,-0.048,1.001,,,,,,,,,,0.44,,2016-03-12 13:59:16.383,,135
379404,381161,Accelerometer,,,,0.32,-0.055,1.077,,,,,,,,,,0.48,,2016-03-12 13:59:16.384,,135
379405,381162,Accelerometer,,,,0.053,0.078,0.912,,,,,,,,,,0.52,,2016-03-12 13:59:16.384,,135
379406,381163,Accelerometer,,,,-0.039,0.261,1.054,,,,,,,,,,0.56,,2016-03-12 13:59:16.384,,135
379407,381164,Accelerometer,,,,0.106,0.397,1.018,,,,,,,,,,0.6,,2016-03-12 13:59:16.385,,135
379408,381165,Accelerometer,,,,0.172,0.073,0.97,,,,,,,,,,0.64,,2016-03-12 13:59:16.386,,135
379409,381166,Accelerometer,,,,0.166,-0.136,1.032,,,,,,,,,,0.68,,2016-03-12 13:59:16.386,,135
379410,381167,Accelerometer,,,,0.129,-0.148,0.997,,,,,,,,,,0.72,,2016-03-12 13:59:16.386,,135
379411,381168,Accelerometer,,,,0.105,-0.137,0.899,,,,,,,,,,0.76,,2016-03-12 13:59:16.387,,135
379412,381169,Accelerometer,,,,0.137,-0.218,0.977,,,,,,,,,,0.8,,2016-03-12 13:59:16.387,,135
379413,381170,Accelerometer,,,,0.158,-0.274,1.124,,,,,,,,,,0.84,,2016-03-12 13:59:16.387,,135
379414,381171,Accelerometer,,,,0.246,-0.075,1.05,,,,,,,,,,0.88,,2016-03-12 13:59:16.388,,135
379415,381172,Accelerometer,,,,0.068,0.062,0.984,,,,,,,,,,0.92,,2016-03-12 13:59:16.388,,135
379416,381173,Accelerometer,,,,0.18,0.117,0.928,,,,,,,,,,0.96,,2016-03-12 13:59:16.388,,135
379417,381174,Accelerometer,,,,0.07,0.085,1.078,,,,,,,,,,1.0,,2016-03-12 13:59:16.388,,135
379418,381175,Accelerometer,,,,0.139,0.077,1.013,,,,,,,,,,1.04,,2016-03-12 13:59:16.389,,135
379419,381176,Accelerometer,,,,0.098,0.088,1.019,,,,,,,,,,1.08,,2016-03-12 13:59:16.392,,135
379420,381177,Accelerometer,,,,0.088,0.081,1.093,,,,,,,,,,1.12,,2016-03-12 13:59:16.392,,135
379421,381178,Accelerometer,,,,0.062,0.049,1.079,,,,,,,,,,1.16,,2016-03-12 13:59:16.393,,135
379422,381179,Accelerometer,,,,0.083,0.013,1.044,,,,,,,,,,1.2,,2016-03-12 13:59:16.393,,135
379423,381180,Accelerometer,,,,0.123,-0.042,0.987,,,,,,,,,,1.24,,2016-03-12 13:59:16.393,,135
379424,381181,Accelerometer,,,,0.07,0.046,1.019,,,,,,,,,,1.28,,2016-03-12 13:59:16.394,,135
379425,381182,Accelerometer,,,,0.154,0.113,1.021,,,,,,,,,,1.32,,2016-03-12 13:59:16.394,,135
379426,381183,Accelerometer,,,,0.183,0.128,0.991,,,,,,,,,,1.36,,2016-03-12 13:59:16.394,,135
379427,381184,Accelerometer,,,,0.204,0.069,0.998,,,,,,,,,,1.4,,2016-03-12 13:59:16.394,,135
379428,381185,Accelerometer,,,,0.186,-0.043,1.005,,,,,,,,,,1.44,,2016-03-12 13:59:16.395,,135
379429,381186,Accelerometer,,,,0.133,-0.124,0.994,,,,,,,,,,1.48,,2016-03-12 13:59:16.395,,135
379430,381187,Accelerometer,,,,0.183,-0.063,1.016,,,,,,,,,,1.52,,2016-03-12 13:59:16.396,,135
379431,381188,Accelerometer,,,,0.108,-0.022,1.002,,,,,,,,,,1.56,,2016-03-12 13:59:16.397,,135
379432,381189,Accelerometer,,,,0.036,0.003,1.036,,,,,,,,,,1.6,,2016-03-12 13:59:16.397,,135
379433,381190,Accelerometer,,,,0.085,-0.025,1.062,,,,,,,,,,1.64,,2016-03-12 13:59:16.397,,135
379434,381191,Accelerometer,,,,0.049,-0.126,0.976,,,,,,,,,,1.68,,2016-03-12 13:59:16.397,,135
379435,381192,Accelerometer,,,,0.175,-0.062,1.032,,,,,,,,,,1.72,,2016-03-12 13:59:16.397,,135
