,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
593273,602150,Accelerometer,,,,-1.059,0.215,0.113,,,,,,,,,,0.0,,2016-05-01 13:34:28.903,,284
593274,602151,Accelerometer,,,,-1.069,0.218,0.112,,,,,,,,,,0.04,,2016-05-01 13:34:28.904,,284
593275,602152,Accelerometer,,,,-1.069,0.217,0.106,,,,,,,,,,0.08,,2016-05-01 13:34:28.904,,284
593276,602153,Accelerometer,,,,-1.068,0.223,0.104,,,,,,,,,,0.12,,2016-05-01 13:34:28.904,,284
593277,602154,Accelerometer,,,,-1.067,0.216,0.105,,,,,,,,,,0.16,,2016-05-01 13:34:28.905,,284
593278,602155,Accelerometer,,,,-1.066,0.218,0.126,,,,,,,,,,0.2,,2016-05-01 13:34:28.905,,284
593279,602156,Accelerometer,,,,-1.077,0.221,0.1,,,,,,,,,,0.24,,2016-05-01 13:34:28.905,,284
593280,602157,Accelerometer,,,,-1.069,0.218,0.093,,,,,,,,,,0.28,,2016-05-01 13:34:28.906,,284
593281,602158,Accelerometer,,,,-1.063,0.222,0.101,,,,,,,,,,0.32,,2016-05-01 13:34:28.906,,284
593282,602159,Accelerometer,,,,-1.068,0.22,0.102,,,,,,,,,,0.36,,2016-05-01 13:34:28.906,,284
593283,602160,Accelerometer,,,,-1.075,0.227,0.106,,,,,,,,,,0.4,,2016-05-01 13:34:28.907,,284
593284,602161,Accelerometer,,,,-0.983,0.275,-0.073,,,,,,,,,,0.44,,2016-05-01 13:34:28.907,,284
593285,602162,Accelerometer,,,,-0.96,0.101,0.22,,,,,,,,,,0.48,,2016-05-01 13:34:28.907,,284
593286,602163,Accelerometer,,,,-0.974,0.01,0.26,,,,,,,,,,0.52,,2016-05-01 13:34:28.908,,284
593287,602164,Accelerometer,,,,-1.259,-0.066,0.295,,,,,,,,,,0.56,,2016-05-01 13:34:28.908,,284
