,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
592076,600953,Accelerometer,,,,-1.028,0.163,-0.247,,,,,,,,,,0.0,,2016-05-01 13:25:38.402,,278
592077,600954,Accelerometer,,,,-1.038,0.175,-0.246,,,,,,,,,,0.04,,2016-05-01 13:25:38.403,,278
592078,600955,Accelerometer,,,,-1.031,0.18,-0.262,,,,,,,,,,0.08,,2016-05-01 13:25:38.403,,278
592079,600956,Accelerometer,,,,-1.039,0.165,-0.25,,,,,,,,,,0.12,,2016-05-01 13:25:38.403,,278
592080,600957,Accelerometer,,,,-1.033,0.157,-0.269,,,,,,,,,,0.16,,2016-05-01 13:25:38.404,,278
592081,600958,Accelerometer,,,,-1.026,0.169,-0.283,,,,,,,,,,0.2,,2016-05-01 13:25:38.404,,278
592082,600959,Accelerometer,,,,-1.04,0.161,-0.253,,,,,,,,,,0.24,,2016-05-01 13:25:38.404,,278
592083,600960,Accelerometer,,,,-1.043,0.173,-0.258,,,,,,,,,,0.28,,2016-05-01 13:25:38.405,,278
592084,600961,Accelerometer,,,,-1.021,0.162,-0.296,,,,,,,,,,0.32,,2016-05-01 13:25:38.405,,278
592085,600962,Accelerometer,,,,-1.0,0.235,-0.264,,,,,,,,,,0.36,,2016-05-01 13:25:38.405,,278
592086,600963,Accelerometer,,,,-0.893,0.221,-0.376,,,,,,,,,,0.4,,2016-05-01 13:25:38.406,,278
592087,600964,Accelerometer,,,,-1.079,-0.222,-0.136,,,,,,,,,,0.44,,2016-05-01 13:25:38.406,,278
592088,600965,Accelerometer,,,,-1.515,-0.243,0.017,,,,,,,,,,0.48,,2016-05-01 13:25:38.406,,278
592089,600966,Accelerometer,,,,-1.641,-0.073,-0.367,,,,,,,,,,0.52,,2016-05-01 13:25:38.407,,278
592090,600967,Accelerometer,,,,-1.417,0.133,-0.497,,,,,,,,,,0.56,,2016-05-01 13:25:38.407,,278
592091,600968,Accelerometer,,,,-1.325,0.08,-0.542,,,,,,,,,,0.6,,2016-05-01 13:25:38.407,,278
592092,600969,Accelerometer,,,,-0.837,0.039,-0.702,,,,,,,,,,0.64,,2016-05-01 13:25:38.408,,278
592093,600970,Accelerometer,,,,-0.829,0.262,-0.672,,,,,,,,,,0.68,,2016-05-01 13:25:38.409,,278
592094,600971,Accelerometer,,,,-0.806,0.391,-0.663,,,,,,,,,,0.72,,2016-05-01 13:25:38.409,,278
592095,600972,Accelerometer,,,,-0.639,0.572,-0.457,,,,,,,,,,0.76,,2016-05-01 13:25:38.410,,278
592096,600973,Accelerometer,,,,-0.418,0.354,-0.337,,,,,,,,,,0.8,,2016-05-01 13:25:38.411,,278
592097,600974,Accelerometer,,,,-0.422,0.187,-0.702,,,,,,,,,,0.84,,2016-05-01 13:25:38.411,,278
592098,600975,Accelerometer,,,,-0.334,0.431,-0.908,,,,,,,,,,0.88,,2016-05-01 13:25:38.411,,278
592099,600976,Accelerometer,,,,-0.46,0.739,-0.647,,,,,,,,,,0.92,,2016-05-01 13:25:38.412,,278
592100,600977,Accelerometer,,,,-0.488,0.593,-0.553,,,,,,,,,,0.96,,2016-05-01 13:25:38.412,,278
592101,600978,Accelerometer,,,,-0.447,0.73,-0.584,,,,,,,,,,1.0,,2016-05-01 13:25:38.413,,278
592102,600979,Accelerometer,,,,-0.446,0.767,-0.567,,,,,,,,,,1.04,,2016-05-01 13:25:38.413,,278
592103,600980,Accelerometer,,,,-0.645,0.395,-0.385,,,,,,,,,,1.08,,2016-05-01 13:25:38.414,,278
592104,600981,Accelerometer,,,,-0.477,0.211,-0.526,,,,,,,,,,1.12,,2016-05-01 13:25:38.414,,278
592105,600982,Accelerometer,,,,-0.308,0.65,-0.615,,,,,,,,,,1.16,,2016-05-01 13:25:38.414,,278
592106,600983,Accelerometer,,,,-0.473,0.546,-0.479,,,,,,,,,,1.2,,2016-05-01 13:25:38.414,,278
592107,600984,Accelerometer,,,,-0.45,0.409,-0.687,,,,,,,,,,1.24,,2016-05-01 13:25:38.415,,278
592108,600985,Accelerometer,,,,-0.552,0.47,-0.761,,,,,,,,,,1.28,,2016-05-01 13:25:38.415,,278
592109,600986,Accelerometer,,,,-0.425,0.576,-0.844,,,,,,,,,,1.32,,2016-05-01 13:25:38.415,,278
592110,600987,Accelerometer,,,,-0.488,0.791,-1.089,,,,,,,,,,1.36,,2016-05-01 13:25:38.416,,278
592111,600988,Accelerometer,,,,-0.799,0.569,-0.937,,,,,,,,,,1.4,,2016-05-01 13:25:38.416,,278
592112,600989,Accelerometer,,,,-0.638,0.076,-0.798,,,,,,,,,,1.44,,2016-05-01 13:25:38.416,,278
592113,600990,Accelerometer,,,,-0.522,-0.041,-0.819,,,,,,,,,,1.48,,2016-05-01 13:25:38.417,,278
592114,600991,Accelerometer,,,,-0.612,0.429,-1.098,,,,,,,,,,1.52,,2016-05-01 13:25:38.417,,278
592115,600992,Accelerometer,,,,-0.667,0.189,-0.956,,,,,,,,,,1.56,,2016-05-01 13:25:38.417,,278
592116,600993,Accelerometer,,,,-0.675,0.108,-0.882,,,,,,,,,,1.6,,2016-05-01 13:25:38.418,,278
592117,600994,Accelerometer,,,,-0.363,0.113,-0.795,,,,,,,,,,1.64,,2016-05-01 13:25:38.418,,278
592118,600995,Accelerometer,,,,-0.136,-0.083,-0.892,,,,,,,,,,1.68,,2016-05-01 13:25:38.418,,278
592119,600996,Accelerometer,,,,-0.232,-0.061,-0.963,,,,,,,,,,1.72,,2016-05-01 13:25:38.419,,278
592120,600997,Accelerometer,,,,-0.54,-0.008,-0.891,,,,,,,,,,1.76,,2016-05-01 13:25:38.419,,278
592121,600998,Accelerometer,,,,-0.605,0.049,-0.748,,,,,,,,,,1.8,,2016-05-01 13:25:38.419,,278
