,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
592459,601336,Accelerometer,,,,-1.055,0.251,0.086,,,,,,,,,,0.0,,2016-05-01 13:28:44.978,,280
592460,601337,Accelerometer,,,,-1.056,0.259,0.094,,,,,,,,,,0.04,,2016-05-01 13:28:44.979,,280
592461,601338,Accelerometer,,,,-1.054,0.258,0.099,,,,,,,,,,0.08,,2016-05-01 13:28:44.979,,280
592462,601339,Accelerometer,,,,-1.05,0.264,0.087,,,,,,,,,,0.12,,2016-05-01 13:28:44.979,,280
592463,601340,Accelerometer,,,,-1.064,0.269,0.094,,,,,,,,,,0.16,,2016-05-01 13:28:44.980,,280
592464,601341,Accelerometer,,,,-1.06,0.271,0.082,,,,,,,,,,0.2,,2016-05-01 13:28:44.980,,280
592465,601342,Accelerometer,,,,-1.056,0.268,0.076,,,,,,,,,,0.24,,2016-05-01 13:28:44.980,,280
592466,601343,Accelerometer,,,,-1.057,0.256,0.076,,,,,,,,,,0.28,,2016-05-01 13:28:44.981,,280
592467,601344,Accelerometer,,,,-1.042,0.251,0.068,,,,,,,,,,0.32,,2016-05-01 13:28:44.981,,280
592468,601345,Accelerometer,,,,-0.971,0.291,0.073,,,,,,,,,,0.36,,2016-05-01 13:28:44.981,,280
592469,601346,Accelerometer,,,,-0.93,0.323,0.059,,,,,,,,,,0.4,,2016-05-01 13:28:44.982,,280
592470,601347,Accelerometer,,,,-0.928,0.364,0.072,,,,,,,,,,0.44,,2016-05-01 13:28:44.982,,280
592471,601348,Accelerometer,,,,-0.936,0.396,0.026,,,,,,,,,,0.48,,2016-05-01 13:28:44.982,,280
592472,601349,Accelerometer,,,,-0.903,0.368,0.045,,,,,,,,,,0.52,,2016-05-01 13:28:44.983,,280
592473,601350,Accelerometer,,,,-0.924,0.267,0.021,,,,,,,,,,0.56,,2016-05-01 13:28:44.983,,280
592474,601351,Accelerometer,,,,-1.084,0.254,-0.024,,,,,,,,,,0.6,,2016-05-01 13:28:44.983,,280
592475,601352,Accelerometer,,,,-1.232,0.267,-0.278,,,,,,,,,,0.64,,2016-05-01 13:28:44.984,,280
592476,601353,Accelerometer,,,,-1.397,0.246,-0.548,,,,,,,,,,0.68,,2016-05-01 13:28:44.984,,280
592477,601354,Accelerometer,,,,-1.425,0.153,-0.789,,,,,,,,,,0.72,,2016-05-01 13:28:44.985,,280
592478,601355,Accelerometer,,,,-1.274,-0.013,-0.742,,,,,,,,,,0.76,,2016-05-01 13:28:44.986,,280
592479,601356,Accelerometer,,,,-1.148,-0.167,-0.766,,,,,,,,,,0.8,,2016-05-01 13:28:44.986,,280
592480,601357,Accelerometer,,,,-1.113,-0.394,-0.728,,,,,,,,,,0.84,,2016-05-01 13:28:44.987,,280
592481,601358,Accelerometer,,,,-0.946,-0.288,-0.704,,,,,,,,,,0.88,,2016-05-01 13:28:44.989,,280
592482,601359,Accelerometer,,,,-0.656,-0.124,-0.479,,,,,,,,,,0.92,,2016-05-01 13:28:44.989,,280
592483,601360,Accelerometer,,,,-0.447,-0.13,-0.782,,,,,,,,,,0.96,,2016-05-01 13:28:44.990,,280
592484,601361,Accelerometer,,,,-0.395,-0.656,-0.549,,,,,,,,,,1.0,,2016-05-01 13:28:44.990,,280
592485,601362,Accelerometer,,,,-0.565,-0.613,-0.612,,,,,,,,,,1.04,,2016-05-01 13:28:44.990,,280
592486,601363,Accelerometer,,,,-0.602,-0.557,-0.75,,,,,,,,,,1.08,,2016-05-01 13:28:44.991,,280
592487,601364,Accelerometer,,,,-0.666,-0.843,-0.556,,,,,,,,,,1.12,,2016-05-01 13:28:44.991,,280
592488,601365,Accelerometer,,,,-0.697,-0.458,-0.651,,,,,,,,,,1.16,,2016-05-01 13:28:44.991,,280
592489,601366,Accelerometer,,,,-0.774,-0.448,-0.509,,,,,,,,,,1.2,,2016-05-01 13:28:44.992,,280
592490,601367,Accelerometer,,,,-0.742,-0.456,-0.513,,,,,,,,,,1.24,,2016-05-01 13:28:44.992,,280
592491,601368,Accelerometer,,,,-0.689,-0.375,-0.551,,,,,,,,,,1.28,,2016-05-01 13:28:44.992,,280
592492,601369,Accelerometer,,,,-0.713,-0.132,-0.373,,,,,,,,,,1.32,,2016-05-01 13:28:44.992,,280
592493,601370,Accelerometer,,,,-0.749,-0.304,-0.554,,,,,,,,,,1.36,,2016-05-01 13:28:44.993,,280
592494,601371,Accelerometer,,,,-0.558,-0.238,-0.497,,,,,,,,,,1.4,,2016-05-01 13:28:44.993,,280
592495,601372,Accelerometer,,,,-0.328,-0.364,-0.583,,,,,,,,,,1.44,,2016-05-01 13:28:44.993,,280
592496,601373,Accelerometer,,,,-0.594,-0.325,-0.953,,,,,,,,,,1.48,,2016-05-01 13:28:44.994,,280
592497,601374,Accelerometer,,,,-0.979,-0.186,-1.013,,,,,,,,,,1.52,,2016-05-01 13:28:44.995,,280
592498,601375,Accelerometer,,,,-1.053,-0.068,-0.967,,,,,,,,,,1.56,,2016-05-01 13:28:44.995,,280
592499,601376,Accelerometer,,,,-1.014,0.068,-0.927,,,,,,,,,,1.6,,2016-05-01 13:28:44.995,,280
592500,601377,Accelerometer,,,,-1.074,0.104,-0.853,,,,,,,,,,1.64,,2016-05-01 13:28:44.996,,280
592501,601378,Accelerometer,,,,-0.67,0.444,-0.868,,,,,,,,,,1.68,,2016-05-01 13:28:44.996,,280
592502,601379,Accelerometer,,,,-0.589,0.407,-0.549,,,,,,,,,,1.72,,2016-05-01 13:28:44.996,,280
592503,601380,Accelerometer,,,,-0.871,-0.041,-0.315,,,,,,,,,,1.76,,2016-05-01 13:28:44.997,,280
592504,601381,Accelerometer,,,,-0.621,0.286,-0.598,,,,,,,,,,1.8,,2016-05-01 13:28:44.997,,280
592505,601382,Accelerometer,,,,-0.844,0.686,-0.736,,,,,,,,,,1.84,,2016-05-01 13:28:44.997,,280
592506,601383,Accelerometer,,,,-0.964,0.571,-0.584,,,,,,,,,,1.88,,2016-05-01 13:28:44.997,,280
592507,601384,Accelerometer,,,,-0.648,0.272,-0.438,,,,,,,,,,1.92,,2016-05-01 13:28:44.998,,280
592508,601385,Accelerometer,,,,0.095,0.325,-0.747,,,,,,,,,,1.96,,2016-05-01 13:28:44.998,,280
592509,601386,Accelerometer,,,,0.039,0.663,-0.8,,,,,,,,,,2.0,,2016-05-01 13:28:44.998,,280
592510,601387,Accelerometer,,,,-0.441,0.822,-0.67,,,,,,,,,,2.04,,2016-05-01 13:28:44.999,,280
592511,601388,Accelerometer,,,,-0.69,0.662,-0.603,,,,,,,,,,2.08,,2016-05-01 13:28:44.999,,280
592512,601389,Accelerometer,,,,-0.644,0.354,-0.781,,,,,,,,,,2.12,,2016-05-01 13:28:44.999,,280
592513,601390,Accelerometer,,,,-0.883,0.158,-0.858,,,,,,,,,,2.16,,2016-05-01 13:28:45.000,,280
592514,601391,Accelerometer,,,,-0.952,0.149,-1.06,,,,,,,,,,2.2,,2016-05-01 13:28:45.000,,280
592515,601392,Accelerometer,,,,-0.879,0.586,-1.029,,,,,,,,,,2.24,,2016-05-01 13:28:45.000,,280
592516,601393,Accelerometer,,,,-0.895,0.533,-0.629,,,,,,,,,,2.28,,2016-05-01 13:28:45.000,,280
592517,601394,Accelerometer,,,,-0.96,0.115,-0.562,,,,,,,,,,2.32,,2016-05-01 13:28:45.001,,280
592518,601395,Accelerometer,,,,-1.082,0.163,-0.767,,,,,,,,,,2.36,,2016-05-01 13:28:45.001,,280
592519,601396,Accelerometer,,,,-1.213,0.144,-0.354,,,,,,,,,,2.4,,2016-05-01 13:28:45.001,,280
592520,601397,Accelerometer,,,,-1.142,0.099,-0.34,,,,,,,,,,2.44,,2016-05-01 13:28:45.002,,280
592521,601398,Accelerometer,,,,-0.953,0.039,-0.385,,,,,,,,,,2.48,,2016-05-01 13:28:45.002,,280
592522,601399,Accelerometer,,,,-0.864,-0.004,-0.469,,,,,,,,,,2.52,,2016-05-01 13:28:45.003,,280
592523,601400,Accelerometer,,,,-0.903,0.064,-0.334,,,,,,,,,,2.56,,2016-05-01 13:28:45.003,,280
592524,601401,Accelerometer,,,,-0.96,0.174,-0.349,,,,,,,,,,2.6,,2016-05-01 13:28:45.003,,280
592525,601402,Accelerometer,,,,-0.995,0.237,-0.305,,,,,,,,,,2.64,,2016-05-01 13:28:45.004,,280
592526,601403,Accelerometer,,,,-0.984,0.212,-0.289,,,,,,,,,,2.68,,2016-05-01 13:28:45.004,,280
592527,601404,Accelerometer,,,,-0.987,0.106,-0.286,,,,,,,,,,2.72,,2016-05-01 13:28:45.004,,280
592528,601405,Accelerometer,,,,-1.036,0.039,-0.25,,,,,,,,,,2.76,,2016-05-01 13:28:45.005,,280
592529,601406,Accelerometer,,,,-0.991,0.088,-0.188,,,,,,,,,,2.8,,2016-05-01 13:28:45.005,,280
592530,601407,Accelerometer,,,,-0.974,0.099,-0.161,,,,,,,,,,2.84,,2016-05-01 13:28:45.005,,280
592531,601408,Accelerometer,,,,-0.982,0.146,-0.139,,,,,,,,,,2.88,,2016-05-01 13:28:45.006,,280
592532,601409,Accelerometer,,,,-0.967,0.206,-0.116,,,,,,,,,,2.92,,2016-05-01 13:28:45.006,,280
592533,601410,Accelerometer,,,,-1.02,0.228,-0.032,,,,,,,,,,2.96,,2016-05-01 13:28:45.006,,280
592534,601411,Accelerometer,,,,-0.982,0.242,-0.042,,,,,,,,,,3.0,,2016-05-01 13:28:45.006,,280
592535,601412,Accelerometer,,,,-0.975,0.265,0.022,,,,,,,,,,3.04,,2016-05-01 13:28:45.007,,280
592536,601413,Accelerometer,,,,-1.005,0.274,0.053,,,,,,,,,,3.08,,2016-05-01 13:28:45.007,,280
592537,601414,Accelerometer,,,,-0.969,0.229,0.081,,,,,,,,,,3.12,,2016-05-01 13:28:45.007,,280
592538,601415,Accelerometer,,,,-0.974,0.256,0.111,,,,,,,,,,3.16,,2016-05-01 13:28:45.008,,280
592539,601416,Accelerometer,,,,-1.042,0.267,0.165,,,,,,,,,,3.2,,2016-05-01 13:28:45.008,,280
592540,601417,Accelerometer,,,,-1.026,0.253,0.167,,,,,,,,,,3.24,,2016-05-01 13:28:45.009,,280
592541,601418,Accelerometer,,,,-1.002,0.283,0.147,,,,,,,,,,3.28,,2016-05-01 13:28:45.009,,280
592542,601419,Accelerometer,,,,-1.025,0.305,0.181,,,,,,,,,,3.32,,2016-05-01 13:28:45.009,,280
592543,601420,Accelerometer,,,,-1.013,0.308,0.18,,,,,,,,,,3.36,,2016-05-01 13:28:45.010,,280
592544,601421,Accelerometer,,,,-1.005,0.292,0.185,,,,,,,,,,3.4,,2016-05-01 13:28:45.010,,280
592545,601422,Accelerometer,,,,-0.998,0.271,0.191,,,,,,,,,,3.44,,2016-05-01 13:28:45.010,,280
592546,601423,Accelerometer,,,,-1.015,0.262,0.206,,,,,,,,,,3.48,,2016-05-01 13:28:45.011,,280
592547,601424,Accelerometer,,,,-1.021,0.223,0.184,,,,,,,,,,3.52,,2016-05-01 13:28:45.011,,280
592548,601425,Accelerometer,,,,-1.06,0.183,0.207,,,,,,,,,,3.56,,2016-05-01 13:28:45.011,,280
592549,601426,Accelerometer,,,,-1.088,0.189,0.241,,,,,,,,,,3.6,,2016-05-01 13:28:45.012,,280
592550,601427,Accelerometer,,,,-1.058,0.207,0.229,,,,,,,,,,3.64,,2016-05-01 13:28:45.014,,280
592551,601428,Accelerometer,,,,-1.04,0.209,0.23,,,,,,,,,,3.68,,2016-05-01 13:28:45.014,,280
592552,601429,Accelerometer,,,,-1.071,0.182,0.217,,,,,,,,,,3.72,,2016-05-01 13:28:45.014,,280
592553,601430,Accelerometer,,,,-1.089,0.198,0.236,,,,,,,,,,3.76,,2016-05-01 13:28:45.015,,280
592554,601431,Accelerometer,,,,-1.1,0.202,0.272,,,,,,,,,,3.8,,2016-05-01 13:28:45.015,,280
592555,601432,Accelerometer,,,,-1.088,0.176,0.268,,,,,,,,,,3.84,,2016-05-01 13:28:45.015,,280
592556,601433,Accelerometer,,,,-1.059,0.166,0.241,,,,,,,,,,3.88,,2016-05-01 13:28:45.016,,280
592557,601434,Gyro,,,,-1.707,0.244,-1.707,,,,,,,,,,0.0,,2016-05-01 13:28:45.019,,280
592558,601435,Gyro,,,,-1.463,0.793,-1.463,,,,,,,,,,0.04,,2016-05-01 13:28:45.020,,280
592559,601436,Gyro,,,,0.0,0.671,-0.976,,,,,,,,,,0.08,,2016-05-01 13:28:45.020,,280
592560,601437,Gyro,,,,1.402,1.768,0.305,,,,,,,,,,0.12,,2016-05-01 13:28:45.021,,280
592561,601438,Gyro,,,,0.793,0.732,1.037,,,,,,,,,,0.16,,2016-05-01 13:28:45.021,,280
592562,601439,Gyro,,,,1.524,0.366,1.22,,,,,,,,,,0.2,,2016-05-01 13:28:45.021,,280
592563,601440,Gyro,,,,2.195,2.439,1.159,,,,,,,,,,0.24,,2016-05-01 13:28:45.022,,280
592564,601441,Gyro,,,,1.524,2.195,1.341,,,,,,,,,,0.28,,2016-05-01 13:28:45.022,,280
592565,601442,Gyro,,,,1.159,3.476,1.707,,,,,,,,,,0.32,,2016-05-01 13:28:45.022,,280
592566,601443,Gyro,,,,0.61,2.073,1.89,,,,,,,,,,0.36,,2016-05-01 13:28:45.023,,280
592567,601444,Gyro,,,,0.427,1.646,2.317,,,,,,,,,,0.4,,2016-05-01 13:28:45.023,,280
592568,601445,Gyro,,,,2.866,4.634,2.195,,,,,,,,,,0.44,,2016-05-01 13:28:45.023,,280
592569,601446,Gyro,,,,8.415,10.244,1.951,,,,,,,,,,0.48,,2016-05-01 13:28:45.023,,280
592570,601447,Gyro,,,,11.037,17.073,0.976,,,,,,,,,,0.52,,2016-05-01 13:28:45.024,,280
592571,601448,Gyro,,,,19.024,23.354,-1.098,,,,,,,,,,0.56,,2016-05-01 13:28:45.026,,280
592572,601449,Gyro,,,,25.427,32.561,-7.195,,,,,,,,,,0.6,,2016-05-01 13:28:45.026,,280
592573,601450,Gyro,,,,18.841,53.476,-20.061,,,,,,,,,,0.64,,2016-05-01 13:28:45.027,,280
592574,601451,Gyro,,,,16.22,78.963,-31.768,,,,,,,,,,0.68,,2016-05-01 13:28:45.027,,280
592575,601452,Gyro,,,,6.768,113.049,-50.732,,,,,,,,,,0.72,,2016-05-01 13:28:45.028,,280
592576,601453,Gyro,,,,-10.061,132.622,-61.951,,,,,,,,,,0.76,,2016-05-01 13:28:45.028,,280
592577,601454,Gyro,,,,-45.732,144.878,-70.427,,,,,,,,,,0.8,,2016-05-01 13:28:45.028,,280
592578,601455,Gyro,,,,-26.768,137.317,-60.549,,,,,,,,,,0.84,,2016-05-01 13:28:45.029,,280
592579,601456,Gyro,,,,-4.817,119.878,-63.78,,,,,,,,,,0.88,,2016-05-01 13:28:45.029,,280
592580,601457,Gyro,,,,17.683,98.11,-76.159,,,,,,,,,,0.92,,2016-05-01 13:28:45.029,,280
592581,601458,Gyro,,,,34.451,68.049,-97.378,,,,,,,,,,0.96,,2016-05-01 13:28:45.030,,280
592582,601459,Gyro,,,,61.646,-0.183,-105.0,,,,,,,,,,1.0,,2016-05-01 13:28:45.030,,280
592583,601460,Gyro,,,,64.268,-49.329,-115.0,,,,,,,,,,1.04,,2016-05-01 13:28:45.030,,280
592584,601461,Gyro,,,,45.61,-35.976,-113.78,,,,,,,,,,1.08,,2016-05-01 13:28:45.031,,280
592585,601462,Gyro,,,,-22.256,19.146,-55.0,,,,,,,,,,1.12,,2016-05-01 13:28:45.031,,280
592586,601463,Gyro,,,,-3.11,-7.256,-12.683,,,,,,,,,,1.16,,2016-05-01 13:28:45.031,,280
592587,601464,Gyro,,,,23.72,2.073,14.085,,,,,,,,,,1.2,,2016-05-01 13:28:45.032,,280
592588,601465,Gyro,,,,66.037,22.073,34.817,,,,,,,,,,1.24,,2016-05-01 13:28:45.032,,280
592589,601466,Gyro,,,,57.927,16.89,46.646,,,,,,,,,,1.28,,2016-05-01 13:28:45.032,,280
592590,601467,Gyro,,,,5.793,48.598,48.659,,,,,,,,,,1.32,,2016-05-01 13:28:45.033,,280
592591,601468,Gyro,,,,-2.012,44.024,62.683,,,,,,,,,,1.36,,2016-05-01 13:28:45.033,,280
592592,601469,Gyro,,,,6.159,35.549,70.183,,,,,,,,,,1.4,,2016-05-01 13:28:45.033,,280
592593,601470,Gyro,,,,36.707,23.232,68.72,,,,,,,,,,1.44,,2016-05-01 13:28:45.034,,280
592594,601471,Gyro,,,,20.488,42.683,67.012,,,,,,,,,,1.48,,2016-05-01 13:28:45.034,,280
592595,601472,Gyro,,,,25.122,39.207,74.451,,,,,,,,,,1.52,,2016-05-01 13:28:45.034,,280
592596,601473,Gyro,,,,24.878,44.817,76.159,,,,,,,,,,1.56,,2016-05-01 13:28:45.036,,280
592597,601474,Gyro,,,,-10.671,34.695,75.305,,,,,,,,,,1.6,,2016-05-01 13:28:45.036,,280
592598,601475,Gyro,,,,3.415,44.756,61.098,,,,,,,,,,1.64,,2016-05-01 13:28:45.036,,280
592599,601476,Gyro,,,,27.683,45.671,59.878,,,,,,,,,,1.68,,2016-05-01 13:28:45.037,,280
592600,601477,Gyro,,,,-12.134,1.768,83.537,,,,,,,,,,1.72,,2016-05-01 13:28:45.037,,280
592601,601478,Gyro,,,,-40.305,8.11,97.256,,,,,,,,,,1.76,,2016-05-01 13:28:45.037,,280
592602,601479,Gyro,,,,-33.415,-20.854,102.317,,,,,,,,,,1.8,,2016-05-01 13:28:45.038,,280
592603,601480,Gyro,,,,-106.098,-26.463,103.659,,,,,,,,,,1.84,,2016-05-01 13:28:45.038,,280
592604,601481,Gyro,,,,-61.89,-56.341,105.366,,,,,,,,,,1.88,,2016-05-01 13:28:45.038,,280
592605,601482,Gyro,,,,27.012,-22.5,102.256,,,,,,,,,,1.92,,2016-05-01 13:28:45.039,,280
592606,601483,Gyro,,,,-12.5,-4.207,78.78,,,,,,,,,,1.96,,2016-05-01 13:28:45.039,,280
592607,601484,Gyro,,,,17.012,81.28,48.659,,,,,,,,,,2.0,,2016-05-01 13:28:45.039,,280
592608,601485,Gyro,,,,16.402,77.317,34.085,,,,,,,,,,2.04,,2016-05-01 13:28:45.040,,280
