,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
579397,588274,Accelerometer,,,,-0.806,0.061,-0.949,,,,,,,,,,0.0,,2016-05-01 12:57:50.063,,268
579398,588275,Accelerometer,,,,-0.713,-0.156,-0.907,,,,,,,,,,0.04,,2016-05-01 12:57:50.063,,268
579399,588276,Accelerometer,,,,-0.542,0.07,-0.704,,,,,,,,,,0.08,,2016-05-01 12:57:50.063,,268
579400,588277,Accelerometer,,,,-0.535,0.435,-0.927,,,,,,,,,,0.12,,2016-05-01 12:57:50.064,,268
579401,588278,Accelerometer,,,,-0.619,0.415,-0.808,,,,,,,,,,0.16,,2016-05-01 12:57:50.064,,268
579402,588279,Accelerometer,,,,-0.587,0.219,-0.719,,,,,,,,,,0.2,,2016-05-01 12:57:50.064,,268
579403,588280,Accelerometer,,,,-0.572,0.303,-1.032,,,,,,,,,,0.24,,2016-05-01 12:57:50.065,,268
579404,588281,Accelerometer,,,,-0.516,0.484,-1.125,,,,,,,,,,0.28,,2016-05-01 12:57:50.065,,268
579405,588282,Accelerometer,,,,-0.76,0.43,-0.338,,,,,,,,,,0.32,,2016-05-01 12:57:50.065,,268
579406,588283,Accelerometer,,,,-0.485,0.297,-0.459,,,,,,,,,,0.36,,2016-05-01 12:57:50.066,,268
579407,588284,Accelerometer,,,,-0.46,0.377,-0.767,,,,,,,,,,0.4,,2016-05-01 12:57:50.066,,268
579408,588285,Accelerometer,,,,-0.638,0.366,-0.639,,,,,,,,,,0.44,,2016-05-01 12:57:50.066,,268
579409,588286,Accelerometer,,,,-0.562,0.34,-0.653,,,,,,,,,,0.48,,2016-05-01 12:57:50.067,,268
579410,588287,Accelerometer,,,,-0.482,0.289,-0.77,,,,,,,,,,0.52,,2016-05-01 12:57:50.067,,268
579411,588288,Accelerometer,,,,-0.703,0.199,-0.83,,,,,,,,,,0.56,,2016-05-01 12:57:50.067,,268
579412,588289,Accelerometer,,,,-0.379,0.035,-1.158,,,,,,,,,,0.6,,2016-05-01 12:57:50.068,,268
579413,588290,Accelerometer,,,,-0.377,-0.203,-1.129,,,,,,,,,,0.64,,2016-05-01 12:57:50.068,,268
579414,588291,Accelerometer,,,,-0.437,0.203,-1.039,,,,,,,,,,0.68,,2016-05-01 12:57:50.068,,268
579415,588292,Accelerometer,,,,-0.296,0.425,-1.185,,,,,,,,,,0.72,,2016-05-01 12:57:50.069,,268
579416,588293,Accelerometer,,,,-0.258,0.077,-1.082,,,,,,,,,,0.76,,2016-05-01 12:57:50.069,,268
579417,588294,Accelerometer,,,,-0.201,-0.033,-0.79,,,,,,,,,,0.8,,2016-05-01 12:57:50.070,,268
579418,588295,Accelerometer,,,,-0.099,-0.143,-0.858,,,,,,,,,,0.84,,2016-05-01 12:57:50.070,,268
579419,588296,Accelerometer,,,,-0.081,-0.133,-1.093,,,,,,,,,,0.88,,2016-05-01 12:57:50.070,,268
579420,588297,Accelerometer,,,,-0.009,-0.021,-1.078,,,,,,,,,,0.92,,2016-05-01 12:57:50.071,,268
579421,588298,Accelerometer,,,,-0.176,0.109,-0.646,,,,,,,,,,0.96,,2016-05-01 12:57:50.071,,268
579422,588299,Accelerometer,,,,-0.7,0.088,-0.394,,,,,,,,,,1.0,,2016-05-01 12:57:50.072,,268
579423,588300,Accelerometer,,,,-0.563,0.035,-0.742,,,,,,,,,,1.04,,2016-05-01 12:57:50.073,,268
579424,588301,Accelerometer,,,,-0.108,0.066,-0.722,,,,,,,,,,1.08,,2016-05-01 12:57:50.073,,268
579425,588302,Accelerometer,,,,-0.372,-0.005,-0.439,,,,,,,,,,1.12,,2016-05-01 12:57:50.073,,268
