,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
578937,587814,Accelerometer,,,,-1.028,0.066,-0.649,,,,,,,,,,0.0,,2016-05-01 12:54:58.816,,265
578938,587815,Accelerometer,,,,-1.007,0.131,-0.777,,,,,,,,,,0.04,,2016-05-01 12:54:58.816,,265
578939,587816,Accelerometer,,,,-0.848,-0.185,-0.917,,,,,,,,,,0.08,,2016-05-01 12:54:58.816,,265
578940,587817,Accelerometer,,,,-0.723,-0.034,-0.877,,,,,,,,,,0.12,,2016-05-01 12:54:58.817,,265
578941,587818,Accelerometer,,,,-0.663,0.315,-0.758,,,,,,,,,,0.16,,2016-05-01 12:54:58.817,,265
578942,587819,Accelerometer,,,,-0.494,0.443,-0.83,,,,,,,,,,0.2,,2016-05-01 12:54:58.817,,265
578943,587820,Accelerometer,,,,-0.458,0.289,-0.96,,,,,,,,,,0.24,,2016-05-01 12:54:58.817,,265
578944,587821,Accelerometer,,,,-0.672,0.342,-1.047,,,,,,,,,,0.28,,2016-05-01 12:54:58.817,,265
578945,587822,Accelerometer,,,,-0.732,0.282,-0.77,,,,,,,,,,0.32,,2016-05-01 12:54:58.818,,265
578946,587823,Accelerometer,,,,-0.608,0.333,-0.747,,,,,,,,,,0.36,,2016-05-01 12:54:58.818,,265
578947,587824,Accelerometer,,,,-0.446,0.304,-0.552,,,,,,,,,,0.4,,2016-05-01 12:54:58.818,,265
578948,587825,Accelerometer,,,,-0.475,0.105,-0.637,,,,,,,,,,0.44,,2016-05-01 12:54:58.818,,265
578949,587826,Accelerometer,,,,-0.412,-0.007,-0.814,,,,,,,,,,0.48,,2016-05-01 12:54:58.818,,265
578950,587827,Accelerometer,,,,-0.418,0.167,-0.789,,,,,,,,,,0.52,,2016-05-01 12:54:58.819,,265
578951,587828,Accelerometer,,,,-0.31,0.138,-1.241,,,,,,,,,,0.56,,2016-05-01 12:54:58.819,,265
578952,587829,Accelerometer,,,,-0.277,0.213,-1.329,,,,,,,,,,0.6,,2016-05-01 12:54:58.819,,265
578953,587830,Accelerometer,,,,-0.328,0.318,-0.774,,,,,,,,,,0.64,,2016-05-01 12:54:58.819,,265
578954,587831,Accelerometer,,,,-0.018,-0.11,-0.98,,,,,,,,,,0.68,,2016-05-01 12:54:58.819,,265
578955,587832,Accelerometer,,,,0.027,-0.357,-0.974,,,,,,,,,,0.72,,2016-05-01 12:54:58.820,,265
578956,587833,Accelerometer,,,,-0.284,0.12,-0.904,,,,,,,,,,0.76,,2016-05-01 12:54:58.821,,265
578957,587834,Accelerometer,,,,-0.426,-0.051,-0.633,,,,,,,,,,0.8,,2016-05-01 12:54:58.822,,265
578958,587835,Accelerometer,,,,-0.074,0.024,-0.627,,,,,,,,,,0.84,,2016-05-01 12:54:58.823,,265
578959,587836,Accelerometer,,,,-0.244,0.009,-0.583,,,,,,,,,,0.88,,2016-05-01 12:54:58.823,,265
578960,587837,Accelerometer,,,,-0.599,0.065,-1.144,,,,,,,,,,0.92,,2016-05-01 12:54:58.823,,265
578961,587838,Accelerometer,,,,-0.18,0.288,-1.782,,,,,,,,,,0.96,,2016-05-01 12:54:58.823,,265
578962,587839,Accelerometer,,,,-0.48,0.228,-1.176,,,,,,,,,,1.0,,2016-05-01 12:54:58.824,,265
578963,587840,Accelerometer,,,,-0.847,0.029,-1.232,,,,,,,,,,1.04,,2016-05-01 12:54:58.824,,265
578964,587841,Accelerometer,,,,-1.059,0.152,-1.243,,,,,,,,,,1.08,,2016-05-01 12:54:58.824,,265
578965,587842,Accelerometer,,,,-0.86,0.284,-0.951,,,,,,,,,,1.12,,2016-05-01 12:54:58.825,,265
578966,587843,Accelerometer,,,,-0.877,0.089,-0.692,,,,,,,,,,1.16,,2016-05-01 12:54:58.825,,265
578967,587844,Accelerometer,,,,-0.797,0.111,-0.698,,,,,,,,,,1.2,,2016-05-01 12:54:58.825,,265
578968,587845,Accelerometer,,,,-0.793,0.334,-0.659,,,,,,,,,,1.24,,2016-05-01 12:54:58.825,,265
578969,587846,Accelerometer,,,,-0.773,0.152,-0.52,,,,,,,,,,1.28,,2016-05-01 12:54:58.825,,265
578970,587847,Accelerometer,,,,-0.798,0.085,-0.505,,,,,,,,,,1.32,,2016-05-01 12:54:58.825,,265
578971,587848,Accelerometer,,,,-0.811,0.127,-0.555,,,,,,,,,,1.36,,2016-05-01 12:54:58.826,,265
578972,587849,Accelerometer,,,,-0.832,0.146,-0.545,,,,,,,,,,1.4,,2016-05-01 12:54:58.826,,265
578973,587850,Accelerometer,,,,-0.832,0.016,-0.316,,,,,,,,,,1.44,,2016-05-01 12:54:58.827,,265
578974,587851,Accelerometer,,,,-0.888,0.048,-0.234,,,,,,,,,,1.48,,2016-05-01 12:54:58.827,,265
578975,587852,Accelerometer,,,,-0.846,0.038,-0.355,,,,,,,,,,1.52,,2016-05-01 12:54:58.827,,265
578976,587853,Accelerometer,,,,-0.931,0.023,-0.298,,,,,,,,,,1.56,,2016-05-01 12:54:58.828,,265
578977,587854,Accelerometer,,,,-0.833,0.046,-0.181,,,,,,,,,,1.6,,2016-05-01 12:54:58.828,,265
578978,587855,Accelerometer,,,,-0.928,0.034,-0.219,,,,,,,,,,1.64,,2016-05-01 12:54:58.828,,265
578979,587856,Accelerometer,,,,-0.914,0.038,-0.061,,,,,,,,,,1.68,,2016-05-01 12:54:58.828,,265
578980,587857,Accelerometer,,,,-0.884,-0.024,-0.107,,,,,,,,,,1.72,,2016-05-01 12:54:58.829,,265
578981,587858,Accelerometer,,,,-0.884,0.002,-0.051,,,,,,,,,,1.76,,2016-05-01 12:54:58.829,,265
578982,587859,Accelerometer,,,,-0.92,-0.021,-0.048,,,,,,,,,,1.8,,2016-05-01 12:54:58.829,,265
