,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
422057,423814,Accelerometer,,,,-0.967,-0.336,0.011,,,,,,,,,,0.0,,2016-03-15 20:31:42.255,,142
422058,423815,Accelerometer,,,,-0.993,-0.332,-0.021,,,,,,,,,,0.04,,2016-03-15 20:31:42.256,,142
422059,423816,Accelerometer,,,,-0.979,-0.343,-0.017,,,,,,,,,,0.08,,2016-03-15 20:31:42.256,,142
422060,423817,Accelerometer,,,,-0.961,-0.342,-0.014,,,,,,,,,,0.12,,2016-03-15 20:31:42.256,,142
422061,423818,Accelerometer,,,,-0.963,-0.357,-0.02,,,,,,,,,,0.16,,2016-03-15 20:31:42.256,,142
422062,423819,Accelerometer,,,,-0.962,-0.368,-0.009,,,,,,,,,,0.2,,2016-03-15 20:31:42.257,,142
422063,423820,Accelerometer,,,,-0.951,-0.368,-0.002,,,,,,,,,,0.24,,2016-03-15 20:31:42.257,,142
422064,423821,Accelerometer,,,,-0.959,-0.361,0.004,,,,,,,,,,0.28,,2016-03-15 20:31:42.258,,142
422065,423822,Accelerometer,,,,-0.962,-0.363,0.01,,,,,,,,,,0.32,,2016-03-15 20:31:42.258,,142
422066,423823,Accelerometer,,,,-0.953,-0.362,0.022,,,,,,,,,,0.36,,2016-03-15 20:31:42.260,,142
422067,423824,Accelerometer,,,,-0.966,-0.354,0.044,,,,,,,,,,0.4,,2016-03-15 20:31:42.260,,142
422068,423825,Accelerometer,,,,-0.959,-0.363,0.046,,,,,,,,,,0.44,,2016-03-15 20:31:42.261,,142
422069,423826,Accelerometer,,,,-0.955,-0.361,0.047,,,,,,,,,,0.48,,2016-03-15 20:31:42.261,,142
422070,423827,Accelerometer,,,,-0.945,-0.36,0.055,,,,,,,,,,0.52,,2016-03-15 20:31:42.261,,142
422071,423828,Accelerometer,,,,-0.965,-0.354,0.061,,,,,,,,,,0.56,,2016-03-15 20:31:42.262,,142
422072,423829,Accelerometer,,,,-0.959,-0.361,0.061,,,,,,,,,,0.6,,2016-03-15 20:31:42.262,,142
422073,423830,Accelerometer,,,,-0.946,-0.363,0.041,,,,,,,,,,0.64,,2016-03-15 20:31:42.262,,142
422074,423831,Accelerometer,,,,-0.952,-0.323,0.057,,,,,,,,,,0.68,,2016-03-15 20:31:42.262,,142
422075,423832,Accelerometer,,,,-0.965,-0.346,0.052,,,,,,,,,,0.72,,2016-03-15 20:31:42.263,,142
422076,423833,Accelerometer,,,,-0.939,-0.375,0.049,,,,,,,,,,0.76,,2016-03-15 20:31:42.263,,142
422077,423834,Accelerometer,,,,-0.966,-0.363,0.07,,,,,,,,,,0.8,,2016-03-15 20:31:42.263,,142
422078,423835,Accelerometer,,,,-0.985,-0.321,0.064,,,,,,,,,,0.84,,2016-03-15 20:31:42.264,,142
422079,423836,Accelerometer,,,,-1.018,-0.248,0.137,,,,,,,,,,0.88,,2016-03-15 20:31:42.264,,142
422080,423837,Accelerometer,,,,-0.961,-0.376,0.064,,,,,,,,,,0.92,,2016-03-15 20:31:42.264,,142
422081,423838,Accelerometer,,,,-0.936,-0.443,0.108,,,,,,,,,,0.96,,2016-03-15 20:31:42.264,,142
422082,423839,Accelerometer,,,,-0.888,-0.444,0.062,,,,,,,,,,1.0,,2016-03-15 20:31:42.265,,142
422083,423840,Accelerometer,,,,-0.874,-0.466,0.085,,,,,,,,,,1.04,,2016-03-15 20:31:42.265,,142
