,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
236699,236793,Accelerometer,,,,-0.902,0.421,0.064,,,,,,,,,,0.0,,2016-03-05 12:20:13.056,,98
236700,236794,Accelerometer,,,,-0.918,0.435,0.077,,,,,,,,,,0.04,,2016-03-05 12:20:13.056,,98
236701,236795,Accelerometer,,,,-0.914,0.434,0.071,,,,,,,,,,0.08,,2016-03-05 12:20:13.056,,98
236702,236796,Accelerometer,,,,-0.917,0.428,0.058,,,,,,,,,,0.12,,2016-03-05 12:20:13.057,,98
236703,236797,Accelerometer,,,,-0.9,0.434,0.067,,,,,,,,,,0.16,,2016-03-05 12:20:13.057,,98
236704,236798,Accelerometer,,,,-0.898,0.425,0.072,,,,,,,,,,0.2,,2016-03-05 12:20:13.057,,98
236705,236799,Accelerometer,,,,-0.91,0.422,0.069,,,,,,,,,,0.24,,2016-03-05 12:20:13.058,,98
236706,236800,Accelerometer,,,,-0.908,0.433,0.063,,,,,,,,,,0.28,,2016-03-05 12:20:13.058,,98
236707,236801,Accelerometer,,,,-0.909,0.437,0.063,,,,,,,,,,0.32,,2016-03-05 12:20:13.058,,98
236708,236802,Accelerometer,,,,-0.909,0.436,0.064,,,,,,,,,,0.36,,2016-03-05 12:20:13.058,,98
236709,236803,Accelerometer,,,,-0.909,0.437,0.057,,,,,,,,,,0.4,,2016-03-05 12:20:13.059,,98
236710,236804,Accelerometer,,,,-0.911,0.426,0.062,,,,,,,,,,0.44,,2016-03-05 12:20:13.059,,98
236711,236805,Accelerometer,,,,-0.913,0.432,0.056,,,,,,,,,,0.48,,2016-03-05 12:20:13.059,,98
236712,236806,Accelerometer,,,,-0.909,0.427,0.055,,,,,,,,,,0.52,,2016-03-05 12:20:13.060,,98
236713,236807,Accelerometer,,,,-0.911,0.428,0.056,,,,,,,,,,0.56,,2016-03-05 12:20:13.060,,98
236714,236808,Accelerometer,,,,-0.913,0.426,0.047,,,,,,,,,,0.6,,2016-03-05 12:20:13.060,,98
236715,236809,Accelerometer,,,,-0.914,0.435,0.055,,,,,,,,,,0.64,,2016-03-05 12:20:13.060,,98
236716,236810,Accelerometer,,,,-0.919,0.43,0.056,,,,,,,,,,0.68,,2016-03-05 12:20:13.061,,98
236717,236811,Accelerometer,,,,-0.914,0.426,0.048,,,,,,,,,,0.72,,2016-03-05 12:20:13.061,,98
236718,236812,Accelerometer,,,,-0.911,0.427,0.05,,,,,,,,,,0.76,,2016-03-05 12:20:13.062,,98
236719,236813,Accelerometer,,,,-0.913,0.415,0.079,,,,,,,,,,0.8,,2016-03-05 12:20:13.062,,98
236720,236814,Accelerometer,,,,-0.921,0.433,0.067,,,,,,,,,,0.84,,2016-03-05 12:20:13.062,,98
236721,236815,Accelerometer,,,,-0.905,0.437,0.059,,,,,,,,,,0.88,,2016-03-05 12:20:13.063,,98
236722,236816,Accelerometer,,,,-0.907,0.433,0.056,,,,,,,,,,0.92,,2016-03-05 12:20:13.063,,98
236723,236817,Accelerometer,,,,-0.914,0.434,0.059,,,,,,,,,,0.96,,2016-03-05 12:20:13.063,,98
236724,236818,Accelerometer,,,,-0.905,0.432,0.064,,,,,,,,,,1.0,,2016-03-05 12:20:13.064,,98
236725,236819,Accelerometer,,,,-0.911,0.442,0.075,,,,,,,,,,1.04,,2016-03-05 12:20:13.064,,98
236726,236820,Accelerometer,,,,-0.909,0.444,0.062,,,,,,,,,,1.08,,2016-03-05 12:20:13.064,,98
236727,236821,Accelerometer,,,,-0.906,0.405,0.054,,,,,,,,,,1.12,,2016-03-05 12:20:13.064,,98
236728,236822,Accelerometer,,,,-0.92,0.408,0.074,,,,,,,,,,1.16,,2016-03-05 12:20:13.065,,98
236729,236823,Accelerometer,,,,-0.915,0.41,0.081,,,,,,,,,,1.2,,2016-03-05 12:20:13.065,,98
236730,236824,Accelerometer,,,,-0.918,0.414,0.074,,,,,,,,,,1.24,,2016-03-05 12:20:13.065,,98
236731,236825,Accelerometer,,,,-0.92,0.42,0.076,,,,,,,,,,1.28,,2016-03-05 12:20:13.065,,98
236732,236826,Accelerometer,,,,-0.923,0.413,0.076,,,,,,,,,,1.32,,2016-03-05 12:20:13.066,,98
236733,236827,Accelerometer,,,,-0.922,0.413,0.077,,,,,,,,,,1.36,,2016-03-05 12:20:13.066,,98
236734,236828,Accelerometer,,,,-0.911,0.42,0.069,,,,,,,,,,1.4,,2016-03-05 12:20:13.069,,98
236735,236829,Accelerometer,,,,-0.904,0.401,0.08,,,,,,,,,,1.44,,2016-03-05 12:20:13.070,,98
236736,236830,Accelerometer,,,,-0.908,0.393,0.078,,,,,,,,,,1.48,,2016-03-05 12:20:13.070,,98
236737,236831,Accelerometer,,,,-0.913,0.397,0.073,,,,,,,,,,1.52,,2016-03-05 12:20:13.071,,98
236738,236832,Accelerometer,,,,-0.926,0.41,0.075,,,,,,,,,,1.56,,2016-03-05 12:20:13.071,,98
236739,236833,Accelerometer,,,,-0.932,0.408,0.062,,,,,,,,,,1.6,,2016-03-05 12:20:13.071,,98
236740,236834,Accelerometer,,,,-0.948,0.445,0.069,,,,,,,,,,1.64,,2016-03-05 12:20:13.072,,98
236741,236835,Accelerometer,,,,-0.937,0.405,0.044,,,,,,,,,,1.68,,2016-03-05 12:20:13.072,,98
236742,236836,Accelerometer,,,,-0.881,0.396,0.013,,,,,,,,,,1.72,,2016-03-05 12:20:13.072,,98
236743,236837,Accelerometer,,,,-0.866,0.453,0.007,,,,,,,,,,1.76,,2016-03-05 12:20:13.073,,98
236744,236838,Accelerometer,,,,-0.865,0.432,-0.005,,,,,,,,,,1.8,,2016-03-05 12:20:13.073,,98
236745,236839,Accelerometer,,,,-0.872,0.421,0.006,,,,,,,,,,1.84,,2016-03-05 12:20:13.073,,98
236746,236840,Accelerometer,,,,-0.88,0.529,-0.06,,,,,,,,,,1.88,,2016-03-05 12:20:13.074,,98
236747,236841,Accelerometer,,,,-0.901,0.539,-0.098,,,,,,,,,,1.92,,2016-03-05 12:20:13.074,,98
236748,236842,Accelerometer,,,,-0.854,0.477,-0.13,,,,,,,,,,1.96,,2016-03-05 12:20:13.074,,98
236749,236843,Accelerometer,,,,-0.799,0.549,-0.215,,,,,,,,,,2.0,,2016-03-05 12:20:13.074,,98
236750,236844,Accelerometer,,,,-0.85,0.52,-0.232,,,,,,,,,,2.04,,2016-03-05 12:20:13.075,,98
236751,236845,Accelerometer,,,,-0.851,0.52,-0.27,,,,,,,,,,2.08,,2016-03-05 12:20:13.075,,98
236752,236846,Accelerometer,,,,-0.843,0.492,-0.27,,,,,,,,,,2.12,,2016-03-05 12:20:13.075,,98
236753,236847,Accelerometer,,,,-0.837,0.477,-0.295,,,,,,,,,,2.16,,2016-03-05 12:20:13.076,,98
236754,236848,Accelerometer,,,,-0.876,0.479,-0.317,,,,,,,,,,2.2,,2016-03-05 12:20:13.076,,98
236755,236849,Accelerometer,,,,-0.868,0.508,-0.326,,,,,,,,,,2.24,,2016-03-05 12:20:13.076,,98
236756,236850,Accelerometer,,,,-0.886,0.5,-0.31,,,,,,,,,,2.28,,2016-03-05 12:20:13.077,,98
236757,236851,Accelerometer,,,,-0.972,0.525,-0.313,,,,,,,,,,2.32,,2016-03-05 12:20:13.077,,98
236758,236852,Accelerometer,,,,-0.93,0.542,-0.247,,,,,,,,,,2.36,,2016-03-05 12:20:13.077,,98
236759,236853,Accelerometer,,,,-0.801,0.531,-0.19,,,,,,,,,,2.4,,2016-03-05 12:20:13.078,,98
236760,236854,Accelerometer,,,,-0.943,0.602,-0.125,,,,,,,,,,2.44,,2016-03-05 12:20:13.078,,98
236761,236855,Accelerometer,,,,-0.811,0.595,-0.06,,,,,,,,,,2.48,,2016-03-05 12:20:13.078,,98
236762,236856,Accelerometer,,,,-0.816,0.658,-0.071,,,,,,,,,,2.52,,2016-03-05 12:20:13.078,,98
236763,236857,Accelerometer,,,,-0.751,0.645,0.092,,,,,,,,,,2.56,,2016-03-05 12:20:13.079,,98
236764,236858,Accelerometer,,,,-0.723,0.66,0.156,,,,,,,,,,2.6,,2016-03-05 12:20:13.079,,98
236765,236859,Accelerometer,,,,-0.794,0.081,0.29,,,,,,,,,,2.64,,2016-03-05 12:20:13.079,,98
236766,236860,Accelerometer,,,,-0.883,0.331,0.577,,,,,,,,,,2.68,,2016-03-05 12:20:13.080,,98
236767,236861,Accelerometer,,,,-0.812,0.663,0.423,,,,,,,,,,2.72,,2016-03-05 12:20:13.080,,98
236768,236862,Accelerometer,,,,-0.787,0.39,0.458,,,,,,,,,,2.76,,2016-03-05 12:20:13.080,,98
236769,236863,Accelerometer,,,,-0.841,0.379,0.581,,,,,,,,,,2.8,,2016-03-05 12:20:13.081,,98
236770,236864,Accelerometer,,,,-0.785,0.564,0.61,,,,,,,,,,2.84,,2016-03-05 12:20:13.081,,98
236771,236865,Accelerometer,,,,-0.8,0.259,0.343,,,,,,,,,,2.88,,2016-03-05 12:20:13.081,,98
