,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
516408,518998,Accelerometer,,,,-0.198,-0.284,1.258,,,,,,,,,,0.0,,2016-03-26 13:35:45.958,,206
516409,518999,Accelerometer,,,,-0.161,-0.292,1.031,,,,,,,,,,0.04,,2016-03-26 13:35:45.958,,206
516410,519000,Accelerometer,,,,-0.24,-0.421,1.09,,,,,,,,,,0.08,,2016-03-26 13:35:45.959,,206
516411,519001,Accelerometer,,,,0.201,-0.567,0.981,,,,,,,,,,0.12,,2016-03-26 13:35:45.959,,206
516412,519002,Accelerometer,,,,0.282,-0.669,0.791,,,,,,,,,,0.16,,2016-03-26 13:35:45.959,,206
516413,519003,Accelerometer,,,,0.013,-0.529,0.777,,,,,,,,,,0.2,,2016-03-26 13:35:45.959,,206
516414,519004,Accelerometer,,,,-0.195,-0.424,0.867,,,,,,,,,,0.24,,2016-03-26 13:35:45.960,,206
516415,519005,Accelerometer,,,,-0.182,-0.536,0.968,,,,,,,,,,0.28,,2016-03-26 13:35:45.960,,206
516416,519006,Accelerometer,,,,-0.155,-0.401,0.963,,,,,,,,,,0.32,,2016-03-26 13:35:45.960,,206
516417,519007,Accelerometer,,,,-0.127,-0.344,1.004,,,,,,,,,,0.36,,2016-03-26 13:35:45.961,,206
516418,519008,Accelerometer,,,,-0.234,-0.354,0.969,,,,,,,,,,0.4,,2016-03-26 13:35:45.961,,206
516419,519009,Accelerometer,,,,-0.335,-0.516,0.9,,,,,,,,,,0.44,,2016-03-26 13:35:45.961,,206
516420,519010,Accelerometer,,,,-0.405,-0.511,0.943,,,,,,,,,,0.48,,2016-03-26 13:35:45.962,,206
516421,519011,Accelerometer,,,,-0.423,-0.548,0.923,,,,,,,,,,0.52,,2016-03-26 13:35:45.962,,206
516422,519012,Accelerometer,,,,-0.274,-0.409,0.799,,,,,,,,,,0.56,,2016-03-26 13:35:45.962,,206
516423,519013,Accelerometer,,,,-0.5,-0.293,0.807,,,,,,,,,,0.6,,2016-03-26 13:35:45.963,,206
516424,519014,Accelerometer,,,,-0.562,-0.259,0.865,,,,,,,,,,0.64,,2016-03-26 13:35:45.963,,206
516425,519015,Accelerometer,,,,-0.514,-0.232,0.869,,,,,,,,,,0.68,,2016-03-26 13:35:45.963,,206
516426,519016,Accelerometer,,,,-0.468,-0.085,0.988,,,,,,,,,,0.72,,2016-03-26 13:35:45.963,,206
516427,519017,Accelerometer,,,,-0.267,0.055,0.955,,,,,,,,,,0.76,,2016-03-26 13:35:45.964,,206
516428,519018,Accelerometer,,,,-0.378,-0.071,1.016,,,,,,,,,,0.8,,2016-03-26 13:35:45.964,,206
516429,519019,Accelerometer,,,,-0.376,-0.165,0.94,,,,,,,,,,0.84,,2016-03-26 13:35:45.964,,206
516430,519020,Accelerometer,,,,-0.172,-0.092,0.89,,,,,,,,,,0.88,,2016-03-26 13:35:45.965,,206
516431,519021,Accelerometer,,,,-0.256,0.049,0.956,,,,,,,,,,0.92,,2016-03-26 13:35:45.965,,206
516432,519022,Accelerometer,,,,-0.253,0.024,0.967,,,,,,,,,,0.96,,2016-03-26 13:35:45.965,,206
516433,519023,Accelerometer,,,,-0.083,0.236,1.098,,,,,,,,,,1.0,,2016-03-26 13:35:45.966,,206
516434,519024,Accelerometer,,,,-0.101,0.299,1.193,,,,,,,,,,1.04,,2016-03-26 13:35:45.967,,206
516435,519025,Accelerometer,,,,-0.161,0.208,1.058,,,,,,,,,,1.08,,2016-03-26 13:35:45.968,,206
516436,519026,Accelerometer,,,,-0.691,-0.009,1.077,,,,,,,,,,1.12,,2016-03-26 13:35:45.968,,206
516437,519027,Accelerometer,,,,-0.055,0.145,0.917,,,,,,,,,,1.16,,2016-03-26 13:35:45.968,,206
516438,519028,Accelerometer,,,,0.011,-0.023,1.047,,,,,,,,,,1.2,,2016-03-26 13:35:45.969,,206
516439,519029,Accelerometer,,,,-0.322,0.063,1.121,,,,,,,,,,1.24,,2016-03-26 13:35:45.969,,206
516440,519030,Accelerometer,,,,-0.348,0.168,1.086,,,,,,,,,,1.28,,2016-03-26 13:35:45.969,,206
516441,519031,Accelerometer,,,,-0.302,-0.261,1.17,,,,,,,,,,1.32,,2016-03-26 13:35:45.970,,206
516442,519032,Accelerometer,,,,-0.505,-0.03,0.935,,,,,,,,,,1.36,,2016-03-26 13:35:45.970,,206
516443,519033,Accelerometer,,,,-0.567,-0.097,0.709,,,,,,,,,,1.4,,2016-03-26 13:35:45.971,,206
516444,519034,Accelerometer,,,,-0.484,-0.015,0.85,,,,,,,,,,1.44,,2016-03-26 13:35:45.971,,206
516445,519035,Accelerometer,,,,-0.465,0.024,0.799,,,,,,,,,,1.48,,2016-03-26 13:35:45.971,,206
516446,519036,Accelerometer,,,,-0.577,0.003,0.765,,,,,,,,,,1.52,,2016-03-26 13:35:45.972,,206
516447,519037,Accelerometer,,,,-0.709,-0.116,0.875,,,,,,,,,,1.56,,2016-03-26 13:35:45.972,,206
516448,519038,Accelerometer,,,,-0.564,-0.244,0.863,,,,,,,,,,1.6,,2016-03-26 13:35:45.972,,206
516449,519039,Accelerometer,,,,-0.531,-0.201,0.614,,,,,,,,,,1.64,,2016-03-26 13:35:45.973,,206
516450,519040,Accelerometer,,,,-0.732,-0.253,0.728,,,,,,,,,,1.68,,2016-03-26 13:35:45.973,,206
516451,519041,Accelerometer,,,,-0.681,-0.363,0.732,,,,,,,,,,1.72,,2016-03-26 13:35:45.973,,206
516452,519042,Accelerometer,,,,-0.552,-0.349,0.749,,,,,,,,,,1.76,,2016-03-26 13:35:45.974,,206
516453,519043,Accelerometer,,,,-0.809,-0.095,0.479,,,,,,,,,,1.8,,2016-03-26 13:35:45.974,,206
516454,519044,Accelerometer,,,,-0.885,-0.745,0.543,,,,,,,,,,1.84,,2016-03-26 13:35:45.974,,206
516455,519045,Accelerometer,,,,-0.565,-0.912,0.241,,,,,,,,,,1.88,,2016-03-26 13:35:45.975,,206
516456,519046,Accelerometer,,,,-0.497,-0.944,0.104,,,,,,,,,,1.92,,2016-03-26 13:35:45.975,,206
516457,519047,Accelerometer,,,,-0.334,-0.88,-0.175,,,,,,,,,,1.96,,2016-03-26 13:35:45.975,,206
516458,519048,Accelerometer,,,,-0.569,-0.555,-0.096,,,,,,,,,,2.0,,2016-03-26 13:35:45.976,,206
516459,519049,Accelerometer,,,,-1.139,-0.593,-0.308,,,,,,,,,,2.04,,2016-03-26 13:35:45.976,,206
516460,519050,Accelerometer,,,,-1.164,-0.264,-0.323,,,,,,,,,,2.08,,2016-03-26 13:35:45.976,,206
516461,519051,Accelerometer,,,,-1.105,-0.163,-0.283,,,,,,,,,,2.12,,2016-03-26 13:35:45.977,,206
