,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
423665,425422,Accelerometer,,,,-1.011,-0.008,0.145,,,,,,,,,,0.0,,2016-03-15 20:33:57.505,,143
423666,425423,Accelerometer,,,,0.257,-0.062,0.98,,,,,,,,,,0.04,,2016-03-15 20:33:57.505,,143
423667,425424,Accelerometer,,,,0.258,-0.065,0.994,,,,,,,,,,0.08,,2016-03-15 20:33:57.505,,143
423668,425425,Accelerometer,,,,0.269,-0.066,0.984,,,,,,,,,,0.12,,2016-03-15 20:33:57.505,,143
423669,425426,Accelerometer,,,,0.269,-0.071,0.989,,,,,,,,,,0.16,,2016-03-15 20:33:57.506,,143
423670,425427,Accelerometer,,,,0.299,-0.084,0.97,,,,,,,,,,0.2,,2016-03-15 20:33:57.506,,143
423671,425428,Accelerometer,,,,0.27,-0.064,0.989,,,,,,,,,,0.24,,2016-03-15 20:33:57.506,,143
423672,425429,Accelerometer,,,,0.259,-0.064,0.983,,,,,,,,,,0.28,,2016-03-15 20:33:57.507,,143
423673,425430,Accelerometer,,,,0.278,-0.076,0.989,,,,,,,,,,0.32,,2016-03-15 20:33:57.508,,143
423674,425431,Accelerometer,,,,0.278,-0.076,0.978,,,,,,,,,,0.36,,2016-03-15 20:33:57.508,,143
423675,425432,Accelerometer,,,,0.293,-0.079,0.981,,,,,,,,,,0.4,,2016-03-15 20:33:57.508,,143
423676,425433,Accelerometer,,,,0.286,-0.069,0.968,,,,,,,,,,0.44,,2016-03-15 20:33:57.509,,143
423677,425434,Accelerometer,,,,0.302,-0.08,0.987,,,,,,,,,,0.48,,2016-03-15 20:33:57.509,,143
423678,425435,Accelerometer,,,,0.273,-0.069,0.981,,,,,,,,,,0.52,,2016-03-15 20:33:57.509,,143
423679,425436,Accelerometer,,,,0.292,-0.077,0.98,,,,,,,,,,0.56,,2016-03-15 20:33:57.509,,143
423680,425437,Accelerometer,,,,0.29,-0.075,0.982,,,,,,,,,,0.6,,2016-03-15 20:33:57.509,,143
423681,425438,Accelerometer,,,,0.292,-0.082,0.975,,,,,,,,,,0.64,,2016-03-15 20:33:57.510,,143
423682,425439,Accelerometer,,,,0.299,-0.093,0.979,,,,,,,,,,0.68,,2016-03-15 20:33:57.510,,143
423683,425440,Accelerometer,,,,0.297,-0.081,0.972,,,,,,,,,,0.72,,2016-03-15 20:33:57.510,,143
423684,425441,Accelerometer,,,,0.308,-0.095,0.977,,,,,,,,,,0.76,,2016-03-15 20:33:57.510,,143
423685,425442,Accelerometer,,,,0.302,-0.083,0.97,,,,,,,,,,0.8,,2016-03-15 20:33:57.510,,143
423686,425443,Accelerometer,,,,0.297,-0.067,0.972,,,,,,,,,,0.84,,2016-03-15 20:33:57.511,,143
423687,425444,Accelerometer,,,,0.289,-0.065,0.984,,,,,,,,,,0.88,,2016-03-15 20:33:57.511,,143
423688,425445,Accelerometer,,,,0.287,-0.072,0.971,,,,,,,,,,0.92,,2016-03-15 20:33:57.511,,143
423689,425446,Accelerometer,,,,0.29,-0.071,0.979,,,,,,,,,,0.96,,2016-03-15 20:33:57.511,,143
423690,425447,Accelerometer,,,,0.295,-0.077,0.979,,,,,,,,,,1.0,,2016-03-15 20:33:57.511,,143
423691,425448,Accelerometer,,,,0.303,-0.075,0.975,,,,,,,,,,1.04,,2016-03-15 20:33:57.512,,143
423692,425449,Accelerometer,,,,0.3,-0.065,0.963,,,,,,,,,,1.08,,2016-03-15 20:33:57.512,,143
423693,425450,Accelerometer,,,,0.292,-0.056,0.992,,,,,,,,,,1.12,,2016-03-15 20:33:57.512,,143
423694,425451,Accelerometer,,,,0.3,-0.069,0.976,,,,,,,,,,1.16,,2016-03-15 20:33:57.512,,143
423695,425452,Accelerometer,,,,0.294,-0.04,0.976,,,,,,,,,,1.2,,2016-03-15 20:33:57.513,,143
423696,425453,Accelerometer,,,,0.285,-0.033,0.978,,,,,,,,,,1.24,,2016-03-15 20:33:57.513,,143
423697,425454,Accelerometer,,,,0.301,-0.052,0.979,,,,,,,,,,1.28,,2016-03-15 20:33:57.513,,143
423698,425455,Accelerometer,,,,0.298,-0.056,0.981,,,,,,,,,,1.32,,2016-03-15 20:33:57.513,,143
423699,425456,Accelerometer,,,,0.285,-0.05,0.969,,,,,,,,,,1.36,,2016-03-15 20:33:57.513,,143
423700,425457,Accelerometer,,,,0.291,-0.048,0.988,,,,,,,,,,1.4,,2016-03-15 20:33:57.514,,143
423701,425458,Accelerometer,,,,0.284,-0.076,0.985,,,,,,,,,,1.44,,2016-03-15 20:33:57.514,,143
423702,425459,Accelerometer,,,,0.293,-0.079,0.973,,,,,,,,,,1.48,,2016-03-15 20:33:57.514,,143
423703,425460,Accelerometer,,,,0.284,-0.072,0.986,,,,,,,,,,1.52,,2016-03-15 20:33:57.514,,143
423704,425461,Accelerometer,,,,0.295,-0.065,0.979,,,,,,,,,,1.56,,2016-03-15 20:33:57.514,,143
423705,425462,Accelerometer,,,,0.294,-0.052,0.983,,,,,,,,,,1.6,,2016-03-15 20:33:57.515,,143
423706,425463,Accelerometer,,,,0.301,-0.048,0.974,,,,,,,,,,1.64,,2016-03-15 20:33:57.515,,143
423707,425464,Accelerometer,,,,0.303,-0.061,0.974,,,,,,,,,,1.68,,2016-03-15 20:33:57.515,,143
423708,425465,Accelerometer,,,,0.283,-0.069,0.972,,,,,,,,,,1.72,,2016-03-15 20:33:57.515,,143
423709,425466,Accelerometer,,,,0.292,-0.058,0.961,,,,,,,,,,1.76,,2016-03-15 20:33:57.515,,143
423710,425467,Accelerometer,,,,0.299,-0.073,1.003,,,,,,,,,,1.8,,2016-03-15 20:33:57.516,,143
423711,425468,Accelerometer,,,,0.268,-0.068,0.945,,,,,,,,,,1.84,,2016-03-15 20:33:57.516,,143
423712,425469,Accelerometer,,,,0.305,-0.062,1.015,,,,,,,,,,1.88,,2016-03-15 20:33:57.516,,143
423713,425470,Accelerometer,,,,0.318,-0.056,1.001,,,,,,,,,,1.92,,2016-03-15 20:33:57.516,,143
