,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
309632,309726,Accelerometer,,,,-0.697,0.078,-0.734,,,,,,,,,,0.0,,2016-03-05 14:24:10.680,,104
309633,309727,Accelerometer,,,,0.031,0.045,1.016,,,,,,,,,,0.04,,2016-03-05 14:24:10.681,,104
309634,309728,Accelerometer,,,,0.023,0.055,1.03,,,,,,,,,,0.08,,2016-03-05 14:24:10.681,,104
309635,309729,Accelerometer,,,,0.027,0.053,1.021,,,,,,,,,,0.12,,2016-03-05 14:24:10.682,,104
309636,309730,Accelerometer,,,,0.02,0.06,1.023,,,,,,,,,,0.16,,2016-03-05 14:24:10.682,,104
309637,309731,Accelerometer,,,,0.036,0.053,1.019,,,,,,,,,,0.2,,2016-03-05 14:24:10.683,,104
309638,309732,Accelerometer,,,,0.02,0.045,1.034,,,,,,,,,,0.24,,2016-03-05 14:24:10.683,,104
309639,309733,Accelerometer,,,,0.025,0.063,1.021,,,,,,,,,,0.28,,2016-03-05 14:24:10.683,,104
309640,309734,Accelerometer,,,,0.013,0.053,1.014,,,,,,,,,,0.32,,2016-03-05 14:24:10.684,,104
309641,309735,Accelerometer,,,,0.031,0.042,1.027,,,,,,,,,,0.36,,2016-03-05 14:24:10.685,,104
309642,309736,Accelerometer,,,,0.032,0.047,1.04,,,,,,,,,,0.4,,2016-03-05 14:24:10.685,,104
309643,309737,Accelerometer,,,,0.022,0.045,1.024,,,,,,,,,,0.44,,2016-03-05 14:24:10.686,,104
309644,309738,Accelerometer,,,,0.038,0.036,1.011,,,,,,,,,,0.48,,2016-03-05 14:24:10.686,,104
309645,309739,Accelerometer,,,,0.033,0.054,1.014,,,,,,,,,,0.52,,2016-03-05 14:24:10.686,,104
309646,309740,Accelerometer,,,,0.028,0.052,1.031,,,,,,,,,,0.56,,2016-03-05 14:24:10.687,,104
309647,309741,Accelerometer,,,,0.02,0.062,1.026,,,,,,,,,,0.6,,2016-03-05 14:24:10.687,,104
309648,309742,Accelerometer,,,,0.044,0.066,1.005,,,,,,,,,,0.64,,2016-03-05 14:24:10.687,,104
309649,309743,Accelerometer,,,,0.029,0.058,1.03,,,,,,,,,,0.68,,2016-03-05 14:24:10.688,,104
309650,309744,Accelerometer,,,,0.026,0.056,1.012,,,,,,,,,,0.72,,2016-03-05 14:24:10.688,,104
309651,309745,Accelerometer,,,,0.018,0.053,1.023,,,,,,,,,,0.76,,2016-03-05 14:24:10.688,,104
309652,309746,Accelerometer,,,,0.017,0.055,1.021,,,,,,,,,,0.8,,2016-03-05 14:24:10.689,,104
309653,309747,Accelerometer,,,,0.018,0.05,1.023,,,,,,,,,,0.84,,2016-03-05 14:24:10.689,,104
309654,309748,Accelerometer,,,,0.008,0.065,1.035,,,,,,,,,,0.88,,2016-03-05 14:24:10.689,,104
309655,309749,Accelerometer,,,,0.031,0.062,1.022,,,,,,,,,,0.92,,2016-03-05 14:24:10.690,,104
309656,309750,Accelerometer,,,,0.038,0.057,1.006,,,,,,,,,,0.96,,2016-03-05 14:24:10.690,,104
309657,309751,Accelerometer,,,,0.041,0.061,1.005,,,,,,,,,,1.0,,2016-03-05 14:24:10.694,,104
309658,309752,Accelerometer,,,,0.031,0.049,1.008,,,,,,,,,,1.04,,2016-03-05 14:24:10.694,,104
309659,309753,Accelerometer,,,,0.047,0.022,0.959,,,,,,,,,,1.08,,2016-03-05 14:24:10.695,,104
309660,309754,Accelerometer,,,,0.021,0.106,1.023,,,,,,,,,,1.12,,2016-03-05 14:24:10.695,,104
309661,309755,Accelerometer,,,,-0.044,0.187,1.101,,,,,,,,,,1.16,,2016-03-05 14:24:10.695,,104
309662,309756,Accelerometer,,,,-0.033,0.112,1.028,,,,,,,,,,1.2,,2016-03-05 14:24:10.696,,104
309663,309757,Accelerometer,,,,-0.035,0.091,0.991,,,,,,,,,,1.24,,2016-03-05 14:24:10.696,,104
309664,309758,Accelerometer,,,,-0.071,0.127,0.992,,,,,,,,,,1.28,,2016-03-05 14:24:10.696,,104
309665,309759,Accelerometer,,,,-0.077,0.121,0.992,,,,,,,,,,1.32,,2016-03-05 14:24:10.697,,104
309666,309760,Accelerometer,,,,-0.059,0.061,1.008,,,,,,,,,,1.36,,2016-03-05 14:24:10.697,,104
309667,309761,Accelerometer,,,,-0.116,0.258,1.011,,,,,,,,,,1.4,,2016-03-05 14:24:10.697,,104
309668,309762,Accelerometer,,,,-0.208,0.434,0.967,,,,,,,,,,1.44,,2016-03-05 14:24:10.698,,104
309669,309763,Accelerometer,,,,-0.272,0.368,0.863,,,,,,,,,,1.48,,2016-03-05 14:24:10.698,,104
309670,309764,Accelerometer,,,,-0.247,0.375,0.882,,,,,,,,,,1.52,,2016-03-05 14:24:10.698,,104
309671,309765,Accelerometer,,,,-0.302,0.42,0.907,,,,,,,,,,1.56,,2016-03-05 14:24:10.699,,104
309672,309766,Accelerometer,,,,-0.345,0.424,0.883,,,,,,,,,,1.6,,2016-03-05 14:24:10.699,,104
309673,309767,Accelerometer,,,,-0.36,0.421,0.797,,,,,,,,,,1.64,,2016-03-05 14:24:10.700,,104
309674,309768,Accelerometer,,,,-0.38,0.458,0.776,,,,,,,,,,1.68,,2016-03-05 14:24:10.700,,104
309675,309769,Accelerometer,,,,-0.444,0.502,0.813,,,,,,,,,,1.72,,2016-03-05 14:24:10.701,,104
309676,309770,Accelerometer,,,,-0.469,0.543,0.778,,,,,,,,,,1.76,,2016-03-05 14:24:10.701,,104
309677,309771,Accelerometer,,,,-0.557,0.474,0.792,,,,,,,,,,1.8,,2016-03-05 14:24:10.702,,104
309678,309772,Accelerometer,,,,-0.57,0.445,0.77,,,,,,,,,,1.84,,2016-03-05 14:24:10.702,,104
309679,309773,Accelerometer,,,,-0.638,0.556,0.703,,,,,,,,,,1.88,,2016-03-05 14:24:10.703,,104
309680,309774,Accelerometer,,,,-0.609,0.572,0.602,,,,,,,,,,1.92,,2016-03-05 14:24:10.703,,104
309681,309775,Accelerometer,,,,-0.479,0.597,0.547,,,,,,,,,,1.96,,2016-03-05 14:24:10.703,,104
309682,309776,Accelerometer,,,,-0.529,0.725,0.735,,,,,,,,,,2.0,,2016-03-05 14:24:10.704,,104
309683,309777,Accelerometer,,,,-0.292,0.629,0.687,,,,,,,,,,2.04,,2016-03-05 14:24:10.704,,104
309684,309778,Accelerometer,,,,-0.223,0.561,0.855,,,,,,,,,,2.08,,2016-03-05 14:24:10.704,,104
309685,309779,Accelerometer,,,,-0.175,0.442,0.807,,,,,,,,,,2.12,,2016-03-05 14:24:10.705,,104
309686,309780,Accelerometer,,,,-0.1,0.383,0.85,,,,,,,,,,2.16,,2016-03-05 14:24:10.705,,104
309687,309781,Accelerometer,,,,-0.208,0.388,0.99,,,,,,,,,,2.2,,2016-03-05 14:24:10.705,,104
309688,309782,Accelerometer,,,,-0.09,0.459,0.909,,,,,,,,,,2.24,,2016-03-05 14:24:10.706,,104
309689,309783,Accelerometer,,,,-0.098,0.356,0.949,,,,,,,,,,2.28,,2016-03-05 14:24:10.706,,104
309690,309784,Accelerometer,,,,-0.044,0.099,1.039,,,,,,,,,,2.32,,2016-03-05 14:24:10.706,,104
309691,309785,Accelerometer,,,,-0.069,0.06,1.016,,,,,,,,,,2.36,,2016-03-05 14:24:10.707,,104
309692,309786,Accelerometer,,,,-0.042,0.063,1.038,,,,,,,,,,2.4,,2016-03-05 14:24:10.707,,104
309693,309787,Accelerometer,,,,-0.005,0.104,0.985,,,,,,,,,,2.44,,2016-03-05 14:24:10.707,,104
309694,309788,Accelerometer,,,,0.001,0.154,0.991,,,,,,,,,,2.48,,2016-03-05 14:24:10.708,,104
309695,309789,Accelerometer,,,,-0.039,0.114,1.012,,,,,,,,,,2.52,,2016-03-05 14:24:10.708,,104
309696,309790,Accelerometer,,,,-0.041,-0.028,1.01,,,,,,,,,,2.56,,2016-03-05 14:24:10.708,,104
309697,309791,Accelerometer,,,,-0.043,-0.03,1.033,,,,,,,,,,2.6,,2016-03-05 14:24:10.709,,104
309698,309792,Accelerometer,,,,-0.048,-0.036,1.049,,,,,,,,,,2.64,,2016-03-05 14:24:10.709,,104
309699,309793,Accelerometer,,,,-0.061,-0.033,1.021,,,,,,,,,,2.68,,2016-03-05 14:24:10.710,,104
309700,309794,Accelerometer,,,,0.019,-0.217,0.98,,,,,,,,,,2.72,,2016-03-05 14:24:10.710,,104
309701,309795,Accelerometer,,,,0.04,-0.151,1.058,,,,,,,,,,2.76,,2016-03-05 14:24:10.711,,104
309702,309796,Accelerometer,,,,-0.01,-0.041,1.058,,,,,,,,,,2.8,,2016-03-05 14:24:10.711,,104
309703,309797,Accelerometer,,,,-0.011,-0.155,1.033,,,,,,,,,,2.84,,2016-03-05 14:24:10.711,,104
309704,309798,Accelerometer,,,,-0.062,-0.157,0.997,,,,,,,,,,2.88,,2016-03-05 14:24:10.712,,104
309705,309799,Accelerometer,,,,-0.05,-0.209,0.953,,,,,,,,,,2.92,,2016-03-05 14:24:10.712,,104
309706,309800,Accelerometer,,,,-0.129,-0.303,1.007,,,,,,,,,,2.96,,2016-03-05 14:24:10.712,,104
309707,309801,Accelerometer,,,,-0.263,-0.23,1.08,,,,,,,,,,3.0,,2016-03-05 14:24:10.713,,104
309708,309802,Accelerometer,,,,-0.16,-0.146,0.94,,,,,,,,,,3.04,,2016-03-05 14:24:10.713,,104
309709,309803,Accelerometer,,,,-0.22,-0.231,0.972,,,,,,,,,,3.08,,2016-03-05 14:24:10.713,,104
309710,309804,Accelerometer,,,,-0.222,-0.263,0.976,,,,,,,,,,3.12,,2016-03-05 14:24:10.714,,104
309711,309805,Accelerometer,,,,-0.145,-0.269,0.958,,,,,,,,,,3.16,,2016-03-05 14:24:10.714,,104
309712,309806,Accelerometer,,,,-0.151,-0.338,1.008,,,,,,,,,,3.2,,2016-03-05 14:24:10.714,,104
309713,309807,Accelerometer,,,,-0.089,-0.254,0.986,,,,,,,,,,3.24,,2016-03-05 14:24:10.715,,104
309714,309808,Accelerometer,,,,-0.076,-0.167,1.0,,,,,,,,,,3.28,,2016-03-05 14:24:10.715,,104
309715,309809,Accelerometer,,,,-0.117,-0.175,0.969,,,,,,,,,,3.32,,2016-03-05 14:24:10.715,,104
309716,309810,Accelerometer,,,,-0.104,-0.167,1.027,,,,,,,,,,3.36,,2016-03-05 14:24:10.716,,104
309717,309811,Accelerometer,,,,-0.147,-0.143,1.08,,,,,,,,,,3.4,,2016-03-05 14:24:10.716,,104
309718,309812,Accelerometer,,,,-0.137,-0.072,1.026,,,,,,,,,,3.44,,2016-03-05 14:24:10.716,,104
309719,309813,Accelerometer,,,,-0.11,-0.009,1.007,,,,,,,,,,3.48,,2016-03-05 14:24:10.717,,104
309720,309814,Accelerometer,,,,-0.116,0.015,1.0,,,,,,,,,,3.52,,2016-03-05 14:24:10.717,,104
309721,309815,Accelerometer,,,,-0.189,0.019,1.003,,,,,,,,,,3.56,,2016-03-05 14:24:10.717,,104
309722,309816,Accelerometer,,,,-0.234,0.034,1.022,,,,,,,,,,3.6,,2016-03-05 14:24:10.718,,104
309723,309817,Accelerometer,,,,-0.264,0.082,1.022,,,,,,,,,,3.64,,2016-03-05 14:24:10.718,,104
309724,309818,Accelerometer,,,,-0.32,0.125,1.014,,,,,,,,,,3.68,,2016-03-05 14:24:10.719,,104
309725,309819,Accelerometer,,,,-0.336,0.152,0.955,,,,,,,,,,3.72,,2016-03-05 14:24:10.719,,104
309726,309820,Accelerometer,,,,-0.318,0.161,0.887,,,,,,,,,,3.76,,2016-03-05 14:24:10.719,,104
309727,309821,Accelerometer,,,,-0.365,0.199,0.876,,,,,,,,,,3.8,,2016-03-05 14:24:10.720,,104
309728,309822,Accelerometer,,,,-0.441,0.247,0.893,,,,,,,,,,3.84,,2016-03-05 14:24:10.720,,104
309729,309823,Accelerometer,,,,-0.461,0.368,0.873,,,,,,,,,,3.88,,2016-03-05 14:24:10.720,,104
309730,309824,Accelerometer,,,,-0.458,0.373,0.866,,,,,,,,,,3.92,,2016-03-05 14:24:10.721,,104
309731,309825,Accelerometer,,,,-0.433,0.38,0.839,,,,,,,,,,3.96,,2016-03-05 14:24:10.721,,104
309732,309826,Accelerometer,,,,-0.443,0.392,0.802,,,,,,,,,,4.0,,2016-03-05 14:24:10.721,,104
309733,309827,Accelerometer,,,,-0.467,0.405,0.809,,,,,,,,,,4.04,,2016-03-05 14:24:10.722,,104
309734,309828,Accelerometer,,,,-0.473,0.403,0.803,,,,,,,,,,4.08,,2016-03-05 14:24:10.722,,104
309735,309829,Accelerometer,,,,-0.479,0.404,0.809,,,,,,,,,,4.12,,2016-03-05 14:24:10.722,,104
309736,309830,Accelerometer,,,,-0.458,0.387,0.808,,,,,,,,,,4.16,,2016-03-05 14:24:10.723,,104
309737,309831,Accelerometer,,,,-0.475,0.423,0.866,,,,,,,,,,4.2,,2016-03-05 14:24:10.723,,104
309738,309832,Accelerometer,,,,-0.42,0.4,0.827,,,,,,,,,,4.24,,2016-03-05 14:24:10.723,,104
309739,309833,Accelerometer,,,,-0.483,0.376,0.825,,,,,,,,,,4.28,,2016-03-05 14:24:10.724,,104
309740,309834,Accelerometer,,,,-0.473,0.384,0.82,,,,,,,,,,4.32,,2016-03-05 14:24:10.724,,104
309741,309835,Accelerometer,,,,-0.453,0.413,0.778,,,,,,,,,,4.36,,2016-03-05 14:24:10.725,,104
