,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
363888,365645,Accelerometer,,,,0.089,0.484,0.886,,,,,,,,,,0.0,,2016-03-12 13:45:43.156,,132
363889,365646,Accelerometer,,,,0.035,0.457,0.941,,,,,,,,,,0.04,,2016-03-12 13:45:43.157,,132
363890,365647,Accelerometer,,,,0.083,0.542,0.873,,,,,,,,,,0.08,,2016-03-12 13:45:43.157,,132
363891,365648,Accelerometer,,,,0.13,0.484,0.884,,,,,,,,,,0.12,,2016-03-12 13:45:43.158,,132
363892,365649,Accelerometer,,,,0.069,0.28,0.995,,,,,,,,,,0.16,,2016-03-12 13:45:43.159,,132
363893,365650,Accelerometer,,,,0.051,0.277,0.977,,,,,,,,,,0.2,,2016-03-12 13:45:43.159,,132
363894,365651,Accelerometer,,,,0.14,0.32,0.927,,,,,,,,,,0.24,,2016-03-12 13:45:43.160,,132
363895,365652,Accelerometer,,,,0.118,0.19,1.012,,,,,,,,,,0.28,,2016-03-12 13:45:43.160,,132
363896,365653,Accelerometer,,,,0.027,0.166,1.047,,,,,,,,,,0.32,,2016-03-12 13:45:43.160,,132
363897,365654,Accelerometer,,,,0.13,0.232,0.964,,,,,,,,,,0.36,,2016-03-12 13:45:43.161,,132
363898,365655,Accelerometer,,,,0.133,0.106,0.998,,,,,,,,,,0.4,,2016-03-12 13:45:43.161,,132
363899,365656,Accelerometer,,,,0.133,0.015,1.011,,,,,,,,,,0.44,,2016-03-12 13:45:43.162,,132
363900,365657,Accelerometer,,,,0.114,0.051,1.042,,,,,,,,,,0.48,,2016-03-12 13:45:43.162,,132
363901,365658,Accelerometer,,,,0.132,-0.012,1.046,,,,,,,,,,0.52,,2016-03-12 13:45:43.163,,132
363902,365659,Accelerometer,,,,-0.002,-0.105,0.964,,,,,,,,,,0.56,,2016-03-12 13:45:43.163,,132
363903,365660,Accelerometer,,,,-0.034,0.017,1.067,,,,,,,,,,0.6,,2016-03-12 13:45:43.163,,132
363904,365661,Accelerometer,,,,-0.167,-0.019,1.049,,,,,,,,,,0.64,,2016-03-12 13:45:43.164,,132
363905,365662,Accelerometer,,,,-0.185,-0.116,0.978,,,,,,,,,,0.68,,2016-03-12 13:45:43.164,,132
363906,365663,Accelerometer,,,,-0.274,-0.155,1.035,,,,,,,,,,0.72,,2016-03-12 13:45:43.164,,132
363907,365664,Accelerometer,,,,-0.253,-0.069,1.025,,,,,,,,,,0.76,,2016-03-12 13:45:43.164,,132
363908,365665,Accelerometer,,,,-0.251,-0.21,1.01,,,,,,,,,,0.8,,2016-03-12 13:45:43.164,,132
363909,365666,Accelerometer,,,,-0.229,-0.249,1.054,,,,,,,,,,0.84,,2016-03-12 13:45:43.165,,132
363910,365667,Accelerometer,,,,-0.148,-0.182,0.963,,,,,,,,,,0.88,,2016-03-12 13:45:43.165,,132
363911,365668,Accelerometer,,,,-0.122,-0.219,0.994,,,,,,,,,,0.92,,2016-03-12 13:45:43.165,,132
363912,365669,Accelerometer,,,,-0.033,-0.185,1.015,,,,,,,,,,0.96,,2016-03-12 13:45:43.165,,132
363913,365670,Accelerometer,,,,-0.063,-0.148,1.047,,,,,,,,,,1.0,,2016-03-12 13:45:43.166,,132
363914,365671,Accelerometer,,,,-0.166,-0.134,1.033,,,,,,,,,,1.04,,2016-03-12 13:45:43.166,,132
363915,365672,Accelerometer,,,,-0.128,-0.073,1.079,,,,,,,,,,1.08,,2016-03-12 13:45:43.166,,132
363916,365673,Accelerometer,,,,0.021,0.288,0.972,,,,,,,,,,1.12,,2016-03-12 13:45:43.166,,132
363917,365674,Accelerometer,,,,0.095,0.097,1.017,,,,,,,,,,1.16,,2016-03-12 13:45:43.166,,132
