,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
513863,516453,Accelerometer,,,,-0.358,0.636,0.721,,,,,,,,,,0.0,,2016-03-26 13:33:12.669,,205
513864,516454,Accelerometer,,,,-0.071,-0.115,-1.28,,,,,,,,,,0.04,,2016-03-26 13:33:12.670,,205
513865,516455,Accelerometer,,,,0.333,0.322,-0.766,,,,,,,,,,0.08,,2016-03-26 13:33:12.670,,205
513866,516456,Accelerometer,,,,0.015,-0.092,-0.526,,,,,,,,,,0.12,,2016-03-26 13:33:12.671,,205
513867,516457,Accelerometer,,,,-0.179,-0.199,-0.809,,,,,,,,,,0.16,,2016-03-26 13:33:12.671,,205
513868,516458,Accelerometer,,,,-0.01,-0.193,-1.108,,,,,,,,,,0.2,,2016-03-26 13:33:12.671,,205
513869,516459,Accelerometer,,,,0.054,-0.19,-1.247,,,,,,,,,,0.24,,2016-03-26 13:33:12.672,,205
513870,516460,Accelerometer,,,,-0.081,-0.42,-1.198,,,,,,,,,,0.28,,2016-03-26 13:33:12.672,,205
513871,516461,Accelerometer,,,,-0.299,-0.408,-1.229,,,,,,,,,,0.32,,2016-03-26 13:33:12.672,,205
513872,516462,Accelerometer,,,,-0.36,-0.201,-0.894,,,,,,,,,,0.36,,2016-03-26 13:33:12.673,,205
513873,516463,Accelerometer,,,,-0.211,-0.048,-0.57,,,,,,,,,,0.4,,2016-03-26 13:33:12.673,,205
513874,516464,Accelerometer,,,,-0.288,-0.029,-0.955,,,,,,,,,,0.44,,2016-03-26 13:33:12.674,,205
513875,516465,Accelerometer,,,,-0.383,-0.008,-0.971,,,,,,,,,,0.48,,2016-03-26 13:33:12.674,,205
513876,516466,Accelerometer,,,,-0.406,-0.162,-0.805,,,,,,,,,,0.52,,2016-03-26 13:33:12.674,,205
513877,516467,Accelerometer,,,,-0.349,-0.013,-1.037,,,,,,,,,,0.56,,2016-03-26 13:33:12.675,,205
513878,516468,Accelerometer,,,,-0.527,0.065,-1.104,,,,,,,,,,0.6,,2016-03-26 13:33:12.675,,205
513879,516469,Accelerometer,,,,-0.564,0.061,-0.85,,,,,,,,,,0.64,,2016-03-26 13:33:12.675,,205
513880,516470,Accelerometer,,,,-0.636,0.075,-0.802,,,,,,,,,,0.68,,2016-03-26 13:33:12.681,,205
513881,516471,Accelerometer,,,,-0.613,0.103,-0.805,,,,,,,,,,0.72,,2016-03-26 13:33:12.681,,205
513882,516472,Accelerometer,,,,-0.271,0.368,-0.947,,,,,,,,,,0.76,,2016-03-26 13:33:12.681,,205
513883,516473,Accelerometer,,,,-0.521,0.277,-0.853,,,,,,,,,,0.8,,2016-03-26 13:33:12.682,,205
513884,516474,Accelerometer,,,,-0.545,0.287,-0.898,,,,,,,,,,0.84,,2016-03-26 13:33:12.682,,205
513885,516475,Accelerometer,,,,-0.421,0.125,-0.978,,,,,,,,,,0.88,,2016-03-26 13:33:12.682,,205
513886,516476,Accelerometer,,,,-0.408,-0.005,-0.533,,,,,,,,,,0.92,,2016-03-26 13:33:12.683,,205
513887,516477,Accelerometer,,,,-0.304,-0.068,-0.863,,,,,,,,,,0.96,,2016-03-26 13:33:12.683,,205
513888,516478,Accelerometer,,,,-0.398,-0.079,-1.206,,,,,,,,,,1.0,,2016-03-26 13:33:12.683,,205
513889,516479,Accelerometer,,,,-0.368,-0.035,-1.088,,,,,,,,,,1.04,,2016-03-26 13:33:12.684,,205
513890,516480,Accelerometer,,,,-0.234,0.004,-0.95,,,,,,,,,,1.08,,2016-03-26 13:33:12.684,,205
513891,516481,Accelerometer,,,,-0.207,0.2,-0.881,,,,,,,,,,1.12,,2016-03-26 13:33:12.684,,205
513892,516482,Accelerometer,,,,-0.323,-0.155,-0.934,,,,,,,,,,1.16,,2016-03-26 13:33:12.685,,205
513893,516483,Accelerometer,,,,-0.2,-0.258,-1.111,,,,,,,,,,1.2,,2016-03-26 13:33:12.685,,205
513894,516484,Accelerometer,,,,-0.251,-0.028,-0.914,,,,,,,,,,1.24,,2016-03-26 13:33:12.685,,205
513895,516485,Accelerometer,,,,-0.115,-0.054,-0.885,,,,,,,,,,1.28,,2016-03-26 13:33:12.686,,205
513896,516486,Accelerometer,,,,-0.229,0.397,-1.134,,,,,,,,,,1.32,,2016-03-26 13:33:12.686,,205
