,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
481966,483723,Accelerometer,,,,-0.961,-0.169,0.309,,,,,,,,,,0.0,,2016-03-15 21:41:45.526,,159
481967,483724,Accelerometer,,,,-0.963,-0.169,0.301,,,,,,,,,,0.04,,2016-03-15 21:41:45.526,,159
481968,483725,Accelerometer,,,,-0.963,-0.171,0.32,,,,,,,,,,0.08,,2016-03-15 21:41:45.526,,159
481969,483726,Accelerometer,,,,-0.966,-0.169,0.308,,,,,,,,,,0.12,,2016-03-15 21:41:45.527,,159
481970,483727,Accelerometer,,,,-0.968,-0.167,0.306,,,,,,,,,,0.16,,2016-03-15 21:41:45.527,,159
481971,483728,Accelerometer,,,,-0.966,-0.16,0.316,,,,,,,,,,0.2,,2016-03-15 21:41:45.527,,159
481972,483729,Accelerometer,,,,-0.964,-0.166,0.317,,,,,,,,,,0.24,,2016-03-15 21:41:45.527,,159
481973,483730,Accelerometer,,,,-0.965,-0.17,0.31,,,,,,,,,,0.28,,2016-03-15 21:41:45.527,,159
481974,483731,Accelerometer,,,,-0.964,-0.163,0.32,,,,,,,,,,0.32,,2016-03-15 21:41:45.528,,159
481975,483732,Accelerometer,,,,-0.967,-0.146,0.327,,,,,,,,,,0.36,,2016-03-15 21:41:45.528,,159
481976,483733,Accelerometer,,,,-0.96,-0.148,0.33,,,,,,,,,,0.4,,2016-03-15 21:41:45.528,,159
481977,483734,Accelerometer,,,,-0.963,-0.148,0.336,,,,,,,,,,0.44,,2016-03-15 21:41:45.528,,159
481978,483735,Accelerometer,,,,-0.965,-0.151,0.34,,,,,,,,,,0.48,,2016-03-15 21:41:45.528,,159
481979,483736,Accelerometer,,,,-0.963,-0.145,0.34,,,,,,,,,,0.52,,2016-03-15 21:41:45.529,,159
481980,483737,Accelerometer,,,,-0.955,-0.136,0.342,,,,,,,,,,0.56,,2016-03-15 21:41:45.529,,159
481981,483738,Accelerometer,,,,-0.956,-0.128,0.348,,,,,,,,,,0.6,,2016-03-15 21:41:45.529,,159
481982,483739,Accelerometer,,,,-0.958,-0.127,0.343,,,,,,,,,,0.64,,2016-03-15 21:41:45.529,,159
481983,483740,Accelerometer,,,,-0.955,-0.11,0.352,,,,,,,,,,0.68,,2016-03-15 21:41:45.529,,159
481984,483741,Accelerometer,,,,-0.962,-0.099,0.353,,,,,,,,,,0.72,,2016-03-15 21:41:45.530,,159
481985,483742,Accelerometer,,,,-0.948,-0.154,0.368,,,,,,,,,,0.76,,2016-03-15 21:41:45.530,,159
481986,483743,Accelerometer,,,,-0.953,-0.165,0.388,,,,,,,,,,0.8,,2016-03-15 21:41:45.530,,159
481987,483744,Accelerometer,,,,-0.957,-0.13,0.356,,,,,,,,,,0.84,,2016-03-15 21:41:45.530,,159
481988,483745,Accelerometer,,,,-0.937,-0.126,0.366,,,,,,,,,,0.88,,2016-03-15 21:41:45.531,,159
481989,483746,Accelerometer,,,,-0.94,-0.117,0.385,,,,,,,,,,0.92,,2016-03-15 21:41:45.531,,159
481990,483747,Accelerometer,,,,-0.948,-0.113,0.389,,,,,,,,,,0.96,,2016-03-15 21:41:45.531,,159
481991,483748,Accelerometer,,,,-0.948,-0.107,0.38,,,,,,,,,,1.0,,2016-03-15 21:41:45.531,,159
481992,483749,Accelerometer,,,,-0.941,-0.12,0.385,,,,,,,,,,1.04,,2016-03-15 21:41:45.531,,159
481993,483750,Accelerometer,,,,-0.943,-0.114,0.379,,,,,,,,,,1.08,,2016-03-15 21:41:45.532,,159
481994,483751,Accelerometer,,,,-0.944,-0.083,0.381,,,,,,,,,,1.12,,2016-03-15 21:41:45.532,,159
481995,483752,Accelerometer,,,,-0.943,-0.089,0.382,,,,,,,,,,1.16,,2016-03-15 21:41:45.532,,159
481996,483753,Accelerometer,,,,-0.953,-0.103,0.386,,,,,,,,,,1.2,,2016-03-15 21:41:45.532,,159
481997,483754,Accelerometer,,,,-0.945,-0.122,0.365,,,,,,,,,,1.24,,2016-03-15 21:41:45.532,,159
481998,483755,Accelerometer,,,,-0.946,-0.142,0.375,,,,,,,,,,1.28,,2016-03-15 21:41:45.533,,159
481999,483756,Accelerometer,,,,-0.949,-0.114,0.362,,,,,,,,,,1.32,,2016-03-15 21:41:45.533,,159
482000,483757,Accelerometer,,,,-0.934,-0.085,0.339,,,,,,,,,,1.36,,2016-03-15 21:41:45.533,,159
482001,483758,Accelerometer,,,,-0.962,-0.094,0.376,,,,,,,,,,1.4,,2016-03-15 21:41:45.533,,159
482002,483759,Accelerometer,,,,-0.972,-0.115,0.314,,,,,,,,,,1.44,,2016-03-15 21:41:45.533,,159
482003,483760,Accelerometer,,,,-0.962,-0.13,0.309,,,,,,,,,,1.48,,2016-03-15 21:41:45.534,,159
482004,483761,Accelerometer,,,,-0.967,-0.141,0.315,,,,,,,,,,1.52,,2016-03-15 21:41:45.535,,159
482005,483762,Accelerometer,,,,-0.971,-0.135,0.295,,,,,,,,,,1.56,,2016-03-15 21:41:45.536,,159
482006,483763,Accelerometer,,,,-0.983,-0.126,0.316,,,,,,,,,,1.6,,2016-03-15 21:41:45.536,,159
482007,483764,Accelerometer,,,,-0.976,-0.127,0.301,,,,,,,,,,1.64,,2016-03-15 21:41:45.536,,159
482008,483765,Accelerometer,,,,-0.962,-0.129,0.29,,,,,,,,,,1.68,,2016-03-15 21:41:45.536,,159
482009,483766,Accelerometer,,,,-0.972,-0.156,0.291,,,,,,,,,,1.72,,2016-03-15 21:41:45.536,,159
482010,483767,Accelerometer,,,,-0.973,-0.171,0.296,,,,,,,,,,1.76,,2016-03-15 21:41:45.537,,159
482011,483768,Accelerometer,,,,-0.966,-0.172,0.291,,,,,,,,,,1.8,,2016-03-15 21:41:45.537,,159
482012,483769,Accelerometer,,,,-0.982,-0.14,0.283,,,,,,,,,,1.84,,2016-03-15 21:41:45.537,,159
482013,483770,Accelerometer,,,,-0.976,-0.138,0.283,,,,,,,,,,1.88,,2016-03-15 21:41:45.537,,159
482014,483771,Accelerometer,,,,-0.964,-0.145,0.296,,,,,,,,,,1.92,,2016-03-15 21:41:45.538,,159
482015,483772,Accelerometer,,,,-0.968,-0.171,0.296,,,,,,,,,,1.96,,2016-03-15 21:41:45.538,,159
482016,483773,Accelerometer,,,,-0.964,-0.173,0.273,,,,,,,,,,2.0,,2016-03-15 21:41:45.538,,159
482017,483774,Accelerometer,,,,-0.954,-0.167,0.267,,,,,,,,,,2.04,,2016-03-15 21:41:45.538,,159
482018,483775,Accelerometer,,,,-0.986,-0.18,0.25,,,,,,,,,,2.08,,2016-03-15 21:41:45.538,,159
