,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
420323,422080,Accelerometer,,,,-0.993,-0.208,0.032,,,,,,,,,,0.0,,2016-03-15 20:27:35.237,,141
420324,422081,Accelerometer,,,,-1.001,-0.206,0.028,,,,,,,,,,0.04,,2016-03-15 20:27:35.238,,141
420325,422082,Accelerometer,,,,-1.005,-0.205,0.042,,,,,,,,,,0.08,,2016-03-15 20:27:35.238,,141
420326,422083,Accelerometer,,,,-1.005,-0.204,0.042,,,,,,,,,,0.12,,2016-03-15 20:27:35.238,,141
420327,422084,Accelerometer,,,,-1.003,-0.201,0.04,,,,,,,,,,0.16,,2016-03-15 20:27:35.239,,141
420328,422085,Accelerometer,,,,-1.005,-0.204,0.039,,,,,,,,,,0.2,,2016-03-15 20:27:35.239,,141
420329,422086,Accelerometer,,,,-1.004,-0.205,0.04,,,,,,,,,,0.24,,2016-03-15 20:27:35.239,,141
420330,422087,Accelerometer,,,,-1.003,-0.206,0.045,,,,,,,,,,0.28,,2016-03-15 20:27:35.239,,141
420331,422088,Accelerometer,,,,-0.998,-0.212,0.046,,,,,,,,,,0.32,,2016-03-15 20:27:35.239,,141
420332,422089,Accelerometer,,,,-0.991,-0.201,0.042,,,,,,,,,,0.36,,2016-03-15 20:27:35.240,,141
420333,422090,Accelerometer,,,,-1.005,-0.215,0.029,,,,,,,,,,0.4,,2016-03-15 20:27:35.240,,141
420334,422091,Accelerometer,,,,-1.061,-0.237,0.063,,,,,,,,,,0.44,,2016-03-15 20:27:35.240,,141
420335,422092,Accelerometer,,,,-1.113,-0.246,0.112,,,,,,,,,,0.48,,2016-03-15 20:27:35.241,,141
420336,422093,Accelerometer,,,,-1.009,-0.217,0.158,,,,,,,,,,0.52,,2016-03-15 20:27:35.241,,141
420337,422094,Accelerometer,,,,-0.932,-0.202,0.118,,,,,,,,,,0.56,,2016-03-15 20:27:35.241,,141
420338,422095,Accelerometer,,,,-0.988,-0.211,0.056,,,,,,,,,,0.6,,2016-03-15 20:27:35.242,,141
420339,422096,Accelerometer,,,,-1.062,-0.229,0.034,,,,,,,,,,0.64,,2016-03-15 20:27:35.242,,141
420340,422097,Accelerometer,,,,-1.146,-0.232,0.102,,,,,,,,,,0.68,,2016-03-15 20:27:35.242,,141
420341,422098,Accelerometer,,,,-1.135,-0.188,0.229,,,,,,,,,,0.72,,2016-03-15 20:27:35.243,,141
420342,422099,Accelerometer,,,,-1.057,-0.192,0.357,,,,,,,,,,0.76,,2016-03-15 20:27:35.243,,141
420343,422100,Accelerometer,,,,-0.966,-0.2,0.302,,,,,,,,,,0.8,,2016-03-15 20:27:35.243,,141
420344,422101,Accelerometer,,,,-0.85,-0.254,0.086,,,,,,,,,,0.84,,2016-03-15 20:27:35.244,,141
420345,422102,Accelerometer,,,,-0.858,-0.243,-0.099,,,,,,,,,,0.88,,2016-03-15 20:27:35.244,,141
420346,422103,Accelerometer,,,,-0.56,0.053,-0.134,,,,,,,,,,0.92,,2016-03-15 20:27:35.244,,141
420347,422104,Accelerometer,,,,-0.746,0.0,-0.217,,,,,,,,,,0.96,,2016-03-15 20:27:35.245,,141
420348,422105,Accelerometer,,,,-0.871,-0.071,-0.27,,,,,,,,,,1.0,,2016-03-15 20:27:35.245,,141
420349,422106,Accelerometer,,,,-0.943,-0.119,-0.095,,,,,,,,,,1.04,,2016-03-15 20:27:35.245,,141
420350,422107,Accelerometer,,,,-1.03,-0.242,0.039,,,,,,,,,,1.08,,2016-03-15 20:27:35.246,,141
420351,422108,Accelerometer,,,,-1.228,-0.585,0.057,,,,,,,,,,1.12,,2016-03-15 20:27:35.246,,141
420352,422109,Accelerometer,,,,-1.256,-0.457,0.176,,,,,,,,,,1.16,,2016-03-15 20:27:35.246,,141
420353,422110,Accelerometer,,,,-1.078,-0.589,-0.064,,,,,,,,,,1.2,,2016-03-15 20:27:35.249,,141
420354,422111,Accelerometer,,,,-1.102,-0.678,-0.083,,,,,,,,,,1.24,,2016-03-15 20:27:35.249,,141
420355,422112,Accelerometer,,,,-1.027,-0.569,-0.107,,,,,,,,,,1.28,,2016-03-15 20:27:35.250,,141
420356,422113,Accelerometer,,,,-0.952,-0.47,-0.055,,,,,,,,,,1.32,,2016-03-15 20:27:35.250,,141
420357,422114,Accelerometer,,,,-0.896,-0.374,-0.176,,,,,,,,,,1.36,,2016-03-15 20:27:35.251,,141
420358,422115,Accelerometer,,,,-0.864,-0.272,-0.176,,,,,,,,,,1.4,,2016-03-15 20:27:35.251,,141
420359,422116,Accelerometer,,,,-0.867,-0.28,-0.141,,,,,,,,,,1.44,,2016-03-15 20:27:35.251,,141
420360,422117,Accelerometer,,,,-0.866,-0.309,-0.184,,,,,,,,,,1.48,,2016-03-15 20:27:35.252,,141
420361,422118,Accelerometer,,,,-0.822,-0.275,-0.16,,,,,,,,,,1.52,,2016-03-15 20:27:35.252,,141
420362,422119,Accelerometer,,,,-0.733,-0.224,-0.24,,,,,,,,,,1.56,,2016-03-15 20:27:35.252,,141
420363,422120,Accelerometer,,,,-0.866,-0.145,-0.371,,,,,,,,,,1.6,,2016-03-15 20:27:35.253,,141
420364,422121,Accelerometer,,,,-1.039,0.066,-0.344,,,,,,,,,,1.64,,2016-03-15 20:27:35.253,,141
420365,422122,Accelerometer,,,,-1.215,0.06,-0.147,,,,,,,,,,1.68,,2016-03-15 20:27:35.253,,141
420366,422123,Accelerometer,,,,-1.141,0.21,-0.27,,,,,,,,,,1.72,,2016-03-15 20:27:35.254,,141
420367,422124,Accelerometer,,,,-1.188,0.315,-0.223,,,,,,,,,,1.76,,2016-03-15 20:27:35.254,,141
420368,422125,Accelerometer,,,,-1.245,0.143,-0.179,,,,,,,,,,1.8,,2016-03-15 20:27:35.255,,141
420369,422126,Accelerometer,,,,-1.178,0.094,-0.187,,,,,,,,,,1.84,,2016-03-15 20:27:35.255,,141
420370,422127,Accelerometer,,,,-1.02,0.088,-0.207,,,,,,,,,,1.88,,2016-03-15 20:27:35.255,,141
420371,422128,Accelerometer,,,,-0.874,0.208,-0.218,,,,,,,,,,1.92,,2016-03-15 20:27:35.255,,141
420372,422129,Accelerometer,,,,-0.819,0.267,-0.157,,,,,,,,,,1.96,,2016-03-15 20:27:35.256,,141
420373,422130,Accelerometer,,,,-0.72,0.224,-0.194,,,,,,,,,,2.0,,2016-03-15 20:27:35.256,,141
420374,422131,Accelerometer,,,,-0.649,0.22,-0.229,,,,,,,,,,2.04,,2016-03-15 20:27:35.256,,141
420375,422132,Accelerometer,,,,-0.634,0.172,-0.293,,,,,,,,,,2.08,,2016-03-15 20:27:35.257,,141
420376,422133,Accelerometer,,,,-0.877,0.131,-0.308,,,,,,,,,,2.12,,2016-03-15 20:27:35.258,,141
420377,422134,Accelerometer,,,,-1.31,0.24,-0.198,,,,,,,,,,2.16,,2016-03-15 20:27:35.259,,141
420378,422135,Accelerometer,,,,-1.615,0.24,0.024,,,,,,,,,,2.2,,2016-03-15 20:27:35.259,,141
420379,422136,Accelerometer,,,,-1.308,0.181,0.077,,,,,,,,,,2.24,,2016-03-15 20:27:35.260,,141
420380,422137,Accelerometer,,,,-1.04,0.119,0.19,,,,,,,,,,2.28,,2016-03-15 20:27:35.260,,141
420381,422138,Accelerometer,,,,-1.038,0.067,0.204,,,,,,,,,,2.32,,2016-03-15 20:27:35.261,,141
420382,422139,Accelerometer,,,,-1.021,-0.064,0.185,,,,,,,,,,2.36,,2016-03-15 20:27:35.261,,141
420383,422140,Accelerometer,,,,-1.042,-0.138,0.234,,,,,,,,,,2.4,,2016-03-15 20:27:35.261,,141
420384,422141,Accelerometer,,,,-1.047,-0.222,0.139,,,,,,,,,,2.44,,2016-03-15 20:27:35.262,,141
420385,422142,Accelerometer,,,,-1.046,-0.253,0.194,,,,,,,,,,2.48,,2016-03-15 20:27:35.262,,141
420386,422143,Accelerometer,,,,-0.917,-0.276,0.25,,,,,,,,,,2.52,,2016-03-15 20:27:35.263,,141
420387,422144,Accelerometer,,,,-0.702,-0.291,0.207,,,,,,,,,,2.56,,2016-03-15 20:27:35.263,,141
420388,422145,Accelerometer,,,,-0.728,-0.332,0.159,,,,,,,,,,2.6,,2016-03-15 20:27:35.263,,141
420389,422146,Accelerometer,,,,-0.686,-0.343,0.06,,,,,,,,,,2.64,,2016-03-15 20:27:35.264,,141
420390,422147,Accelerometer,,,,-0.577,-0.294,-0.044,,,,,,,,,,2.68,,2016-03-15 20:27:35.264,,141
420391,422148,Accelerometer,,,,-0.906,-0.481,0.021,,,,,,,,,,2.72,,2016-03-15 20:27:35.264,,141
420392,422149,Accelerometer,,,,-1.268,-0.681,0.21,,,,,,,,,,2.76,,2016-03-15 20:27:35.265,,141
420393,422150,Accelerometer,,,,-1.132,-0.637,0.182,,,,,,,,,,2.8,,2016-03-15 20:27:35.265,,141
420394,422151,Accelerometer,,,,-0.882,-0.498,0.126,,,,,,,,,,2.84,,2016-03-15 20:27:35.265,,141
420395,422152,Accelerometer,,,,-0.965,-0.46,0.126,,,,,,,,,,2.88,,2016-03-15 20:27:35.266,,141
420396,422153,Accelerometer,,,,-0.921,-0.451,0.072,,,,,,,,,,2.92,,2016-03-15 20:27:35.266,,141
420397,422154,Accelerometer,,,,-0.92,-0.372,0.105,,,,,,,,,,2.96,,2016-03-15 20:27:35.266,,141
420398,422155,Accelerometer,,,,-0.946,-0.25,0.12,,,,,,,,,,3.0,,2016-03-15 20:27:35.267,,141
420399,422156,Accelerometer,,,,-0.961,-0.35,0.265,,,,,,,,,,3.04,,2016-03-15 20:27:35.267,,141
420400,422157,Accelerometer,,,,-0.969,-0.509,0.32,,,,,,,,,,3.08,,2016-03-15 20:27:35.267,,141
420401,422158,Accelerometer,,,,-1.015,-0.419,0.35,,,,,,,,,,3.12,,2016-03-15 20:27:35.268,,141
420402,422159,Accelerometer,,,,-1.032,-0.356,0.25,,,,,,,,,,3.16,,2016-03-15 20:27:35.268,,141
420403,422160,Accelerometer,,,,-0.969,-0.322,0.188,,,,,,,,,,3.2,,2016-03-15 20:27:35.268,,141
420404,422161,Accelerometer,,,,-0.856,-0.294,0.166,,,,,,,,,,3.24,,2016-03-15 20:27:35.269,,141
