,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
201739,201833,Accelerometer,,,,-0.847,-0.267,0.389,,,,,,,,,,0.0,,2016-03-05 11:51:42.352,,92
201740,201834,Accelerometer,,,,-0.914,-0.397,0.219,,,,,,,,,,0.04,,2016-03-05 11:51:42.352,,92
201741,201835,Accelerometer,,,,-0.904,-0.386,0.214,,,,,,,,,,0.08,,2016-03-05 11:51:42.352,,92
201742,201836,Accelerometer,,,,-0.895,-0.391,0.255,,,,,,,,,,0.12,,2016-03-05 11:51:42.353,,92
201743,201837,Accelerometer,,,,-0.919,-0.399,0.232,,,,,,,,,,0.16,,2016-03-05 11:51:42.353,,92
201744,201838,Accelerometer,,,,-0.907,-0.389,0.223,,,,,,,,,,0.2,,2016-03-05 11:51:42.353,,92
201745,201839,Accelerometer,,,,-0.895,-0.38,0.232,,,,,,,,,,0.24,,2016-03-05 11:51:42.353,,92
201746,201840,Accelerometer,,,,-0.896,-0.377,0.205,,,,,,,,,,0.28,,2016-03-05 11:51:42.353,,92
201747,201841,Accelerometer,,,,-0.906,-0.381,0.217,,,,,,,,,,0.32,,2016-03-05 11:51:42.354,,92
201748,201842,Accelerometer,,,,-0.907,-0.378,0.216,,,,,,,,,,0.36,,2016-03-05 11:51:42.354,,92
201749,201843,Accelerometer,,,,-0.908,-0.364,0.198,,,,,,,,,,0.4,,2016-03-05 11:51:42.354,,92
201750,201844,Accelerometer,,,,-0.921,-0.369,0.186,,,,,,,,,,0.44,,2016-03-05 11:51:42.354,,92
201751,201845,Accelerometer,,,,-0.921,-0.372,0.178,,,,,,,,,,0.48,,2016-03-05 11:51:42.354,,92
201752,201846,Accelerometer,,,,-0.928,-0.374,0.163,,,,,,,,,,0.52,,2016-03-05 11:51:42.357,,92
201753,201847,Accelerometer,,,,-0.936,-0.364,0.138,,,,,,,,,,0.56,,2016-03-05 11:51:42.358,,92
201754,201848,Accelerometer,,,,-0.936,-0.368,0.116,,,,,,,,,,0.6,,2016-03-05 11:51:42.358,,92
201755,201849,Accelerometer,,,,-0.943,-0.375,0.023,,,,,,,,,,0.64,,2016-03-05 11:51:42.358,,92
201756,201850,Accelerometer,,,,-0.909,-0.371,0.044,,,,,,,,,,0.68,,2016-03-05 11:51:42.358,,92
201757,201851,Accelerometer,,,,-0.897,-0.356,0.01,,,,,,,,,,0.72,,2016-03-05 11:51:42.358,,92
201758,201852,Accelerometer,,,,-0.913,-0.369,-0.041,,,,,,,,,,0.76,,2016-03-05 11:51:42.359,,92
201759,201853,Accelerometer,,,,-0.921,-0.401,-0.09,,,,,,,,,,0.8,,2016-03-05 11:51:42.359,,92
201760,201854,Accelerometer,,,,-0.899,-0.502,-0.171,,,,,,,,,,0.84,,2016-03-05 11:51:42.359,,92
201761,201855,Accelerometer,,,,-0.922,-0.484,-0.156,,,,,,,,,,0.88,,2016-03-05 11:51:42.359,,92
201762,201856,Accelerometer,,,,-0.911,-0.532,-0.19,,,,,,,,,,0.92,,2016-03-05 11:51:42.360,,92
201763,201857,Accelerometer,,,,-0.902,-0.488,-0.242,,,,,,,,,,0.96,,2016-03-05 11:51:42.360,,92
201764,201858,Accelerometer,,,,-0.867,-0.439,-0.299,,,,,,,,,,1.0,,2016-03-05 11:51:42.360,,92
201765,201859,Accelerometer,,,,-0.852,-0.446,-0.337,,,,,,,,,,1.04,,2016-03-05 11:51:42.360,,92
201766,201860,Accelerometer,,,,-0.792,-0.511,-0.318,,,,,,,,,,1.08,,2016-03-05 11:51:42.361,,92
201767,201861,Accelerometer,,,,-0.77,-0.56,-0.324,,,,,,,,,,1.12,,2016-03-05 11:51:42.361,,92
201768,201862,Accelerometer,,,,-0.797,-0.51,-0.346,,,,,,,,,,1.16,,2016-03-05 11:51:42.361,,92
201769,201863,Accelerometer,,,,-0.769,-0.522,-0.401,,,,,,,,,,1.2,,2016-03-05 11:51:42.361,,92
201770,201864,Accelerometer,,,,-0.761,-0.591,-0.396,,,,,,,,,,1.24,,2016-03-05 11:51:42.361,,92
201771,201865,Accelerometer,,,,-0.728,-0.624,-0.409,,,,,,,,,,1.28,,2016-03-05 11:51:42.362,,92
201772,201866,Accelerometer,,,,-0.736,-0.605,-0.416,,,,,,,,,,1.32,,2016-03-05 11:51:42.362,,92
201773,201867,Accelerometer,,,,-0.749,-0.615,-0.401,,,,,,,,,,1.36,,2016-03-05 11:51:42.362,,92
201774,201868,Accelerometer,,,,-0.722,-0.629,-0.428,,,,,,,,,,1.4,,2016-03-05 11:51:42.362,,92
201775,201869,Accelerometer,,,,-0.732,-0.654,-0.413,,,,,,,,,,1.44,,2016-03-05 11:51:42.363,,92
201776,201870,Accelerometer,,,,-0.738,-0.632,-0.41,,,,,,,,,,1.48,,2016-03-05 11:51:42.363,,92
201777,201871,Accelerometer,,,,-0.725,-0.633,-0.393,,,,,,,,,,1.52,,2016-03-05 11:51:42.363,,92
201778,201872,Accelerometer,,,,-0.713,-0.662,-0.405,,,,,,,,,,1.56,,2016-03-05 11:51:42.363,,92
201779,201873,Accelerometer,,,,-0.733,-0.601,-0.352,,,,,,,,,,1.6,,2016-03-05 11:51:42.363,,92
201780,201874,Accelerometer,,,,-0.703,-0.611,-0.37,,,,,,,,,,1.64,,2016-03-05 11:51:42.364,,92
201781,201875,Accelerometer,,,,-0.692,-0.655,-0.341,,,,,,,,,,1.68,,2016-03-05 11:51:42.364,,92
201782,201876,Accelerometer,,,,-0.76,-0.628,-0.318,,,,,,,,,,1.72,,2016-03-05 11:51:42.364,,92
201783,201877,Accelerometer,,,,-0.734,-0.643,-0.302,,,,,,,,,,1.76,,2016-03-05 11:51:42.364,,92
201784,201878,Accelerometer,,,,-0.748,-0.646,-0.289,,,,,,,,,,1.8,,2016-03-05 11:51:42.364,,92
201785,201879,Accelerometer,,,,-0.784,-0.594,-0.267,,,,,,,,,,1.84,,2016-03-05 11:51:42.365,,92
201786,201880,Accelerometer,,,,-0.771,-0.618,-0.216,,,,,,,,,,1.88,,2016-03-05 11:51:42.365,,92
201787,201881,Accelerometer,,,,-0.789,-0.602,-0.222,,,,,,,,,,1.92,,2016-03-05 11:51:42.366,,92
201788,201882,Accelerometer,,,,-0.829,-0.535,-0.206,,,,,,,,,,1.96,,2016-03-05 11:51:42.366,,92
201789,201883,Accelerometer,,,,-0.795,-0.564,-0.127,,,,,,,,,,2.0,,2016-03-05 11:51:42.366,,92
201790,201884,Accelerometer,,,,-0.826,-0.539,-0.098,,,,,,,,,,2.04,,2016-03-05 11:51:42.366,,92
201791,201885,Accelerometer,,,,-0.873,-0.467,-0.076,,,,,,,,,,2.08,,2016-03-05 11:51:42.367,,92
201792,201886,Accelerometer,,,,-0.884,-0.476,0.008,,,,,,,,,,2.12,,2016-03-05 11:51:42.367,,92
201793,201887,Accelerometer,,,,-0.917,-0.45,-0.007,,,,,,,,,,2.16,,2016-03-05 11:51:42.367,,92
201794,201888,Accelerometer,,,,-0.918,-0.406,0.015,,,,,,,,,,2.2,,2016-03-05 11:51:42.367,,92
201795,201889,Accelerometer,,,,-0.935,-0.404,0.08,,,,,,,,,,2.24,,2016-03-05 11:51:42.368,,92
201796,201890,Accelerometer,,,,-0.96,-0.392,0.091,,,,,,,,,,2.28,,2016-03-05 11:51:42.368,,92
201797,201891,Accelerometer,,,,-0.918,-0.372,0.098,,,,,,,,,,2.32,,2016-03-05 11:51:42.368,,92
201798,201892,Accelerometer,,,,-0.917,-0.364,0.125,,,,,,,,,,2.36,,2016-03-05 11:51:42.368,,92
201799,201893,Accelerometer,,,,-0.939,-0.343,0.089,,,,,,,,,,2.4,,2016-03-05 11:51:42.368,,92
201800,201894,Accelerometer,,,,-0.937,-0.351,0.092,,,,,,,,,,2.44,,2016-03-05 11:51:42.369,,92
201801,201895,Accelerometer,,,,-0.892,-0.368,0.082,,,,,,,,,,2.48,,2016-03-05 11:51:42.369,,92
201802,201896,Accelerometer,,,,-0.906,-0.345,0.068,,,,,,,,,,2.52,,2016-03-05 11:51:42.369,,92
201803,201897,Accelerometer,,,,-0.916,-0.333,0.042,,,,,,,,,,2.56,,2016-03-05 11:51:42.369,,92
201804,201898,Accelerometer,,,,-0.912,-0.338,0.014,,,,,,,,,,2.6,,2016-03-05 11:51:42.370,,92
201805,201899,Accelerometer,,,,-0.932,-0.363,-0.042,,,,,,,,,,2.64,,2016-03-05 11:51:42.371,,92
201806,201900,Accelerometer,,,,-0.943,-0.373,-0.076,,,,,,,,,,2.68,,2016-03-05 11:51:42.371,,92
201807,201901,Accelerometer,,,,-0.954,-0.405,-0.093,,,,,,,,,,2.72,,2016-03-05 11:51:42.371,,92
201808,201902,Accelerometer,,,,-0.938,-0.391,-0.112,,,,,,,,,,2.76,,2016-03-05 11:51:42.372,,92
201809,201903,Accelerometer,,,,-0.906,-0.4,-0.201,,,,,,,,,,2.8,,2016-03-05 11:51:42.374,,92
201810,201904,Accelerometer,,,,-0.856,-0.419,-0.175,,,,,,,,,,2.84,,2016-03-05 11:51:42.374,,92
201811,201905,Accelerometer,,,,-0.873,-0.364,-0.24,,,,,,,,,,2.88,,2016-03-05 11:51:42.374,,92
201812,201906,Accelerometer,,,,-0.87,-0.384,-0.272,,,,,,,,,,2.92,,2016-03-05 11:51:42.375,,92
201813,201907,Accelerometer,,,,-0.87,-0.435,-0.334,,,,,,,,,,2.96,,2016-03-05 11:51:42.375,,92
201814,201908,Accelerometer,,,,-0.881,-0.417,-0.396,,,,,,,,,,3.0,,2016-03-05 11:51:42.375,,92
201815,201909,Accelerometer,,,,-0.853,-0.431,-0.499,,,,,,,,,,3.04,,2016-03-05 11:51:42.375,,92
201816,201910,Accelerometer,,,,-0.788,-0.37,-0.544,,,,,,,,,,3.08,,2016-03-05 11:51:42.376,,92
201817,201911,Accelerometer,,,,-0.749,-0.37,-0.594,,,,,,,,,,3.12,,2016-03-05 11:51:42.376,,92
201818,201912,Accelerometer,,,,-0.754,-0.357,-0.641,,,,,,,,,,3.16,,2016-03-05 11:51:42.376,,92
201819,201913,Accelerometer,,,,-0.738,-0.316,-0.688,,,,,,,,,,3.2,,2016-03-05 11:51:42.377,,92
201820,201914,Accelerometer,,,,-0.693,-0.275,-0.713,,,,,,,,,,3.24,,2016-03-05 11:51:42.377,,92
201821,201915,Accelerometer,,,,-0.635,-0.305,-0.682,,,,,,,,,,3.28,,2016-03-05 11:51:42.377,,92
201822,201916,Accelerometer,,,,-0.623,-0.291,-0.722,,,,,,,,,,3.32,,2016-03-05 11:51:42.378,,92
201823,201917,Accelerometer,,,,-0.624,-0.26,-0.719,,,,,,,,,,3.36,,2016-03-05 11:51:42.378,,92
201824,201918,Accelerometer,,,,-0.595,-0.159,-0.79,,,,,,,,,,3.4,,2016-03-05 11:51:42.378,,92
201825,201919,Accelerometer,,,,-0.445,-0.143,-0.848,,,,,,,,,,3.44,,2016-03-05 11:51:42.379,,92
201826,201920,Accelerometer,,,,-0.49,-0.192,-0.745,,,,,,,,,,3.48,,2016-03-05 11:51:42.379,,92
201827,201921,Accelerometer,,,,-0.536,-0.05,-0.861,,,,,,,,,,3.52,,2016-03-05 11:51:42.379,,92
201828,201922,Accelerometer,,,,-0.509,-0.014,-0.985,,,,,,,,,,3.56,,2016-03-05 11:51:42.379,,92
