,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
346606,348363,Accelerometer,,,,-0.373,0.316,-1.039,,,,,,,,,,0.0,,2016-03-12 13:31:30.799,,128
346607,348364,Accelerometer,,,,-0.493,0.401,-1.235,,,,,,,,,,0.04,,2016-03-12 13:31:30.800,,128
346608,348365,Accelerometer,,,,-0.444,0.563,-0.771,,,,,,,,,,0.08,,2016-03-12 13:31:30.800,,128
346609,348366,Accelerometer,,,,-0.106,0.434,-0.672,,,,,,,,,,0.12,,2016-03-12 13:31:30.800,,128
346610,348367,Accelerometer,,,,-0.192,0.204,-0.794,,,,,,,,,,0.16,,2016-03-12 13:31:30.800,,128
346611,348368,Accelerometer,,,,-0.257,0.416,-0.703,,,,,,,,,,0.2,,2016-03-12 13:31:30.801,,128
346612,348369,Accelerometer,,,,-0.25,0.585,-0.759,,,,,,,,,,0.24,,2016-03-12 13:31:30.801,,128
346613,348370,Accelerometer,,,,-0.128,0.687,-0.929,,,,,,,,,,0.28,,2016-03-12 13:31:30.801,,128
346614,348371,Accelerometer,,,,-0.278,0.538,-0.792,,,,,,,,,,0.32,,2016-03-12 13:31:30.802,,128
346615,348372,Accelerometer,,,,-0.345,0.479,-0.768,,,,,,,,,,0.36,,2016-03-12 13:31:30.802,,128
346616,348373,Accelerometer,,,,-0.236,0.483,-0.859,,,,,,,,,,0.4,,2016-03-12 13:31:30.802,,128
346617,348374,Accelerometer,,,,-0.373,0.55,-0.825,,,,,,,,,,0.44,,2016-03-12 13:31:30.802,,128
346618,348375,Accelerometer,,,,-0.442,0.568,-0.908,,,,,,,,,,0.48,,2016-03-12 13:31:30.802,,128
346619,348376,Accelerometer,,,,-0.542,0.626,-0.743,,,,,,,,,,0.52,,2016-03-12 13:31:30.803,,128
346620,348377,Accelerometer,,,,-0.628,0.506,-0.568,,,,,,,,,,0.56,,2016-03-12 13:31:30.803,,128
346621,348378,Accelerometer,,,,-0.572,0.346,-0.702,,,,,,,,,,0.6,,2016-03-12 13:31:30.803,,128
346622,348379,Accelerometer,,,,-0.616,0.407,-0.691,,,,,,,,,,0.64,,2016-03-12 13:31:30.803,,128
346623,348380,Accelerometer,,,,-0.725,0.423,-0.59,,,,,,,,,,0.68,,2016-03-12 13:31:30.804,,128
346624,348381,Accelerometer,,,,-0.712,0.401,-0.504,,,,,,,,,,0.72,,2016-03-12 13:31:30.804,,128
346625,348382,Accelerometer,,,,-0.74,0.261,-0.589,,,,,,,,,,0.76,,2016-03-12 13:31:30.804,,128
346626,348383,Accelerometer,,,,-0.792,0.022,-0.614,,,,,,,,,,0.8,,2016-03-12 13:31:30.804,,128
346627,348384,Accelerometer,,,,-0.816,-0.026,-0.556,,,,,,,,,,0.84,,2016-03-12 13:31:30.804,,128
346628,348385,Accelerometer,,,,-0.887,0.052,-0.535,,,,,,,,,,0.88,,2016-03-12 13:31:30.805,,128
346629,348386,Accelerometer,,,,-0.933,0.052,-0.496,,,,,,,,,,0.92,,2016-03-12 13:31:30.805,,128
346630,348387,Accelerometer,,,,-1.016,-0.002,-0.357,,,,,,,,,,0.96,,2016-03-12 13:31:30.805,,128
346631,348388,Accelerometer,,,,-1.06,-0.058,-0.31,,,,,,,,,,1.0,,2016-03-12 13:31:30.805,,128
346632,348389,Accelerometer,,,,-0.987,-0.091,-0.239,,,,,,,,,,1.04,,2016-03-12 13:31:30.805,,128
346633,348390,Accelerometer,,,,-0.948,-0.064,-0.197,,,,,,,,,,1.08,,2016-03-12 13:31:30.806,,128
346634,348391,Accelerometer,,,,-0.956,0.014,-0.129,,,,,,,,,,1.12,,2016-03-12 13:31:30.806,,128
346635,348392,Accelerometer,,,,-1.042,0.038,-0.118,,,,,,,,,,1.16,,2016-03-12 13:31:30.806,,128
346636,348393,Accelerometer,,,,-1.062,0.008,-0.128,,,,,,,,,,1.2,,2016-03-12 13:31:30.806,,128
346637,348394,Accelerometer,,,,-1.019,0.026,-0.093,,,,,,,,,,1.24,,2016-03-12 13:31:30.807,,128
346638,348395,Accelerometer,,,,-0.959,0.083,-0.063,,,,,,,,,,1.28,,2016-03-12 13:31:30.807,,128
346639,348396,Accelerometer,,,,-0.952,0.044,-0.074,,,,,,,,,,1.32,,2016-03-12 13:31:30.807,,128
346640,348397,Accelerometer,,,,-1.008,0.063,-0.099,,,,,,,,,,1.36,,2016-03-12 13:31:30.807,,128
346641,348398,Accelerometer,,,,-1.005,0.07,-0.129,,,,,,,,,,1.4,,2016-03-12 13:31:30.807,,128
