,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
384600,386357,Accelerometer,,,,-0.99,0.285,-0.048,,,,,,,,,,0.0,,2016-03-12 14:04:57.736,,136
384601,386358,Accelerometer,,,,-0.991,0.276,-0.039,,,,,,,,,,0.04,,2016-03-12 14:04:57.737,,136
384602,386359,Accelerometer,,,,-0.946,0.253,-0.034,,,,,,,,,,0.08,,2016-03-12 14:04:57.737,,136
384603,386360,Accelerometer,,,,-0.953,0.316,-0.009,,,,,,,,,,0.12,,2016-03-12 14:04:57.737,,136
384604,386361,Accelerometer,,,,-0.953,0.321,-0.026,,,,,,,,,,0.16,,2016-03-12 14:04:57.738,,136
384605,386362,Accelerometer,,,,-0.948,0.281,-0.037,,,,,,,,,,0.2,,2016-03-12 14:04:57.738,,136
384606,386363,Accelerometer,,,,-0.934,0.277,-0.021,,,,,,,,,,0.24,,2016-03-12 14:04:57.738,,136
384607,386364,Accelerometer,,,,-0.925,0.277,-0.0,,,,,,,,,,0.28,,2016-03-12 14:04:57.738,,136
384608,386365,Accelerometer,,,,-0.939,0.297,0.013,,,,,,,,,,0.32,,2016-03-12 14:04:57.739,,136
384609,386366,Accelerometer,,,,-0.999,0.281,0.021,,,,,,,,,,0.36,,2016-03-12 14:04:57.739,,136
384610,386367,Accelerometer,,,,-0.992,0.346,-0.044,,,,,,,,,,0.4,,2016-03-12 14:04:57.739,,136
384611,386368,Accelerometer,,,,-0.931,0.372,-0.11,,,,,,,,,,0.44,,2016-03-12 14:04:57.739,,136
384612,386369,Accelerometer,,,,-0.899,0.314,-0.226,,,,,,,,,,0.48,,2016-03-12 14:04:57.739,,136
384613,386370,Accelerometer,,,,-0.941,0.285,-0.272,,,,,,,,,,0.52,,2016-03-12 14:04:57.740,,136
384614,386371,Accelerometer,,,,-0.987,0.162,-0.384,,,,,,,,,,0.56,,2016-03-12 14:04:57.740,,136
384615,386372,Accelerometer,,,,-0.938,0.195,-0.529,,,,,,,,,,0.6,,2016-03-12 14:04:57.740,,136
384616,386373,Accelerometer,,,,-0.919,0.356,-0.566,,,,,,,,,,0.64,,2016-03-12 14:04:57.740,,136
384617,386374,Accelerometer,,,,-0.876,0.345,-0.623,,,,,,,,,,0.68,,2016-03-12 14:04:57.741,,136
384618,386375,Accelerometer,,,,-0.852,0.402,-0.705,,,,,,,,,,0.72,,2016-03-12 14:04:57.741,,136
384619,386376,Accelerometer,,,,-0.8,0.366,-0.69,,,,,,,,,,0.76,,2016-03-12 14:04:57.741,,136
384620,386377,Accelerometer,,,,-0.754,0.377,-0.682,,,,,,,,,,0.8,,2016-03-12 14:04:57.741,,136
384621,386378,Accelerometer,,,,-0.69,0.341,-0.715,,,,,,,,,,0.84,,2016-03-12 14:04:57.741,,136
384622,386379,Accelerometer,,,,-0.467,0.211,-0.804,,,,,,,,,,0.88,,2016-03-12 14:04:57.742,,136
384623,386380,Accelerometer,,,,-0.453,0.218,-0.747,,,,,,,,,,0.92,,2016-03-12 14:04:57.742,,136
384624,386381,Accelerometer,,,,-0.347,0.501,-0.84,,,,,,,,,,0.96,,2016-03-12 14:04:57.742,,136
384625,386382,Accelerometer,,,,-0.132,0.316,-0.772,,,,,,,,,,1.0,,2016-03-12 14:04:57.742,,136
384626,386383,Accelerometer,,,,-0.37,0.266,-0.813,,,,,,,,,,1.04,,2016-03-12 14:04:57.743,,136
384627,386384,Accelerometer,,,,-0.329,0.454,-0.985,,,,,,,,,,1.08,,2016-03-12 14:04:57.743,,136
384628,386385,Accelerometer,,,,-0.416,0.36,-0.866,,,,,,,,,,1.12,,2016-03-12 14:04:57.743,,136
384629,386386,Accelerometer,,,,-0.508,0.375,-0.708,,,,,,,,,,1.16,,2016-03-12 14:04:57.743,,136
384630,386387,Accelerometer,,,,-0.429,0.446,-0.838,,,,,,,,,,1.2,,2016-03-12 14:04:57.743,,136
384631,386388,Accelerometer,,,,-0.538,0.365,-0.803,,,,,,,,,,1.24,,2016-03-12 14:04:57.744,,136
384632,386389,Accelerometer,,,,-0.581,0.443,-0.782,,,,,,,,,,1.28,,2016-03-12 14:04:57.744,,136
384633,386390,Accelerometer,,,,-0.669,0.571,-0.767,,,,,,,,,,1.32,,2016-03-12 14:04:57.744,,136
384634,386391,Accelerometer,,,,-0.729,0.424,-0.693,,,,,,,,,,1.36,,2016-03-12 14:04:57.744,,136
384635,386392,Accelerometer,,,,-0.703,0.344,-0.558,,,,,,,,,,1.4,,2016-03-12 14:04:57.745,,136
384636,386393,Accelerometer,,,,-0.759,0.282,-0.536,,,,,,,,,,1.44,,2016-03-12 14:04:57.745,,136
384637,386394,Accelerometer,,,,-0.846,0.309,-0.554,,,,,,,,,,1.48,,2016-03-12 14:04:57.745,,136
384638,386395,Accelerometer,,,,-0.966,0.229,-0.434,,,,,,,,,,1.52,,2016-03-12 14:04:57.745,,136
384639,386396,Accelerometer,,,,-1.152,0.173,-0.441,,,,,,,,,,1.56,,2016-03-12 14:04:57.745,,136
384640,386397,Accelerometer,,,,-1.06,0.392,-0.29,,,,,,,,,,1.6,,2016-03-12 14:04:57.746,,136
384641,386398,Accelerometer,,,,-0.81,0.291,-0.272,,,,,,,,,,1.64,,2016-03-12 14:04:57.746,,136
384642,386399,Accelerometer,,,,-0.736,0.25,-0.247,,,,,,,,,,1.68,,2016-03-12 14:04:57.746,,136
384643,386400,Accelerometer,,,,-0.785,0.077,-0.282,,,,,,,,,,1.72,,2016-03-12 14:04:57.747,,136
384644,386401,Accelerometer,,,,-1.016,-0.074,-0.417,,,,,,,,,,1.76,,2016-03-12 14:04:57.748,,136
384645,386402,Accelerometer,,,,-1.16,-0.195,-0.422,,,,,,,,,,1.8,,2016-03-12 14:04:57.748,,136
384646,386403,Accelerometer,,,,-1.055,-0.121,-0.524,,,,,,,,,,1.84,,2016-03-12 14:04:57.748,,136
384647,386404,Accelerometer,,,,-0.775,0.064,-0.471,,,,,,,,,,1.88,,2016-03-12 14:04:57.748,,136
384648,386405,Accelerometer,,,,-0.976,0.134,-0.52,,,,,,,,,,1.92,,2016-03-12 14:04:57.749,,136
384649,386406,Accelerometer,,,,-0.788,0.024,-0.685,,,,,,,,,,1.96,,2016-03-12 14:04:57.749,,136
384650,386407,Accelerometer,,,,-0.66,-0.044,-0.673,,,,,,,,,,2.0,,2016-03-12 14:04:57.749,,136
384651,386408,Accelerometer,,,,-0.854,-0.025,-0.487,,,,,,,,,,2.04,,2016-03-12 14:04:57.749,,136
384652,386409,Accelerometer,,,,-0.638,-0.049,-0.579,,,,,,,,,,2.08,,2016-03-12 14:04:57.750,,136
384653,386410,Accelerometer,,,,-0.769,0.006,-0.668,,,,,,,,,,2.12,,2016-03-12 14:04:57.750,,136
384654,386411,Accelerometer,,,,-0.988,0.003,-0.603,,,,,,,,,,2.16,,2016-03-12 14:04:57.750,,136
384655,386412,Accelerometer,,,,-0.885,-0.062,-0.671,,,,,,,,,,2.2,,2016-03-12 14:04:57.750,,136
384656,386413,Accelerometer,,,,-1.057,-0.067,-0.604,,,,,,,,,,2.24,,2016-03-12 14:04:57.750,,136
384657,386414,Accelerometer,,,,-0.998,0.056,-0.296,,,,,,,,,,2.28,,2016-03-12 14:04:57.751,,136
384658,386415,Accelerometer,,,,-0.835,-0.006,-0.582,,,,,,,,,,2.32,,2016-03-12 14:04:57.751,,136
384659,386416,Accelerometer,,,,-0.964,0.056,-0.438,,,,,,,,,,2.36,,2016-03-12 14:04:57.751,,136
384660,386417,Accelerometer,,,,-0.844,0.112,-0.405,,,,,,,,,,2.4,,2016-03-12 14:04:57.751,,136
384661,386418,Accelerometer,,,,-0.806,0.156,-0.455,,,,,,,,,,2.44,,2016-03-12 14:04:57.752,,136
384662,386419,Accelerometer,,,,-0.869,0.119,-0.36,,,,,,,,,,2.48,,2016-03-12 14:04:57.752,,136
384663,386420,Accelerometer,,,,-1.184,0.081,-0.295,,,,,,,,,,2.52,,2016-03-12 14:04:57.752,,136
384664,386421,Accelerometer,,,,-1.371,0.196,-0.186,,,,,,,,,,2.56,,2016-03-12 14:04:57.752,,136
384665,386422,Accelerometer,,,,-1.27,0.129,-0.116,,,,,,,,,,2.6,,2016-03-12 14:04:57.753,,136
384666,386423,Accelerometer,,,,-1.187,0.132,-0.171,,,,,,,,,,2.64,,2016-03-12 14:04:57.753,,136
384667,386424,Accelerometer,,,,-1.125,0.222,-0.108,,,,,,,,,,2.68,,2016-03-12 14:04:57.753,,136
384668,386425,Accelerometer,,,,-1.177,0.218,-0.055,,,,,,,,,,2.72,,2016-03-12 14:04:57.753,,136
384669,386426,Accelerometer,,,,-1.179,0.215,-0.078,,,,,,,,,,2.76,,2016-03-12 14:04:57.754,,136
384670,386427,Accelerometer,,,,-0.847,0.252,-0.215,,,,,,,,,,2.8,,2016-03-12 14:04:57.754,,136
384671,386428,Accelerometer,,,,-0.782,0.288,-0.206,,,,,,,,,,2.84,,2016-03-12 14:04:57.754,,136
384672,386429,Accelerometer,,,,-0.815,0.392,-0.228,,,,,,,,,,2.88,,2016-03-12 14:04:57.754,,136
384673,386430,Accelerometer,,,,-0.725,0.305,-0.313,,,,,,,,,,2.92,,2016-03-12 14:04:57.754,,136
384674,386431,Accelerometer,,,,-1.02,0.137,-0.17,,,,,,,,,,2.96,,2016-03-12 14:04:57.755,,136
384675,386432,Accelerometer,,,,-0.973,0.091,-0.135,,,,,,,,,,3.0,,2016-03-12 14:04:57.755,,136
384676,386433,Accelerometer,,,,-0.692,0.138,-0.209,,,,,,,,,,3.04,,2016-03-12 14:04:57.755,,136
384677,386434,Accelerometer,,,,-0.438,0.251,-0.492,,,,,,,,,,3.08,,2016-03-12 14:04:57.755,,136
384678,386435,Accelerometer,,,,-0.333,0.111,-0.381,,,,,,,,,,3.12,,2016-03-12 14:04:57.755,,136
384679,386436,Accelerometer,,,,-0.516,0.208,-0.244,,,,,,,,,,3.16,,2016-03-12 14:04:57.756,,136
384680,386437,Accelerometer,,,,-0.62,0.396,-0.455,,,,,,,,,,3.2,,2016-03-12 14:04:57.756,,136
384681,386438,Accelerometer,,,,-0.505,0.383,-0.385,,,,,,,,,,3.24,,2016-03-12 14:04:57.756,,136
384682,386439,Accelerometer,,,,-0.574,0.433,-0.388,,,,,,,,,,3.28,,2016-03-12 14:04:57.756,,136
384683,386440,Accelerometer,,,,-0.443,0.545,-0.445,,,,,,,,,,3.32,,2016-03-12 14:04:57.756,,136
384684,386441,Accelerometer,,,,-0.254,0.896,-0.812,,,,,,,,,,3.36,,2016-03-12 14:04:57.757,,136
384685,386442,Accelerometer,,,,-0.741,0.678,-0.396,,,,,,,,,,3.4,,2016-03-12 14:04:57.757,,136
384686,386443,Accelerometer,,,,0.061,0.815,-0.411,,,,,,,,,,3.44,,2016-03-12 14:04:57.757,,136
384687,386444,Accelerometer,,,,-0.156,0.664,-1.502,,,,,,,,,,3.48,,2016-03-12 14:04:57.757,,136
384688,386445,Accelerometer,,,,0.029,-0.321,-1.862,,,,,,,,,,3.52,,2016-03-12 14:04:57.758,,136
384689,386446,Accelerometer,,,,0.729,1.339,-1.105,,,,,,,,,,3.56,,2016-03-12 14:04:57.758,,136
384690,386447,Accelerometer,,,,0.268,1.168,-0.916,,,,,,,,,,3.6,,2016-03-12 14:04:57.758,,136
384691,386448,Accelerometer,,,,0.412,1.116,-1.172,,,,,,,,,,3.64,,2016-03-12 14:04:57.758,,136
384692,386449,Accelerometer,,,,-0.062,0.645,-1.109,,,,,,,,,,3.68,,2016-03-12 14:04:57.758,,136
384693,386450,Accelerometer,,,,-0.346,0.331,-0.529,,,,,,,,,,3.72,,2016-03-12 14:04:57.759,,136
384694,386451,Accelerometer,,,,0.046,0.367,-1.015,,,,,,,,,,3.76,,2016-03-12 14:04:57.759,,136
384695,386452,Accelerometer,,,,-0.148,0.659,-0.765,,,,,,,,,,3.8,,2016-03-12 14:04:57.759,,136
384696,386453,Accelerometer,,,,-0.331,0.727,-0.768,,,,,,,,,,3.84,,2016-03-12 14:04:57.759,,136
384697,386454,Accelerometer,,,,-0.602,0.323,-0.84,,,,,,,,,,3.88,,2016-03-12 14:04:57.759,,136
384698,386455,Accelerometer,,,,-0.568,0.216,-0.72,,,,,,,,,,3.92,,2016-03-12 14:04:57.760,,136
384699,386456,Accelerometer,,,,-0.607,0.136,-0.615,,,,,,,,,,3.96,,2016-03-12 14:04:57.760,,136
384700,386457,Accelerometer,,,,-0.791,0.112,-0.476,,,,,,,,,,4.0,,2016-03-12 14:04:57.760,,136
384701,386458,Accelerometer,,,,-0.832,0.035,-0.412,,,,,,,,,,4.04,,2016-03-12 14:04:57.760,,136
384702,386459,Accelerometer,,,,-0.777,-0.181,-0.654,,,,,,,,,,4.08,,2016-03-12 14:04:57.761,,136
384703,386460,Accelerometer,,,,-0.854,0.015,-0.418,,,,,,,,,,4.12,,2016-03-12 14:04:57.761,,136
