,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
512437,515027,Accelerometer,,,,-0.646,-0.181,-0.77,,,,,,,,,,0.0,,2016-03-26 13:29:58.620,,204
512438,515028,Accelerometer,,,,-0.841,-0.167,-0.888,,,,,,,,,,0.04,,2016-03-26 13:29:58.620,,204
512439,515029,Accelerometer,,,,-0.788,-0.104,-0.893,,,,,,,,,,0.08,,2016-03-26 13:29:58.620,,204
512440,515030,Accelerometer,,,,-0.623,-0.141,-0.765,,,,,,,,,,0.12,,2016-03-26 13:29:58.621,,204
512441,515031,Accelerometer,,,,-0.512,-0.071,-0.807,,,,,,,,,,0.16,,2016-03-26 13:29:58.621,,204
512442,515032,Accelerometer,,,,-0.574,-0.069,-0.843,,,,,,,,,,0.2,,2016-03-26 13:29:58.621,,204
512443,515033,Accelerometer,,,,-0.424,-0.068,-0.808,,,,,,,,,,0.24,,2016-03-26 13:29:58.621,,204
512444,515034,Accelerometer,,,,-0.298,-0.133,-1.026,,,,,,,,,,0.28,,2016-03-26 13:29:58.622,,204
512445,515035,Accelerometer,,,,-0.212,-0.249,-0.926,,,,,,,,,,0.32,,2016-03-26 13:29:58.622,,204
512446,515036,Accelerometer,,,,-0.11,-0.159,-0.926,,,,,,,,,,0.36,,2016-03-26 13:29:58.622,,204
512447,515037,Accelerometer,,,,-0.035,0.135,-0.896,,,,,,,,,,0.4,,2016-03-26 13:29:58.622,,204
512448,515038,Accelerometer,,,,-0.153,0.133,-0.959,,,,,,,,,,0.44,,2016-03-26 13:29:58.623,,204
512449,515039,Accelerometer,,,,-0.227,0.002,-0.955,,,,,,,,,,0.48,,2016-03-26 13:29:58.623,,204
512450,515040,Accelerometer,,,,-0.309,0.034,-1.001,,,,,,,,,,0.52,,2016-03-26 13:29:58.623,,204
512451,515041,Accelerometer,,,,-0.301,0.084,-0.98,,,,,,,,,,0.56,,2016-03-26 13:29:58.623,,204
512452,515042,Accelerometer,,,,-0.228,0.131,-1.041,,,,,,,,,,0.6,,2016-03-26 13:29:58.624,,204
512453,515043,Accelerometer,,,,-0.386,0.041,-0.878,,,,,,,,,,0.64,,2016-03-26 13:29:58.624,,204
512454,515044,Accelerometer,,,,-0.512,0.082,-0.894,,,,,,,,,,0.68,,2016-03-26 13:29:58.624,,204
512455,515045,Accelerometer,,,,-0.455,0.118,-0.841,,,,,,,,,,0.72,,2016-03-26 13:29:58.624,,204
512456,515046,Accelerometer,,,,-0.319,0.038,-0.884,,,,,,,,,,0.76,,2016-03-26 13:29:58.625,,204
512457,515047,Accelerometer,,,,-0.328,-0.124,-0.85,,,,,,,,,,0.8,,2016-03-26 13:29:58.625,,204
512458,515048,Accelerometer,,,,-0.6,-0.208,-0.866,,,,,,,,,,0.84,,2016-03-26 13:29:58.626,,204
512459,515049,Accelerometer,,,,-0.664,-0.279,-0.9,,,,,,,,,,0.88,,2016-03-26 13:29:58.626,,204
512460,515050,Accelerometer,,,,-0.679,-0.206,-0.838,,,,,,,,,,0.92,,2016-03-26 13:29:58.627,,204
512461,515051,Accelerometer,,,,-0.589,-0.193,-0.839,,,,,,,,,,0.96,,2016-03-26 13:29:58.627,,204
512462,515052,Accelerometer,,,,-0.565,-0.11,-0.792,,,,,,,,,,1.0,,2016-03-26 13:29:58.627,,204
512463,515053,Accelerometer,,,,-0.44,0.047,-0.93,,,,,,,,,,1.04,,2016-03-26 13:29:58.627,,204
512464,515054,Accelerometer,,,,-0.393,-0.027,-0.98,,,,,,,,,,1.08,,2016-03-26 13:29:58.628,,204
512465,515055,Accelerometer,,,,-0.386,-0.133,-0.873,,,,,,,,,,1.12,,2016-03-26 13:29:58.628,,204
512466,515056,Accelerometer,,,,-0.434,-0.096,-0.89,,,,,,,,,,1.16,,2016-03-26 13:29:58.628,,204
512467,515057,Accelerometer,,,,-0.466,-0.08,-0.94,,,,,,,,,,1.2,,2016-03-26 13:29:58.628,,204
512468,515058,Accelerometer,,,,-0.483,-0.114,-0.912,,,,,,,,,,1.24,,2016-03-26 13:29:58.629,,204
512469,515059,Accelerometer,,,,-0.368,-0.003,-0.883,,,,,,,,,,1.28,,2016-03-26 13:29:58.629,,204
512470,515060,Accelerometer,,,,-0.227,-0.037,-0.866,,,,,,,,,,1.32,,2016-03-26 13:29:58.629,,204
512471,515061,Accelerometer,,,,-0.165,0.021,-0.942,,,,,,,,,,1.36,,2016-03-26 13:29:58.629,,204
512472,515062,Accelerometer,,,,-0.171,-0.108,-1.002,,,,,,,,,,1.4,,2016-03-26 13:29:58.630,,204
512473,515063,Accelerometer,,,,-0.131,-0.32,-0.803,,,,,,,,,,1.44,,2016-03-26 13:29:58.630,,204
512474,515064,Accelerometer,,,,-0.254,-0.188,-0.957,,,,,,,,,,1.48,,2016-03-26 13:29:58.630,,204
512475,515065,Accelerometer,,,,-0.288,0.04,-0.947,,,,,,,,,,1.52,,2016-03-26 13:29:58.630,,204
512476,515066,Accelerometer,,,,-0.25,0.103,-0.893,,,,,,,,,,1.56,,2016-03-26 13:29:58.630,,204
512477,515067,Accelerometer,,,,-0.363,-0.166,-0.97,,,,,,,,,,1.6,,2016-03-26 13:29:58.631,,204
512478,515068,Accelerometer,,,,-0.5,0.033,-1.048,,,,,,,,,,1.64,,2016-03-26 13:29:58.631,,204
512479,515069,Accelerometer,,,,-0.631,0.116,-1.083,,,,,,,,,,1.68,,2016-03-26 13:29:58.631,,204
512480,515070,Accelerometer,,,,0.115,-0.52,-0.456,,,,,,,,,,1.72,,2016-03-26 13:29:58.632,,204
512481,515071,Accelerometer,,,,0.214,0.211,-1.063,,,,,,,,,,1.76,,2016-03-26 13:29:58.632,,204
512482,515072,Accelerometer,,,,0.053,-0.489,-0.734,,,,,,,,,,1.8,,2016-03-26 13:29:58.632,,204
512483,515073,Accelerometer,,,,0.199,-0.286,-1.272,,,,,,,,,,1.84,,2016-03-26 13:29:58.633,,204
512484,515074,Accelerometer,,,,0.229,0.479,-1.263,,,,,,,,,,1.88,,2016-03-26 13:29:58.633,,204
512485,515075,Accelerometer,,,,0.105,0.171,-0.963,,,,,,,,,,1.92,,2016-03-26 13:29:58.633,,204
512486,515076,Accelerometer,,,,-0.101,0.135,-1.003,,,,,,,,,,1.96,,2016-03-26 13:29:58.633,,204
512487,515077,Accelerometer,,,,0.14,0.138,-1.134,,,,,,,,,,2.0,,2016-03-26 13:29:58.633,,204
512488,515078,Accelerometer,,,,-0.16,0.063,-0.795,,,,,,,,,,2.04,,2016-03-26 13:29:58.634,,204
512489,515079,Accelerometer,,,,-0.293,0.268,-0.512,,,,,,,,,,2.08,,2016-03-26 13:29:58.634,,204
512490,515080,Accelerometer,,,,-0.349,0.101,-0.726,,,,,,,,,,2.12,,2016-03-26 13:29:58.634,,204
512491,515081,Accelerometer,,,,-0.425,-0.248,-0.847,,,,,,,,,,2.16,,2016-03-26 13:29:58.634,,204
512492,515082,Accelerometer,,,,-0.038,-0.163,-1.055,,,,,,,,,,2.2,,2016-03-26 13:29:58.635,,204
512493,515083,Accelerometer,,,,-0.143,-0.264,-1.115,,,,,,,,,,2.24,,2016-03-26 13:29:58.635,,204
512494,515084,Accelerometer,,,,-0.097,-0.473,-0.925,,,,,,,,,,2.28,,2016-03-26 13:29:58.635,,204
512495,515085,Accelerometer,,,,-0.489,-0.116,-1.036,,,,,,,,,,2.32,,2016-03-26 13:29:58.635,,204
512496,515086,Accelerometer,,,,-0.592,-0.075,-1.14,,,,,,,,,,2.36,,2016-03-26 13:29:58.635,,204
512497,515087,Accelerometer,,,,-0.35,-0.299,-1.008,,,,,,,,,,2.4,,2016-03-26 13:29:58.636,,204
512498,515088,Accelerometer,,,,-0.164,-0.231,-1.003,,,,,,,,,,2.44,,2016-03-26 13:29:58.636,,204
512499,515089,Accelerometer,,,,-0.298,-0.327,-1.089,,,,,,,,,,2.48,,2016-03-26 13:29:58.637,,204
512500,515090,Accelerometer,,,,-0.26,0.006,-1.044,,,,,,,,,,2.52,,2016-03-26 13:29:58.637,,204
512501,515091,Accelerometer,,,,-0.206,-0.356,-1.046,,,,,,,,,,2.56,,2016-03-26 13:29:58.637,,204
512502,515092,Accelerometer,,,,0.058,-0.413,-0.97,,,,,,,,,,2.6,,2016-03-26 13:29:58.637,,204
512503,515093,Accelerometer,,,,0.027,-0.24,-0.95,,,,,,,,,,2.64,,2016-03-26 13:29:58.638,,204
512504,515094,Accelerometer,,,,-0.089,-0.113,-0.8,,,,,,,,,,2.68,,2016-03-26 13:29:58.638,,204
512505,515095,Accelerometer,,,,0.082,-0.253,-0.768,,,,,,,,,,2.72,,2016-03-26 13:29:58.638,,204
512506,515096,Accelerometer,,,,0.218,-0.139,-1.032,,,,,,,,,,2.76,,2016-03-26 13:29:58.638,,204
512507,515097,Accelerometer,,,,0.169,0.039,-0.635,,,,,,,,,,2.8,,2016-03-26 13:29:58.638,,204
512508,515098,Accelerometer,,,,0.153,0.164,-0.745,,,,,,,,,,2.84,,2016-03-26 13:29:58.639,,204
512509,515099,Accelerometer,,,,0.204,-0.123,-0.712,,,,,,,,,,2.88,,2016-03-26 13:29:58.639,,204
512510,515100,Accelerometer,,,,-0.136,-0.257,-1.082,,,,,,,,,,2.92,,2016-03-26 13:29:58.639,,204
512511,515101,Accelerometer,,,,0.188,0.061,-1.352,,,,,,,,,,2.96,,2016-03-26 13:29:58.639,,204
512512,515102,Accelerometer,,,,0.37,0.0,-1.013,,,,,,,,,,3.0,,2016-03-26 13:29:58.640,,204
512513,515103,Accelerometer,,,,0.003,1.23,-0.668,,,,,,,,,,3.04,,2016-03-26 13:29:58.640,,204
512514,515104,Accelerometer,,,,-0.011,-0.24,-0.838,,,,,,,,,,3.08,,2016-03-26 13:29:58.640,,204
512515,515105,Accelerometer,,,,-0.312,-0.545,-0.9,,,,,,,,,,3.12,,2016-03-26 13:29:58.641,,204
512516,515106,Accelerometer,,,,-0.173,-0.098,-1.044,,,,,,,,,,3.16,,2016-03-26 13:29:58.641,,204
512517,515107,Accelerometer,,,,-0.25,-0.248,-1.966,,,,,,,,,,3.2,,2016-03-26 13:29:58.641,,204
512518,515108,Accelerometer,,,,-0.114,-0.552,-1.13,,,,,,,,,,3.24,,2016-03-26 13:29:58.641,,204
512519,515109,Accelerometer,,,,-0.276,-0.116,-1.004,,,,,,,,,,3.28,,2016-03-26 13:29:58.642,,204
512520,515110,Accelerometer,,,,-0.302,-0.132,-1.149,,,,,,,,,,3.32,,2016-03-26 13:29:58.642,,204
512521,515111,Accelerometer,,,,-0.208,-0.09,-1.081,,,,,,,,,,3.36,,2016-03-26 13:29:58.642,,204
512522,515112,Accelerometer,,,,-0.191,0.131,-0.848,,,,,,,,,,3.4,,2016-03-26 13:29:58.642,,204
512523,515113,Accelerometer,,,,-0.242,0.042,-0.9,,,,,,,,,,3.44,,2016-03-26 13:29:58.643,,204
512524,515114,Accelerometer,,,,-0.229,-0.041,-1.125,,,,,,,,,,3.48,,2016-03-26 13:29:58.643,,204
512525,515115,Accelerometer,,,,-0.171,-0.144,-1.115,,,,,,,,,,3.52,,2016-03-26 13:29:58.643,,204
512526,515116,Accelerometer,,,,-0.239,-0.125,-1.032,,,,,,,,,,3.56,,2016-03-26 13:29:58.643,,204
512527,515117,Accelerometer,,,,-0.193,-0.058,-0.868,,,,,,,,,,3.6,,2016-03-26 13:29:58.644,,204
512528,515118,Accelerometer,,,,-0.234,0.268,-0.963,,,,,,,,,,3.64,,2016-03-26 13:29:58.644,,204
512529,515119,Accelerometer,,,,-0.222,0.218,-1.166,,,,,,,,,,3.68,,2016-03-26 13:29:58.644,,204
512530,515120,Accelerometer,,,,-0.16,-0.061,-1.147,,,,,,,,,,3.72,,2016-03-26 13:29:58.644,,204
512531,515121,Accelerometer,,,,-0.077,-0.012,-0.993,,,,,,,,,,3.76,,2016-03-26 13:29:58.645,,204
512532,515122,Accelerometer,,,,-0.132,-0.033,-0.862,,,,,,,,,,3.8,,2016-03-26 13:29:58.645,,204
512533,515123,Accelerometer,,,,-0.177,-0.089,-0.867,,,,,,,,,,3.84,,2016-03-26 13:29:58.645,,204
512534,515124,Accelerometer,,,,-0.018,0.074,-0.78,,,,,,,,,,3.88,,2016-03-26 13:29:58.645,,204
512535,515125,Accelerometer,,,,0.173,0.28,-0.983,,,,,,,,,,3.92,,2016-03-26 13:29:58.645,,204
512536,515126,Accelerometer,,,,-0.029,0.198,-0.964,,,,,,,,,,3.96,,2016-03-26 13:29:58.646,,204
