,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
418607,420364,Accelerometer,,,,-0.266,-0.231,-0.938,,,,,,,,,,0.0,,2016-03-15 20:25:47.520,,140
418608,420365,Accelerometer,,,,-0.265,-0.231,-0.944,,,,,,,,,,0.04,,2016-03-15 20:25:47.520,,140
418609,420366,Accelerometer,,,,-0.264,-0.231,-0.94,,,,,,,,,,0.08,,2016-03-15 20:25:47.520,,140
418610,420367,Accelerometer,,,,-0.266,-0.23,-0.935,,,,,,,,,,0.12,,2016-03-15 20:25:47.521,,140
418611,420368,Accelerometer,,,,-0.266,-0.228,-0.938,,,,,,,,,,0.16,,2016-03-15 20:25:47.521,,140
418612,420369,Accelerometer,,,,-0.266,-0.228,-0.943,,,,,,,,,,0.2,,2016-03-15 20:25:47.521,,140
418613,420370,Accelerometer,,,,-0.263,-0.228,-0.941,,,,,,,,,,0.24,,2016-03-15 20:25:47.521,,140
418614,420371,Accelerometer,,,,-0.26,-0.228,-0.936,,,,,,,,,,0.28,,2016-03-15 20:25:47.521,,140
418615,420372,Accelerometer,,,,-0.264,-0.228,-0.939,,,,,,,,,,0.32,,2016-03-15 20:25:47.522,,140
418616,420373,Accelerometer,,,,-0.264,-0.229,-0.94,,,,,,,,,,0.36,,2016-03-15 20:25:47.522,,140
418617,420374,Accelerometer,,,,-0.265,-0.228,-0.937,,,,,,,,,,0.4,,2016-03-15 20:25:47.522,,140
418618,420375,Accelerometer,,,,-0.266,-0.229,-0.932,,,,,,,,,,0.44,,2016-03-15 20:25:47.522,,140
