,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
226306,226400,Accelerometer,,,,-0.338,-0.225,-0.908,,,,,,,,,,0.0,,2016-03-05 12:10:33.234,,95
226307,226401,Accelerometer,,,,-0.343,-0.225,-0.917,,,,,,,,,,0.04,,2016-03-05 12:10:33.235,,95
226308,226402,Accelerometer,,,,-0.34,-0.229,-0.911,,,,,,,,,,0.08,,2016-03-05 12:10:33.235,,95
226309,226403,Accelerometer,,,,-0.339,-0.228,-0.915,,,,,,,,,,0.12,,2016-03-05 12:10:33.235,,95
226310,226404,Accelerometer,,,,-0.341,-0.23,-0.912,,,,,,,,,,0.16,,2016-03-05 12:10:33.235,,95
226311,226405,Accelerometer,,,,-0.339,-0.229,-0.921,,,,,,,,,,0.2,,2016-03-05 12:10:33.236,,95
226312,226406,Accelerometer,,,,-0.339,-0.228,-0.917,,,,,,,,,,0.24,,2016-03-05 12:10:33.236,,95
226313,226407,Accelerometer,,,,-0.341,-0.229,-0.912,,,,,,,,,,0.28,,2016-03-05 12:10:33.236,,95
226314,226408,Accelerometer,,,,-0.338,-0.224,-0.919,,,,,,,,,,0.32,,2016-03-05 12:10:33.236,,95
226315,226409,Accelerometer,,,,-0.336,-0.224,-0.917,,,,,,,,,,0.36,,2016-03-05 12:10:33.237,,95
226316,226410,Accelerometer,,,,-0.331,-0.226,-0.917,,,,,,,,,,0.4,,2016-03-05 12:10:33.237,,95
226317,226411,Accelerometer,,,,-0.332,-0.228,-0.919,,,,,,,,,,0.44,,2016-03-05 12:10:33.237,,95
226318,226412,Accelerometer,,,,-0.335,-0.229,-0.916,,,,,,,,,,0.48,,2016-03-05 12:10:33.238,,95
226319,226413,Accelerometer,,,,-0.332,-0.23,-0.915,,,,,,,,,,0.52,,2016-03-05 12:10:33.238,,95
226320,226414,Accelerometer,,,,-0.331,-0.23,-0.912,,,,,,,,,,0.56,,2016-03-05 12:10:33.238,,95
226321,226415,Accelerometer,,,,-0.333,-0.227,-0.922,,,,,,,,,,0.6,,2016-03-05 12:10:33.239,,95
226322,226416,Accelerometer,,,,-0.332,-0.227,-0.927,,,,,,,,,,0.64,,2016-03-05 12:10:33.239,,95
226323,226417,Accelerometer,,,,-0.326,-0.229,-0.921,,,,,,,,,,0.68,,2016-03-05 12:10:33.240,,95
226324,226418,Accelerometer,,,,-0.323,-0.228,-0.916,,,,,,,,,,0.72,,2016-03-05 12:10:33.240,,95
226325,226419,Accelerometer,,,,-0.325,-0.227,-0.917,,,,,,,,,,0.76,,2016-03-05 12:10:33.240,,95
226326,226420,Accelerometer,,,,-0.326,-0.229,-0.92,,,,,,,,,,0.8,,2016-03-05 12:10:33.240,,95
226327,226421,Accelerometer,,,,-0.326,-0.23,-0.928,,,,,,,,,,0.84,,2016-03-05 12:10:33.241,,95
226328,226422,Accelerometer,,,,-0.325,-0.231,-0.919,,,,,,,,,,0.88,,2016-03-05 12:10:33.241,,95
226329,226423,Accelerometer,,,,-0.325,-0.225,-0.923,,,,,,,,,,0.92,,2016-03-05 12:10:33.241,,95
226330,226424,Accelerometer,,,,-0.323,-0.224,-0.92,,,,,,,,,,0.96,,2016-03-05 12:10:33.242,,95
226331,226425,Accelerometer,,,,-0.326,-0.224,-0.922,,,,,,,,,,1.0,,2016-03-05 12:10:33.242,,95
226332,226426,Accelerometer,,,,-0.328,-0.228,-0.917,,,,,,,,,,1.04,,2016-03-05 12:10:33.243,,95
226333,226427,Accelerometer,,,,-0.323,-0.225,-0.922,,,,,,,,,,1.08,,2016-03-05 12:10:33.243,,95
226334,226428,Accelerometer,,,,-0.322,-0.222,-0.921,,,,,,,,,,1.12,,2016-03-05 12:10:33.245,,95
226335,226429,Accelerometer,,,,-0.321,-0.225,-0.923,,,,,,,,,,1.16,,2016-03-05 12:10:33.245,,95
226336,226430,Accelerometer,,,,-0.321,-0.222,-0.919,,,,,,,,,,1.2,,2016-03-05 12:10:33.245,,95
226337,226431,Accelerometer,,,,-0.32,-0.228,-0.921,,,,,,,,,,1.24,,2016-03-05 12:10:33.246,,95
226338,226432,Accelerometer,,,,-0.324,-0.228,-0.919,,,,,,,,,,1.28,,2016-03-05 12:10:33.246,,95
226339,226433,Accelerometer,,,,-0.324,-0.226,-0.921,,,,,,,,,,1.32,,2016-03-05 12:10:33.247,,95
226340,226434,Accelerometer,,,,-0.316,-0.228,-0.921,,,,,,,,,,1.36,,2016-03-05 12:10:33.247,,95
226341,226435,Accelerometer,,,,-0.319,-0.225,-0.921,,,,,,,,,,1.4,,2016-03-05 12:10:33.247,,95
226342,226436,Accelerometer,,,,-0.319,-0.228,-0.926,,,,,,,,,,1.44,,2016-03-05 12:10:33.248,,95
226343,226437,Accelerometer,,,,-0.319,-0.225,-0.924,,,,,,,,,,1.48,,2016-03-05 12:10:33.248,,95
226344,226438,Accelerometer,,,,-0.317,-0.229,-0.921,,,,,,,,,,1.52,,2016-03-05 12:10:33.248,,95
226345,226439,Accelerometer,,,,-0.321,-0.223,-0.926,,,,,,,,,,1.56,,2016-03-05 12:10:33.249,,95
226346,226440,Accelerometer,,,,-0.319,-0.227,-0.92,,,,,,,,,,1.6,,2016-03-05 12:10:33.249,,95
226347,226441,Accelerometer,,,,-0.318,-0.225,-0.926,,,,,,,,,,1.64,,2016-03-05 12:10:33.250,,95
226348,226442,Accelerometer,,,,-0.319,-0.224,-0.922,,,,,,,,,,1.68,,2016-03-05 12:10:33.250,,95
