,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
374367,376124,Accelerometer,,,,0.066,-0.176,-0.971,,,,,,,,,,0.0,,2016-03-12 13:53:17.217,,134
374368,376125,Accelerometer,,,,0.109,-0.206,-0.988,,,,,,,,,,0.04,,2016-03-12 13:53:17.217,,134
374369,376126,Accelerometer,,,,0.111,-0.223,-0.986,,,,,,,,,,0.08,,2016-03-12 13:53:17.217,,134
374370,376127,Accelerometer,,,,0.109,-0.189,-1.066,,,,,,,,,,0.12,,2016-03-12 13:53:17.218,,134
374371,376128,Accelerometer,,,,0.079,-0.188,-1.009,,,,,,,,,,0.16,,2016-03-12 13:53:17.218,,134
374372,376129,Accelerometer,,,,0.038,-0.164,-0.979,,,,,,,,,,0.2,,2016-03-12 13:53:17.218,,134
374373,376130,Accelerometer,,,,0.007,-0.118,-0.96,,,,,,,,,,0.24,,2016-03-12 13:53:17.218,,134
374374,376131,Accelerometer,,,,-0.02,-0.139,-0.96,,,,,,,,,,0.28,,2016-03-12 13:53:17.219,,134
374375,376132,Accelerometer,,,,-0.014,-0.181,-0.991,,,,,,,,,,0.32,,2016-03-12 13:53:17.219,,134
374376,376133,Accelerometer,,,,0.018,-0.17,-0.948,,,,,,,,,,0.36,,2016-03-12 13:53:17.219,,134
374377,376134,Accelerometer,,,,0.021,-0.181,-0.933,,,,,,,,,,0.4,,2016-03-12 13:53:17.219,,134
374378,376135,Accelerometer,,,,0.054,-0.185,-0.927,,,,,,,,,,0.44,,2016-03-12 13:53:17.220,,134
374379,376136,Accelerometer,,,,0.115,-0.089,-1.006,,,,,,,,,,0.48,,2016-03-12 13:53:17.220,,134
374380,376137,Accelerometer,,,,0.083,0.042,-0.995,,,,,,,,,,0.52,,2016-03-12 13:53:17.220,,134
374381,376138,Accelerometer,,,,0.19,0.061,-0.971,,,,,,,,,,0.56,,2016-03-12 13:53:17.220,,134
374382,376139,Accelerometer,,,,0.083,0.193,-1.073,,,,,,,,,,0.6,,2016-03-12 13:53:17.221,,134
374383,376140,Accelerometer,,,,0.071,0.218,-1.107,,,,,,,,,,0.64,,2016-03-12 13:53:17.221,,134
374384,376141,Accelerometer,,,,0.061,0.283,-1.02,,,,,,,,,,0.68,,2016-03-12 13:53:17.221,,134
374385,376142,Accelerometer,,,,-0.128,0.247,-0.76,,,,,,,,,,0.72,,2016-03-12 13:53:17.221,,134
374386,376143,Accelerometer,,,,0.002,0.331,-0.902,,,,,,,,,,0.76,,2016-03-12 13:53:17.221,,134
374387,376144,Accelerometer,,,,0.066,0.406,-0.979,,,,,,,,,,0.8,,2016-03-12 13:53:17.222,,134
374388,376145,Accelerometer,,,,-0.124,0.526,-0.774,,,,,,,,,,0.84,,2016-03-12 13:53:17.222,,134
374389,376146,Accelerometer,,,,-0.094,0.562,-0.752,,,,,,,,,,0.88,,2016-03-12 13:53:17.222,,134
374390,376147,Accelerometer,,,,-0.066,0.623,-0.778,,,,,,,,,,0.92,,2016-03-12 13:53:17.222,,134
374391,376148,Accelerometer,,,,-0.113,0.858,-0.726,,,,,,,,,,0.96,,2016-03-12 13:53:17.222,,134
374392,376149,Accelerometer,,,,-0.202,0.814,-0.717,,,,,,,,,,1.0,,2016-03-12 13:53:17.223,,134
374393,376150,Accelerometer,,,,-0.201,0.825,-0.583,,,,,,,,,,1.04,,2016-03-12 13:53:17.223,,134
374394,376151,Accelerometer,,,,-0.236,0.814,-0.483,,,,,,,,,,1.08,,2016-03-12 13:53:17.223,,134
374395,376152,Accelerometer,,,,-0.161,0.855,-0.434,,,,,,,,,,1.12,,2016-03-12 13:53:17.223,,134
374396,376153,Accelerometer,,,,-0.19,0.876,-0.324,,,,,,,,,,1.16,,2016-03-12 13:53:17.223,,134
374397,376154,Accelerometer,,,,-0.233,0.907,-0.266,,,,,,,,,,1.2,,2016-03-12 13:53:17.224,,134
374398,376155,Accelerometer,,,,-0.291,0.792,-0.222,,,,,,,,,,1.24,,2016-03-12 13:53:17.224,,134
374399,376156,Accelerometer,,,,-0.307,0.803,-0.199,,,,,,,,,,1.28,,2016-03-12 13:53:17.224,,134
374400,376157,Accelerometer,,,,-0.279,0.967,-0.176,,,,,,,,,,1.32,,2016-03-12 13:53:17.224,,134
374401,376158,Accelerometer,,,,-0.214,0.948,-0.149,,,,,,,,,,1.36,,2016-03-12 13:53:17.225,,134
374402,376159,Accelerometer,,,,-0.213,0.911,-0.132,,,,,,,,,,1.4,,2016-03-12 13:53:17.225,,134
374403,376160,Accelerometer,,,,-0.278,0.931,-0.108,,,,,,,,,,1.44,,2016-03-12 13:53:17.225,,134
374404,376161,Accelerometer,,,,-0.187,0.976,-0.142,,,,,,,,,,1.48,,2016-03-12 13:53:17.225,,134
374405,376162,Accelerometer,,,,-0.21,0.917,-0.045,,,,,,,,,,1.52,,2016-03-12 13:53:17.225,,134
374406,376163,Accelerometer,,,,-0.238,0.948,0.024,,,,,,,,,,1.56,,2016-03-12 13:53:17.226,,134
374407,376164,Accelerometer,,,,-0.216,0.979,0.108,,,,,,,,,,1.6,,2016-03-12 13:53:17.226,,134
374408,376165,Accelerometer,,,,-0.197,1.014,0.057,,,,,,,,,,1.64,,2016-03-12 13:53:17.226,,134
374409,376166,Accelerometer,,,,-0.021,0.992,0.016,,,,,,,,,,1.68,,2016-03-12 13:53:17.226,,134
374410,376167,Accelerometer,,,,-0.123,0.91,-0.016,,,,,,,,,,1.72,,2016-03-12 13:53:17.227,,134
374411,376168,Accelerometer,,,,-0.322,1.051,0.184,,,,,,,,,,1.76,,2016-03-12 13:53:17.227,,134
374412,376169,Accelerometer,,,,-0.309,0.869,0.2,,,,,,,,,,1.8,,2016-03-12 13:53:17.227,,134
374413,376170,Accelerometer,,,,-0.276,0.925,0.162,,,,,,,,,,1.84,,2016-03-12 13:53:17.227,,134
374414,376171,Accelerometer,,,,-0.235,0.891,0.178,,,,,,,,,,1.88,,2016-03-12 13:53:17.228,,134
374415,376172,Accelerometer,,,,-0.238,0.952,0.19,,,,,,,,,,1.92,,2016-03-12 13:53:17.228,,134
374416,376173,Accelerometer,,,,-0.255,0.981,0.227,,,,,,,,,,1.96,,2016-03-12 13:53:17.228,,134
374417,376174,Accelerometer,,,,-0.53,0.862,0.458,,,,,,,,,,2.0,,2016-03-12 13:53:17.228,,134
374418,376175,Accelerometer,,,,-0.556,0.778,0.475,,,,,,,,,,2.04,,2016-03-12 13:53:17.228,,134
374419,376176,Accelerometer,,,,-0.357,0.778,0.295,,,,,,,,,,2.08,,2016-03-12 13:53:17.229,,134
374420,376177,Accelerometer,,,,-0.269,0.874,0.313,,,,,,,,,,2.12,,2016-03-12 13:53:17.229,,134
374421,376178,Accelerometer,,,,-0.293,0.896,0.373,,,,,,,,,,2.16,,2016-03-12 13:53:17.229,,134
374422,376179,Accelerometer,,,,-0.33,0.89,0.411,,,,,,,,,,2.2,,2016-03-12 13:53:17.230,,134
374423,376180,Accelerometer,,,,-0.3,0.775,0.335,,,,,,,,,,2.24,,2016-03-12 13:53:17.230,,134
374424,376181,Accelerometer,,,,-0.258,0.802,0.33,,,,,,,,,,2.28,,2016-03-12 13:53:17.231,,134
374425,376182,Accelerometer,,,,-0.287,0.846,0.373,,,,,,,,,,2.32,,2016-03-12 13:53:17.231,,134
374426,376183,Accelerometer,,,,-0.237,0.996,0.372,,,,,,,,,,2.36,,2016-03-12 13:53:17.231,,134
374427,376184,Accelerometer,,,,-0.229,0.955,0.287,,,,,,,,,,2.4,,2016-03-12 13:53:17.231,,134
374428,376185,Accelerometer,,,,-0.211,0.861,0.307,,,,,,,,,,2.44,,2016-03-12 13:53:17.231,,134
374429,376186,Accelerometer,,,,-0.344,0.846,0.336,,,,,,,,,,2.48,,2016-03-12 13:53:17.232,,134
374430,376187,Accelerometer,,,,-0.369,1.005,0.215,,,,,,,,,,2.52,,2016-03-12 13:53:17.232,,134
374431,376188,Accelerometer,,,,-0.482,0.895,0.18,,,,,,,,,,2.56,,2016-03-12 13:53:17.232,,134
374432,376189,Accelerometer,,,,-0.583,0.679,0.187,,,,,,,,,,2.6,,2016-03-12 13:53:17.232,,134
374433,376190,Accelerometer,,,,-0.545,0.797,0.127,,,,,,,,,,2.64,,2016-03-12 13:53:17.232,,134
374434,376191,Accelerometer,,,,-0.617,0.833,0.05,,,,,,,,,,2.68,,2016-03-12 13:53:17.233,,134
